?ID	?label	?type
"VO_0000090"	"Prevnar"	"Class"
"VO_0000091"	"ProQuad"	"Class"
"VO_0000092"	"Fluzone Intradermal Quadrivalent"	"Class"
"VO_0000093"	"mineral salt vaccine adjuvant"	"Class"
"VO_0000094"	"RabAvert"	"Class"
"VO_0000095"	"Rabies Vaccine Adsorbed by BioPort Corp"	"Class"
"VO_0000096"	"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral"	"Class"
"VO_0000097"	"RotaTeq"	"Class"
"VO_0000098"	"SIV based lentivirus vaccine vector"	"Class"
"VO_0000099"	"Pcaggs DNA vaccine plasmid"	"Class"
"VO_0000100"	"vaccine-induced T-helper 1 type immune response"	"Class"
"VO_0000101"	"vaccine-induced T-helper 2 type immune response"	"Class"
"VO_0000102"	"TENIVAC"	"Class"
"VO_0000103"	"TICE BCG"	"Class"
"VO_0000104"	"TYPHIM VI"	"Class"
"VO_0000105"	"vaccine T cell epitope"	"Class"
"VO_0000106"	"vaccine-induced T cell mediated immunity"	"Class"
"VO_0000107"	"T cell vaccine antigen processing and presentation"	"Class"
"VO_0000108"	"Brucella abortus vaccine"	"Class"
"VO_0000109"	"Tetanus Toxoid Adsorbed by Aventis Pasteur Inc"	"Class"
"VO_0000110"	"E. coli O157:H7 intimin vaccine"	"Class"
"VO_0000111"	"Tetanus and Diphtheria Toxoids Adsorbed by MA Biologic Lab"	"Class"
"VO_0000112"	"Tripedia"	"Class"
"VO_0000113"	"Twinrix"	"Class"
"VO_0000114"	"pCAGGST7 DNA vaccine plasmid"	"Class"
"VO_0000115"	"vaccine-induced T cell activation"	"Class"
"VO_0000116"	"pCBINT DNA vaccine plasmid"	"Class"
"VO_0000117"	"pCdm7 DNA vaccine plasmid"	"Class"
"VO_0000118"	"microbial derivative vaccine adjuvant"	"Class"
"VO_0000119"	"Varivax"	"Class"
"VO_0000120"	"Vivotif (USA)"	"Class"
"VO_0000121"	"YF-Vax"	"Class"
"VO_0000122"	"Yellow fever 17D vaccine vector"	"Class"
"VO_0000123"	"Yellow fever virus vaccine"	"Class"
"VO_0000124"	"Zostavax"	"Class"
"VO_0000125"	"licensed turkey vaccine"	"Class"
"VO_0000126"	"live attenuated vaccine organism"	"Class"
"VO_0000127"	"aluminum hydroxide vaccine adjuvant"	"Class"
"VO_0000128"	"aluminum phosphate vaccine adjuvant"	"Class"
"VO_0000129"	"vaccination frequency"	"Class"
"VO_0000130"	"pcDNA I/Amp DNA vaccine plasmid"	"Class"
"VO_0000131"	"calcium phosphate vaccine adjuvant"	"Class"
"VO_0000132"	"pcDNA3 DNA vaccine plasmid"	"Class"
"VO_0000133"	"Freund's emulsified oil adjuvant"	"Class"
"VO_0000134"	"vaccine-induced T cell proliferation"	"Class"
"VO_0000135"	"vaccine-induced adaptive immune response"	"Class"
"VO_0000136"	"adenovirus vaccine vector"	"Class"
"VO_0000137"	"combination vaccine role"	"Class"
"VO_0000138"	"has bacterial vaccine vector"	"ObjectProperty"
"VO_0000139"	"complete Freund's adjuvant"	"Class"
"VO_0000140"	"agglutinating antibody role"	"Class"
"VO_0000141"	"obsolete virulence factor"	"Class"
"VO_0000142"	"incomplete Freund's adjuvant"	"Class"
"VO_0000143"	"cholera toxin vaccine adjuvant"	"Class"
"VO_0000144"	"alphavirus vaccine vector"	"Class"
"VO_0000145"	"recombinant vaccine vector role"	"Class"
"VO_0000146"	"Corynebacterium-derived P40 vaccine adjuvant"	"Class"
"VO_0000147"	"vaccine adjuvant role"	"Class"
"VO_0000148"	"antibody role"	"Class"
"VO_0000149"	"Aceto Pharma Corp"	"NamedIndividual"
"VO_0000150"	"antibody titer"	"Class"
"VO_0000151"	"immunized"	"Class"
"VO_0000152"	"Francisella tularensis vaccine"	"Class"
"VO_0000153"	"preparation of toxoid vaccine"	"Class"
"VO_0000154"	"sodC from B. abortus strain 2308"	"Class"
"VO_0000155"	"obsolete bacterial gene"	"Class"
"VO_0000156"	"viral gene"	"Class"
"VO_0000157"	"HIV gene"	"Class"
"VO_0000158"	"pcDNA3.1 DNA vaccine plasmid"	"Class"
"VO_0000159"	"preparation of live attenuated vaccine by serial passages in vitro"	"Class"
"VO_0000160"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"Class"
"VO_0000161"	"Escherichia coli gene"	"Class"
"VO_0000162"	"vaccine organism avirulent"	"Class"
"VO_0000163"	"vaccine-induced gene up-regulation controlling intracellular bacterial replication"	"Class"
"VO_0000164"	"Mycobacterium tuberculosis gene"	"Class"
"VO_0000165"	"bacterial vaccine"	"Class"
"VO_0000166"	"bacterial vaccine vector"	"Class"
"VO_0000167"	"pcDNA3.1V5HisTOPO/TA DNA vaccine plasmid"	"Class"
"VO_0000168"	"Salmonella gene"	"Class"
"VO_0000169"	"Shigella gene"	"Class"
"VO_0000170"	"protozoan gene"	"Class"
"VO_0000171"	"Plasmodium gene"	"Class"
"VO_0000172"	"Plasmodium falciparum gene"	"Class"
"VO_0000173"	"vaccine organism live attenuated"	"Class"
"VO_0000174"	"Leishmania gene"	"Class"
"VO_0000175"	"pCEP4 DNA vaccine plasmid"	"Class"
"VO_0000176"	"vaccine-induced T cell differentiation"	"Class"
"VO_0000177"	"cancer vaccine"	"Class"
"VO_0000178"	"inactivated vaccine preparation"	"Class"
"VO_0000179"	"vaccine component"	"Class"
"VO_0000180"	"vaccine-induced cell activation"	"Class"
"VO_0000181"	"lipopolysaccharide vaccine adjuvant"	"Class"
"VO_0000182"	"vaccine-induced antibacterial agglutination antibody response"	"Class"
"VO_0000183"	"Japanese encephalitis virus gene"	"Class"
"VO_0000184"	"Ebola virus gene"	"Class"
"VO_0000185"	"Influenza virus gene"	"Class"
"VO_0000186"	"RNA vaccine"	"Class"
"VO_0000187"	"muramyl dipeptide vaccine adjuvant"	"Class"
"VO_0000188"	"Dengue virus gene"	"Class"
"VO_0000189"	"colony forming unit"	"Class"
"VO_0000190"	"squalene vacccine adjuvant"	"Class"
"VO_0000191"	"arlacel A vaccine adjuvant"	"Class"
"VO_0000192"	"Montanide 103 vaccine adjuvant"	"Class"
"VO_0000193"	"Bordetella pertussis component vaccine adjuvant"	"Class"
"VO_0000194"	"USA licensed human vaccine role"	"Class"
"VO_0000195"	"conjugate vaccine"	"Class"
"VO_0000196"	"preparation of recombinant vector vaccine"	"Class"
"VO_0000197"	"obsolete West Nile virus gene"	"Class"
"VO_0000198"	"chickenpox virus gene"	"Class"
"VO_0000199"	"Rubella virus gene"	"Class"
"VO_0000200"	"influenza A virus A/California/7/2009 (H1N1) antigen"	"Class"
"VO_0000201"	"Porcilis-PCV2"	"Class"
"VO_0000202"	"Hepatitis A virus gene"	"Class"
"VO_0000203"	"Suvaxyn PCV2"	"Class"
"VO_0000204"	"Intervet"	"NamedIndividual"
"VO_0000205"	"Fort Dodge"	"NamedIndividual"
"VO_0000206"	"licensed pig vaccine"	"Class"
"VO_0000207"	"vaccine contraindication"	"Class"
"VO_0000208"	"vaccine in research role"	"Class"
"VO_0000209"	"pHIS64 DNA vaccine plasmid"	"Class"
"VO_0000210"	"hemagglutination-inhibition assay"	"Class"
"VO_0000211"	"vaccine organism inactivated"	"Class"
"VO_0000212"	"pCI DNA vaccine plasmid"	"Class"
"VO_0000213"	"hypersensitivity to chicken product"	"Class"
"VO_0000214"	"pCI-neo DNA vaccine plasmid"	"Class"
"VO_0000215"	"pCMV DNA vaccine plasmid"	"Class"
"VO_0000216"	"pCMV-1 DNA vaccine plasmid"	"Class"
"VO_0000217"	"obsolete pCMV4 DNA vaccine plasmid"	"Class"
"VO_0000218"	"hypersensitivity to chicken egg"	"Class"
"VO_0000219"	"vaccine solvent"	"Class"
"VO_0000220"	"pCMVI.UBF3/2 DNA vaccine plasmid"	"Class"
"VO_0000221"	"pCMV-3FUB DNA vaccine plasmid"	"Class"
"VO_0000222"	"pCMV-int DNA vaccine plasmid"	"Class"
"VO_0000223"	"pCMV-LacZ DNA vaccine plasmid"	"Class"
"VO_0000224"	"hypersensitivity to antibiotic"	"Class"
"VO_0000225"	"hypersensitivity to neomycin"	"Class"
"VO_0000226"	"hypersensitivity to polymyxin"	"Class"
"VO_0000227"	"reaction to previous vaccination"	"Class"
"VO_0000228"	"vaccine powder"	"Class"
"VO_0000229"	"bacterial vaccine preparation"	"Class"
"VO_0000230"	"pCMV-LIC DNA vaccine plasmid"	"Class"
"VO_0000231"	"pCMVLuc DNA vaccine plasmid"	"Class"
"VO_0000232"	"pCR3 DNA vaccine plasmid"	"Class"
"VO_0000233"	"life-threatening reaction to previous vaccination"	"Class"
"VO_0000234"	"pCR3.1 DNA vaccine plasmid"	"Class"
"VO_0000235"	"life-threatening reaction to previous influenza vaccination"	"Class"
"VO_0000236"	"pCR4-TOPO DNA vaccine plasmid"	"Class"
"VO_0000237"	"hypersensitivity to gentamicin"	"Class"
"VO_0000238"	"vaccine dominant epitope"	"Class"
"VO_0000239"	"vaccine-induced down-regulated gene expression"	"Class"
"VO_0000240"	"hypersensitity to gelatin"	"Class"
"VO_0000241"	"preparation of vaccine using heat inactivation"	"Class"
"VO_0000242"	"CFU reduction assay"	"Class"
"VO_0000243"	"assay of CFU reduction in spleen"	"Class"
"VO_0000244"	"hypersensitity to arginine"	"Class"
"VO_0000245"	"edibility"	"Class"
"VO_0000246"	"edible"	"Class"
"VO_0000247"	"vaccine efficacy"	"Class"
"VO_0000248"	"history of asthma"	"Class"
"VO_0000249"	"vaccine-induced antiviral neutralizing antibody response"	"Class"
"VO_0000250"	"pcREV DNA vaccine plasmid"	"Class"
"VO_0000251"	"pgp.LAMP-1 DNA vaccine plasmid"	"Class"
"VO_0000252"	"pDRVISV1.0 DNA vaccine plasmid"	"Class"
"VO_0000253"	"pECK DNA vaccine plasmid"	"Class"
"VO_0000254"	"pES DNA vaccine plasmid"	"Class"
"VO_0000255"	"usage of bronchodilator"	"Class"
"VO_0000256"	"pET21a DNA vaccine plasmid"	"Class"
"VO_0000257"	"pET-28a DNA vaccine plasmid"	"Class"
"VO_0000258"	"pGA DNA vaccine plasmid"	"Class"
"VO_0000259"	"pGEX-3X DNA vaccine plasmid"	"Class"
"VO_0000260"	"vaccine-induced follicular dendritic cell activation"	"Class"
"VO_0000261"	"usage of steroid"	"Class"
"VO_0000262"	"pIRES DNA vaccine plasmid"	"Class"
"VO_0000263"	"sodB(Ft)"	"Class"
"VO_0000264"	"ProtaTek International, Inc"	"NamedIndividual"
"VO_0000265"	"Arko Laboratories Ltd"	"NamedIndividual"
"VO_0000266"	"fungal disease"	"Class"
"VO_0000267"	"fungal vaccine"	"Class"
"VO_0000268"	"Newport Laboratories, Inc"	"NamedIndividual"
"VO_0000269"	"Texas Agricultural Experiment Station"	"NamedIndividual"
"VO_0000270"	"has vaccine contraindication"	"ObjectProperty"
"VO_0000271"	"F. tularensis vaccine LVS"	"Class"
"VO_0000272"	"pIRES2 DsRed2 DNA vaccine plasmid"	"Class"
"VO_0000273"	"vaccine-induced T cell interferon-gamma production"	"Class"
"VO_0000274"	"pING DNA vaccine plasmid"	"Class"
"VO_0000275"	"pJW24 DNA vaccine plasmid"	"Class"
"VO_0000276"	"pJW4303 DNA vaccine plasmid"	"Class"
"VO_0000277"	"pK0 DNA vaccine plasmid"	"Class"
"VO_0000278"	"vaccine function"	"Class"
"VO_0000279"	"pK3 DNA vaccine plasmid"	"Class"
"VO_0000280"	"pMV60 DNA vaccine plasmid"	"Class"
"VO_0000281"	"has viral vaccine vector"	"ObjectProperty"
"VO_0000282"	"pMAMneoBlue DNA vaccine plasmid"	"Class"
"VO_0000283"	"herpesvirus vaccine vector"	"Class"
"VO_0000284"	"pMASIA DNA vaccine plasmid"	"Class"
"VO_0000285"	"pND DNA vaccine plasmid"	"Class"
"VO_0000286"	"vaccine-induced host gene response"	"Class"
"VO_0000287"	"vaccine-induced host immune response"	"Class"
"VO_0000288"	"vaccine-induced host response"	"Class"
"VO_0000289"	"host response to vaccine adjuvant"	"Class"
"VO_0000290"	"host response to vaccine component"	"Class"
"VO_0000291"	"host response to vaccine antigen"	"Class"
"VO_0000292"	"host response to vaccine vaccine vector"	"Class"
"VO_0000293"	"pND2 DNA vaccine plasmid"	"Class"
"VO_0000294"	"pNGVL DNA vaccine plasmid"	"Class"
"VO_0000295"	"human immunodeficiency virus vaccine"	"Class"
"VO_0000296"	"Brinton Laboratories Inc"	"NamedIndividual"
"VO_0000297"	"pNL3-gal DNA vaccine plasmid"	"Class"
"VO_0000298"	"pN4a-gal DNA vaccine plasmid"	"Class"
"VO_0000299"	"company"	"Class"
"VO_0000300"	"B. melitensis strain VTRM1"	"Class"
"VO_0000301"	"pRc/CMV DNA vaccine plasmid"	"Class"
"VO_0000302"	"pRc/CMV2 DNA vaccine plasmid"	"Class"
"VO_0000303"	"Brucella suis strain VTRS1"	"Class"
"VO_0000304"	"pRK DNA vaccine plasmid"	"Class"
"VO_0000305"	"pRSV DNA vaccine plasmid"	"Class"
"VO_0000306"	"pRSV0 DNA vaccine plasmid"	"Class"
"VO_0000307"	"KKF24"	"Class"
"VO_0000308"	"F. tularensis vaccine LVS LPS"	"Class"
"VO_0000309"	"vaccine-induced antibody mediated immune response"	"Class"
"VO_0000310"	"vaccine emulsifier"	"Class"
"VO_0000311"	"B. melitensis lipopolysaccharide vaccine"	"Class"
"VO_0000312"	"B. melitensis LPS-GBOMP noncovalent complex vaccine"	"Class"
"VO_0000313"	"pSC65 DNA vaccine plasmid"	"Class"
"VO_0000314"	"pSG2 DNA vaccine plasmid"	"Class"
"VO_0000315"	"inactivated vaccine"	"Class"
"VO_0000316"	"pSG5 DNA vaccine plasmid"	"Class"
"VO_0000317"	"Psin DNA vaccine plasmid"	"Class"
"VO_0000318"	"pTARGET DNA vaccine plasmid"	"Class"
"VO_0000319"	"pTH DNA vaccine plasmid"	"Class"
"VO_0000320"	"pTHamp DNA vaccine plasmid"	"Class"
"VO_0000321"	"Brucella abortus DNA vaccine encoding BCSP31, SOD and L7/L12"	"Class"
"VO_0000322"	"pTR600 DNA vaccine plasmid"	"Class"
"VO_0000323"	"Brucella abortus conjugate vaccine using L7/L12"	"Class"
"VO_0000324"	"pTVG4 DNA vaccine plasmid"	"Class"
"VO_0000325"	"B. melitensis DNA vaccine encoding Omp31"	"Class"
"VO_0000326"	"pUC18 DNA vaccine plasmid"	"Class"
"VO_0000327"	"pUC19 DNA vaccine plasmid"	"Class"
"VO_0000328"	"pV1J DNA vaccine plasmid"	"Class"
"VO_0000329"	"Mycoplasma hyopneumoniae vaccine"	"Class"
"VO_0000330"	"inedible"	"Class"
"VO_0000331"	"pVCL(pCXN2-mVIN) DNA vaccine plasmid"	"Class"
"VO_0000332"	"tertiary vaccination"	"Class"
"VO_0000333"	"Protozoa"	"Class"
"VO_0000334"	"pVR1012 DNA vaccine plasmid"	"Class"
"VO_0000335"	"vaccine injection site"	"Class"
"VO_0000336"	"pVR1012x/s DNA vaccine plasmid"	"Class"
"VO_0000337"	"pWRG1644 DNA vaccine plasmid"	"Class"
"VO_0000338"	"B. melitensis bp26 deletion vaccine"	"Class"
"VO_0000339"	"F. tularensis vaccine FSC043"	"Class"
"VO_0000340"	"intramuscular route"	"Class"
"VO_0000341"	"intranasal route"	"Class"
"VO_0000342"	"intranasal route by drop"	"Class"
"VO_0000343"	"intranasal route by spray"	"Class"
"VO_0000344"	"intraperitoneal route"	"Class"
"VO_0000345"	"B. melitensis WR201"	"Class"
"VO_0000346"	"pWRG7077 DNA vaccine plasmid"	"Class"
"VO_0000347"	"Brucella abortus bacA mutant"	"Class"
"VO_0000348"	"Influenza A (H1N1) 2009 Monovalent Vaccine (CSL Limited)"	"Class"
"VO_0000349"	"Influenza A (H1N1) 2009 Monovalent Vaccine ( MedImmune LLC)"	"Class"
"VO_0000350"	"Arepanrix"	"Class"
"VO_0000351"	"Adjumer vaccine adjuvant"	"Class"
"VO_0000352"	"Megan Egg"	"Class"
"VO_0000353"	"pWRM DNA vaccine plasmid"	"Class"
"VO_0000354"	"B. ovis microparticle subunit vaccine"	"Class"
"VO_0000355"	"pzz DNA vaccine plasmid"	"Class"
"VO_0000356"	"pME18100 DNA vaccine plasmid"	"Class"
"VO_0000357"	"pVIVO2 DNA vaccine plasmid"	"Class"
"VO_0000358"	"Brucella recombinant SurA protein vaccine"	"Class"
"VO_0000359"	"lentivirus vaccine vector"	"Class"
"VO_0000360"	"pcDNA1.1/Amp DNA vaccine plasmid"	"Class"
"VO_0000361"	"vaccine-induced leukocyte activation"	"Class"
"VO_0000362"	"USA licensed human vaccine"	"Class"
"VO_0000363"	"licensed vaccine"	"Class"
"VO_0000364"	"pRK7 DNA vaccine plasmid"	"Class"
"VO_0000365"	"lipopolysaccharide of pathogen organism as vaccine component"	"Class"
"VO_0000366"	"liposome-based vaccine adjuvant"	"Class"
"VO_0000367"	"live attenuated vaccine"	"Class"
"VO_0000368"	"live vaccine organism"	"Class"
"VO_0000369"	"has DNA vaccine plasmid"	"ObjectProperty"
"VO_0000370"	"live virulent vaccine"	"Class"
"VO_0000371"	"quaternary vaccination"	"Class"
"VO_0000372"	"profertility vaccine"	"Class"
"VO_0000373"	"Brucella recombinant DnaK protein vaccine"	"Class"
"VO_0000374"	"divalent DNA B. abortus vaccine using L7/L12 and Omp16"	"Class"
"VO_0000375"	"preparation of gene mutant vaccine"	"Class"
"VO_0000376"	"subtenon route"	"Class"
"VO_0000377"	"sublingual route"	"Class"
"VO_0000378"	"intravaginal route"	"Class"
"VO_0000379"	"intravaginal vaccination"	"Class"
"VO_0000380"	"subtenon vaccination"	"Class"
"VO_0000381"	"sublingual vaccination"	"Class"
"VO_0000382"	"pharyngeal mucosal vaccination"	"Class"
"VO_0000383"	"vaccine-induced, adjuvant boosted T cell interferon-gramm production"	"Class"
"VO_0000384"	"IL-15 plasmid vaccine adjuvant"	"Class"
"VO_0000385"	"Brucella abortus DNA vaccine encoding L7/L12 and P39"	"Class"
"VO_0000386"	"attenuated Brucella abortus with deletion of znuA"	"Class"
"VO_0000387"	"mucosal immune response to vaccine"	"Class"
"VO_0000388"	"E. coli LT toxin derived vaccine adjuvant"	"Class"
"VO_0000389"	"Feline panleukopenia virus vaccine"	"Class"
"VO_0000390"	"birds vaccine"	"Class"
"VO_0000391"	"Leptospira spp. vaccine"	"Class"
"VO_0000392"	"Campylobacter fetus vaccine"	"Class"
"VO_0000393"	"Pseudomonas aeruginosa vaccine"	"Class"
"VO_0000394"	"Bordetella bronchiseptica vaccine"	"Class"
"VO_0000395"	"inactivated vaccine organism"	"Class"
"VO_0000396"	"licensed rabbit vaccine"	"Class"
"VO_0000397"	"neutralizing antibody role"	"Class"
"VO_0000398"	"microencapsulated B. melitensis mutant vaccine"	"Class"
"VO_0000399"	"vaccine-induced T cell interferon-gramm production boosted by IL-15 vaccine adjuvant"	"Class"
"VO_0000400"	"prime-boost vaccine"	"Class"
"VO_0000401"	"prime-boost vaccine with DNA vaccine priming"	"Class"
"VO_0000402"	"AIDSVAX"	"Class"
"VO_0000403"	"porin-S-LPS from B. abortus strain 2308"	"Class"
"VO_0000404"	"Brucella abortus RB51WboA"	"Class"
"VO_0000405"	"AIDSVAX B/B"	"Class"
"VO_0000406"	"AIDSVAX B/E"	"Class"
"VO_0000407"	"recombinant O. anthropi 49237SOD"	"Class"
"VO_0000408"	"organ or tissue specific immune response to vaccine"	"Class"
"VO_0000409"	"licensed horse vaccine"	"Class"
"VO_0000410"	"Pandemrix"	"Class"
"VO_0000411"	"B. melitensis Bp26 and Tf protein vaccine"	"Class"
"VO_0000412"	"B. melitensis P39 recombinant protein vaccine"	"Class"
"VO_0000413"	"recombinant chimera BLSOmp31"	"Class"
"VO_0000414"	"Panvax"	"Class"
"VO_0000415"	"vaccine additive role"	"Class"
"VO_0000416"	"intravenous route"	"Class"
"VO_0000417"	"protozoan vaccine"	"Class"
"VO_0000418"	"Menactra injection 0.5mL vial"	"Class"
"VO_0000419"	"Varicella-zoster virus live vaccine"	"Class"
"VO_0000420"	"pathogen organism component in vaccine"	"Class"
"VO_0000421"	"Brucella abortus pcDNA-BLS"	"Class"
"VO_0000422"	"melanoma vaccine"	"Class"
"VO_0000423"	"escheriosome-mediated delivery of B. abortus L7/L12"	"Class"
"VO_0000424"	"polyvalent pneumococcal vaccine"	"Class"
"VO_0000425"	"Staphylococcus toxoid vaccine"	"Class"
"VO_0000426"	"period of persistence of vaccine induced immune response"	"Class"
"VO_0000427"	"phase 1 vaccine trial"	"Class"
"VO_0000428"	"phase 2 vaccine trial"	"Class"
"VO_0000429"	"phase 3 vaccine trial"	"Class"
"VO_0000430"	"phase 4 vaccine trial"	"Class"
"VO_0000431"	"rLm/iglC"	"Class"
"VO_0000432"	"nontypeable H. influenzae Hap Protein Vaccine"	"Class"
"VO_0000433"	"vaccinia virus vaccine"	"Class"
"VO_0000434"	"Mixed Bacterial Vaccine"	"Class"
"VO_0000435"	"DNA vaccine plasmid vector"	"Class"
"VO_0000436"	"B. melitensis DNA vaccine encoding Omp31 boosted with Omp31"	"Class"
"VO_0000437"	"Moraxella bovis vaccine"	"Class"
"VO_0000438"	"Moraxella bovis bacterin vaccine"	"Class"
"VO_0000439"	"USDA licensed veterinary vaccine role"	"Class"
"VO_0000440"	"vaccine approval process"	"Class"
"VO_0000441"	"vaccine candidate role"	"Class"
"VO_0000442"	"CFU measurement assay"	"Class"
"VO_0000443"	"vaccine effectiveness rate"	"Class"
"VO_0000444"	"vaccine licensing"	"Class"
"VO_0000445"	"infection_of"	"ObjectProperty"
"VO_0000446"	"licensed chicken vaccine"	"Class"
"VO_0000447"	"poxvirus vaccine vector"	"Class"
"VO_0000448"	"Salmonella paratyphi vaccine"	"Class"
"VO_0000449"	"Moraxella Bovis Bacterin Piliguard Pinkeye-1 Trivalent"	"Class"
"VO_0000450"	"NPAP Brucella vaccine"	"Class"
"VO_0000451"	"Parainfluenza 3 virus vaccine"	"Class"
"VO_0000452"	"preventive vaccine function"	"Class"
"VO_0000453"	"prime boost regimen"	"Class"
"VO_0000454"	"APEC vaccine using GST-Iss fusion protein"	"Class"
"VO_0000455"	"prophylactic vaccine"	"Class"
"VO_0000456"	"protection efficacy"	"Class"
"VO_0000457"	"protective antigen role"	"Class"
"VO_0000458"	"E. coli LB-T vaccine"	"Class"
"VO_0000459"	"E. coli O157:H7 subunit vaccine expressing Esps and Tir"	"Class"
"VO_0000460"	"equine influenza vaccine"	"Class"
"VO_0000461"	"avian influenza vaccine"	"Class"
"VO_0000462"	"induced by vaccination of"	"ObjectProperty"
"VO_0000463"	"Coxiella burnetii vaccine"	"Class"
