ID,vaccine_label_in-VO,VIOLIN vaccine ID,violin_link,c_vaccine_name,pathogen,name different,Comment
VO:0000677,S. flexneri 2a strain CVD 1207,260,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=260,S. flexneri 2a strain CVD 1207,,NO,
VO:0000682,S. flexneri 2a LPS vaccine complexed with N. meningitidis proteosomes,270,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=270,S. flexneri 2a LPS vaccine complexed with N. meningitidis proteosomes,,NO,
VO:0000733,CVD 1204(pGA1-CS2),265,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=265,CVD 1204(pGA1-CS2),,NO,
VO:0000734,CVD 1204(pGA1-CS3),442,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=442,CVD 1204(pGA1-CS3),,NO,
VO:0000739,Shigella ribosome-based Vaccine (SRB),273,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=273,Shigella ribosome-based Vaccine (SRB),,NO,
VO:0000740,P. falciparum vaccine Combination B,206,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=206,P. falciparum vaccine Combination B,,NO,
VO:0000771,BCG vaccine,5575,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=5575,BCG Vaccine,,NO,
VO:0000773,MSP3-LSP with aluminium hydroxide,207,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=207,MSP3-LSP with aluminium hydroxide,,NO,
VO:0000775,P. falciparum MSP1 from transgenic mice with Freund's adjuvant,234,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=234,P. falciparum MSP1 from transgenic mice with Freund's adjuvant,,NO,
VO:0000776,P. vivax PVS25 with Montanide ISA-720,208,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=208,P. vivax PVS25 with Montanide ISA-720,,NO,
VO:0000780,GP-VRP,69,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=69,GP-VRP,,NO,
VO:0000781,VRP expressing VP24,65,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=65,VRP expressing VP24,,NO,
VO:0000782,VRP expressing VP30,66,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=66,VRP expressing VP30,,NO,
VO:0000783,VRP expressing VP35,67,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=67,VRP expressing VP35,,NO,
VO:0000784,VRP expressing VP40,68,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=68,VRP expressing VP40,,NO,
VO:0000785,DNA vaccine expressing sGP,73,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=73,DNA vaccine expressing sGP,,NO,
VO:0000788,adenoviral vector Ad5 expressing SIV gag protein,444,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=444,Adenoviral vector Ad5 expressing SIV gag protein,,NO,
VO:0000817,DNA vaccine expressing multiple HIV epitopes,149,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=149,DNA vaccine expressing multiple HIV epitopes,,NO,
VO:0000819,recombinant HIV gp120 with adjuvant NanoEmulsion,310,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=310,Recombinant HIV gp120 with adjuvant NanoEmulsion,,NO,
VO:0000822,Gag-VRPs,156,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=156,Gag-VRPs,,NO,
VO:0000824,"MVA expressing HIV Gag, Pol and Env proteins",153,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=153,"MVA expressing HIV Gag, Pol and Env proteins",,NO,
VO:0000827,AdsecV,48,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=48,AdsecV,,NO,
VO:0000828,Yersinia EV76,32,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=32,Yersinia EV76,,NO,
VO:0000829,Y. pestis F1 protein vaccine,36,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=36,Y. pestis F1 protein vaccine,,NO,
VO:0000831,Recombinant Y. pestis V antigen vaccine,44,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=44,Recombinant Y. pestis V antigen vaccine,,NO,
VO:0000832,modified Y. pestis with TLR4-stimulating LPS,35,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=35,Modified Y. pestis with TLR4-stimulating LPS,,NO,
VO:0000833,Yersinia PAV,62,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=62,Yersinia PAV,,NO,
VO:0000834,recombinant Y. pestis YopD protein vaccine,37,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=37,Recombinant Y. pestis YopD protein vaccine,,NO,
VO:0000835,Epm vaccine,433,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=433,Epm vaccine,,NO,
VO:0000836,Y. pestis YscF subunit vaccine,81,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=81,Y. pestis YscF subunit vaccine,,NO,
VO:0000837,microencapsulated Caf1 and LcrV vaccine,56,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=56,Microencapsulated Caf1 and LcrV vaccine,,NO,
VO:0000838,Ovilis Enzovax,417,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=417,Ovilis Enzovax,,NO,
VO:0000840,recombinant Yersinia rV10 vaccine,54,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=54,Recombinant Yersinia rV10 vaccine,,NO,
VO:0000842,AquaVac ERM,413,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=413,AquaVac ERM,,NO,
VO:0000844,Art Vax,420,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=420,Art Vax,,NO,
VO:0000845,VSV vector expressing Y. pestis lcrV,47,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=47,VSV vector expressing Y. pestis lcrV,,NO,
VO:0000847,Plague vaccine USP,31,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=31,Plague vaccine USP,,NO,
VO:0000852,Periovac,412,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=412,Periovac,,NO,
VO:0000866,Fluviral S/F,571,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=571,Fluviral S/F,,NO,
VO:0000867,Influvac,597,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=597,Influvac,,NO,
VO:0000868,Vaxigrip,642,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=642,Vaxigrip,,NO,
VO:0000871,Purevax Feline Rabies,404,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=404,Purevax Feline Rabies,,NO,
VO:0000874,Anthrax Spore Vaccine,17,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=17,Anthrax Spore Vaccine,,NO,
VO:0000875,pSecTag-PA83,451,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=451,pSecTag-PA83,,NO,
VO:0000876,pCMV/ER-PA83,29,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=29,pCMV/ER-PA83,,NO,
VO:0000878,RECOMBITEKEquine WNV,396,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=396,RECOMBITEKEquine WNV,,NO,
VO:0000880,pCLF4,28,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=28,pCLF4,,NO,
VO:0000889,PleuroStar APP,421,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=421,PleuroStar APP,,NO,
VO:0000918,EURIFEL FeLV,405,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=405,EURIFEL FeLV,,NO,
VO:0000923,RECOMBITEK Corona MLV,407,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=407,RECOMBITEK Corona MLV,,NO,
VO:0000928,Raboral,403,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=403,Raboral,,NO,
VO:0000933,E. coli CS3 in PLGA microspheres,3095,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=3095,E. coli CS3 in PLGA microspheres,,NO,
VO:0000936,Suvaxyn Aujeszky,389,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=389,Suvaxyn Aujeszky,,NO,
VO:0000941,Apex-IHN,410,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=410,Apex-IHN,,NO,
VO:0000947,PreveNile,394,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=394,PreveNile,,NO,
VO:0000951,Bayovac CSF E2,391,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=391,Bayovac CSF E2,,NO,
VO:0000978,Flublok,5555,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=5555,Flublok,,NO,
VO:0000979,Bovilis IBR Marker,392,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=392,Bovilis IBR Marker,,NO,
VO:0000980,Flucelvax,5560,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=5560,Flucelvax,,NO,
VO:0000981,Porcilis Pesti,390,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=390,Porcilis Pesti,,NO,
VO:0000983,Fluarix Quadrivalent,5565,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=5565,Fluarix Quadrivalent,,NO,
VO:0001008,Giardiavax,432,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=432,Giardiavax,,NO,
VO:0001016,Vectormune FP-ND,399,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=399,Vectormune FP-ND,,NO,
VO:0001022,Megan Vac1,423,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=423,Megan Vac1,,NO,
VO:0001026,AquaVac Furuvac,414,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=414,AquaVac Furuvac,,NO,
VO:0001049,Vaxsafe MS,418,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=418,Vaxsafe MS,,NO,
VO:0001054,Equilis StrepE,416,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=416,Equilis StrepE,,NO,
VO:0001071,AquaVac Vibrio,415,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=415,AquaVac Vibrio,,NO,
VO:0001091,Poulvac FluFend I AI H5N3 RG,401,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=401,Poulvac FluFend I AI H5N3 RG,,NO,
VO:0001097,RECOMBITEK rDistemper,408,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=408,RECOMBITEK rDistemper,,NO,
VO:0001113,CoxAbic,436,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=436,CoxAbic,,NO,
VO:0001123,RECOMBITEK Canine Parvo,406,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=406,RECOMBITEK Canine Parvo,,NO,
VO:0001126,Agriflu,753,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=753,Agriflu,,NO,
VO:0001138,Ovilis Toxovax,429,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=429,Ovilis Toxovax,,NO,
VO:0001140,West Nile-Innovator DNA,395,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=395,West Nile-Innovator DNA,,NO,
VO:0001144,Brucella DNA vaccine encoding chimera BLSOmp31,139,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=139,Brucella DNA vaccine encoding chimera BLSOmp31,,NO,
VO:0001158,Porcilis APP,422,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=422,Porcilis APP,,NO,
VO:0001167,KLH-s-FimH1-25 with CFA and then IFA,4329,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=4329,KLH-s-FimH1-25 with CFA and then IFA,,NO,
VO:0001168,E. coli FimH with CFA and then IFA,4330,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=4330,E. coli FimH with CFA and then IFA,,NO,
VO:0001177,Livacox,426,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=426,Livacox,,NO,
VO:0001181,Vaxsafe MG,419,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=419,Vaxsafe MG,,NO,
VO:0001185,Inovocox,425,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=425,Inovocox,,NO,
VO:0001200,Leishmune,435,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=435,Leishmune,,NO,
VO:0001201,Enterisol Ileitis,411,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=411,Enterisol Ileitis,,NO,
VO:0001247,Arepanrix H1N1,1116,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1116,AREPANRIX H1N1,,NO,
VO:0001390,T. cruzi DNA vaccine pGFP-TSA1,811,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=811,T. cruzi DNA Vaccine pGFP-TSA1,,NO,
VO:0001391,T. cruzi PAR1 protein vaccine,806,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=806,T. cruzi PAR1 Protein Vaccine,,NO,
VO:0001392,T. cruzi PAR2 protein vaccine,810,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=810,T. cruzi PAR2 Protein Vaccine,,NO,
VO:0001393,T. cruzi vaccine using attenuated Salmonella expressing T. cruzi Cruzipain,804,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=804,T. cruzi vaccine using attenuated Salmonella expressing T. cruzi Cruzipain,,NO,
VO:0001394,T. cruzi vaccine using Sendai virus vector expressing amastigote surface protein-2,802,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=802,T. cruzi vaccine using Sendai virus vector expressing amastigote surface protein-2,,NO,
VO:0001530,Canary Pox Modified Live Virus Vaccine (USDA: 1623.10),1557,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1557,Canary Pox Modified Live Virus Vaccine (USDA: 1623.10),,NO,
VO:0001531,Pigeon Pox Live Virus Vaccine (USDA: 1881.10),2092,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=2092,Pigeon Pox Live Virus Vaccine (USDA: 1881.10),,NO,
VO:0001532,Pigeon Pox Live Virus Vaccine (USDA: 1881.12),2093,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=2093,Pigeon Pox Live Virus Vaccine (USDA: 1881.12),,NO,
VO:0001533,Pigeon Pox Live Virus Vaccine (USDA: 1881.14),2094,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=2094,Pigeon Pox Live Virus Vaccine (USDA: 1881.14),,NO,
VO:0001534,Quail Pox Live Virus Vaccine (USDA: 18E1.10),2111,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=2111,Quail Pox Live Virus Vaccine (USDA: 18E1.10),,NO,
VO:0001535,Fox Encephalitis Killed Virus Vaccine (USDA: 1635.20),1925,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1925,Fox Encephalitis Killed Virus Vaccine (USDA: 1635.20),,NO,
VO:0001536,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.00),1967,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1967,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.00),,NO,
VO:0001537,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.01),1968,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1968,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.01),,NO,
VO:0001538,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.20),1969,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1969,Mink Distemper Modified Live Virus Vaccine (USDA: 1451.20),,NO,
VO:0001539,Mink Enteritis Vaccine,1972,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1972,Mink Enteritis Vaccine,,NO,
VO:0001540,Feline calicivirus Killed Virus Vaccine (USDA: 15C5.21),1766,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1766,Feline Calicivirus Killed Virus Vaccine (USDA: 15C5.21),,NO,
VO:0001541,Feline calicivirus Modified Live Virus Vaccine (USDA: 15C1.22),1765,VIOLIN: https://violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=1765,Feline Calicivirus Modified Live Virus Vaccine (USDA: 15C1.22),,NO,
