ID,LABEL,inSubset,Category,comment,Parent,Parent (name),Equivalent Class,has drug brand name,has drug dose form,alternative label,definition,definition source,term editor,editor note,term tracker item,comment,hasDbXref,NCBI GeneID,Gene names,trade name,immunizes recipient,violin_host,lab animal,violin_animal,status of vaccine development,immunizes against disease,immunizes against pathogen,violin_pathogen,is_manufactured_by,is_manufactured_by (name),has flu season,vaccine type,violin_vaccine_type,has part,has component,has gene mutation,has vaccine allergen,has function,expresses,vaccinated in route,has drug package,associated axioms,has drug supplier,has quantity,has_component,has drug strength
VO:0000017,killed vaccine,vaccine,category,,VO:0000315,inactivated vaccine,,,,,whole organism vaccine that uses killed pathogen organism as its component.,,Asiyah Yu Lin,,,,,,,,,,,,,,,,,,,inactivated vaccine role,,,,,,,,,,,,,,
VO:0000018,Brucella abortus DNA vaccine pcDNA-SOD,vaccine,VIOLIN,VIOLIN,VO:0001225,Brucella abortus DNA vaccine,,,,,A Brucella abortus vaccine that expresses Cu/Zn SOD with DNA plasmid pcDNA. ,PMID:15039330,Oliver He,,,,,,,,,,Mus musculus,,vaccine in research role,brucellosis,Brucella abortus,Brucella spp.,,,,vaccine in research role|DNA vaccine role,DNA vaccine,,,,,,sodC from B. abortus strain 2308,,,,,,,
VO:0000021,Brucella abortus vaccine RB51,vaccine,VIOLIN,VIOLIN,VO:0001134,live attenuated Brucella abortus vaccine,,,,B. abortus RB51|Brucella RB-51|Brucella RB51|SRB51,Brucella abortus vaccine RB51 is a Brucella abortus vaccine that is licensed in the USA since 1992.,PMID:10534009|PMID:11193615|PMID:11500423|PMID:11504226|PMID:11504238|PMID:11553603|PMID:11768128|PMID:12119140|PMID:12438380|PMID:12704101|PMID:1439207|PMID:16713034|PMID:17653832|PMID:17894637|PMID:18836016|PMID:1908158|PMID:19362381|PMID:19439382|PMID:7622248|PMID:7806364|PMID:7927779|PMID:8039890|PMID:8740701|PMID:8890203|WEB: http://rb51.com,Oliver He,,,,,,,,Bos taurus,Bos taurus,Mus musculus|Bison bison,,licensed vaccine role,brucellosis,Brucella abortus,Brucella spp.,VO:0000890,Colorado Serum Company CZ Veterinaria,,,Live attenuated B. abortus strain,,,wboA from B. abortus strain 2308,,preventive vaccine function,,,,,,,,
VO:0000022,Brucella abortus vaccine strain 19,vaccine,VIOLIN,VIOLIN,VO:0001134,live attenuated Brucella abortus vaccine,,,,Brucella S19|Brucella strain-19,A live attenuated Brucella abortus vaccine that is licensed and used in many countries.,PMID:11058778|PMID:8039890,Oliver He,,,,,,,,Bos taurus,Bos taurus,Mus musculus,Mus musculus,licensed vaccine role,brucellosis,Brucella abortus,Brucella spp.,,,,,Attenuated live vaccine,,,,,preventive vaccine function,,,,,,,,
VO:0000025,Brucella vaccine,vaccine,category,,VO:0000165,bacterial vaccine,('vaccine') and ('immunizes against pathogen' some 'Brucella'),,,brucellosis vaccine,A vaccine that protects against Brucella that causes brucellosis in animals and humans.,,Oliver He,,,,MeSH: D002004,,,,,,,,,brucellosis,Brucella,,,,,,,,,,,,,,,,,,,
VO:0000028,Comvax vaccine,vaccine,VIOLIN,RxNorm not in OMOP|VIOLIN,VO:0000746,Haemophilus b and Hepatitis B vaccine,('Haemophilus b and Hepatitis B vaccine' and 'has drug brand name' value 'COMVAX'),COMVAX,,,,http://purl.bioontology.org/ontology/RXNORM/139056,Oliver He,,,Product Name: Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate) & Hepatitis B Vaccine (Recombinant),,,,Comvax,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,hepatitis B|haemophilus meningitis,Hepatitis B virus|Haemophilus influenzae serotype b,Hepatitis B virus|Haemophilus influenzae,VO:0000695,"Merck & Co., Inc.",,,Conjugate vaccine,,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine|Hepatitis B surface antigen vaccine,,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000029,Daptacel vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,('Diphtheria-Tetanus-Pertussis vaccine' and 'has drug brand name' value 'Daptacel'),Daptacel,,,,http://purl.bioontology.org/ontology/RXNORM/352572|https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM241874.pdf,Kallan Roan|Oliver He,Vaccine components see http://www.vaccinesafety.edu/components-DTaP.htm,,,,,,DAPTACEL,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,diphtheria|tetanus|pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,VO:0000699,Sanofi Pasteur Limited,,inactivated vaccine role|toxoid vaccine role|combination vaccine role|vaccine monovalent role,Toxoid vaccine,,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis fimbriae 2/3 vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|diphtheria toxoid vaccine, inactivated|tetanus toxoid vaccine, inactivated",,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000030,Decavac vaccine,vaccine,VIOLIN,VIOLIN,VO:0000732,Diphtheria-Tetanus vaccine,('Diphtheria-Tetanus vaccine' and 'has drug brand name' value 'Decavac'),Decavac,,,,,Oliver He,,,Product Name: Tetanus & Diphtheria Toxoids Adsorbed for Adult Use,,,,DECAVAC,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,diphtheria|tetanus,Corynebacterium diphtheriae|Clostridium tetani,Corynebacterium diphtheriae|Clostridium tetani,VO:0000700,"Sanofi Pasteur, Inc",,,Toxoid vaccine,,,,,preventive vaccine function,,,,,,,,
VO:0000031,MenHibrix vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000662,Haemophilus influenzae serotype b vaccine,('Haemophilus influenzae serotype b vaccine' and 'has drug brand name' value 'MenHibrix'),MenHibrix,,,A vaccine for active immunization to prevent invasive disease caused by Neisseria meningitidis serogroups C and Y and Haemophilus influenzae type b. MENHIBRIX is approved for use in children 6 weeks of age through 18 months of age.,http://purl.bioontology.org/ontology/RXNORM/1437912|https://www.fda.gov/biologicsbloodvaccines/vaccines/approvedproducts/ucm308566.htm,Kallan Roan|Oliver He,,,,,,,MenHibrix,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,haemophilus meningitis|meningococcal meningitis,Neisseria meningitidis|Haemophilus influenzae serotype b,Haemophilus influenzae|Neisseria meningitidis,VO:0000690,GlaxoSmithKline plc,,inactivated vaccine role|conjugate vaccine role|combination vaccine role|vaccine multivalent role,Conjugate vaccine,,"Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine|MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y|meningococcal group C polysaccharide",,,preventive vaccine function,,,,,,,,
VO:0000032,DNA vaccine,vaccine,category,,VO:0005505,vaccine by mode of production,('vaccine') and ('has role' some 'DNA vaccine role'),,,genetic vaccine|naked DNA vaccine|nucleic acid vaccine,A vaccine that is composed of a plasmid vaccine vector (a circular double stranded DNA molecule) containing the whole of parts of genes encoding one or more vaccine antigen proteins.,,Oliver He,,,,,,,,,,,,,,,,,,,DNA vaccine role,,,,,,,,,,,,,,
VO:0000033,Diphtheria and Tetanus Toxoids Adsorbed USP vaccine by Sanofi Pasteur Inc,vaccine,VIOLIN,VIOLIN,VO:0000732,Diphtheria-Tetanus vaccine,,,,Diphtheria and Tetanus Toxoids Adsorbed USP by Sanofi Pasteur Inc,,,Oliver He,,,Product Name: Diphtheria & Tetanus Toxoids Adsorbed,,,,,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,diphtheria|tetanus,Corynebacterium diphtheriae|Clostridium tetani,Clostridium tetani|Corynebacterium diphtheriae,VO:0000700,"Sanofi Pasteur, Inc",,,Toxoid vaccine|Inactivated or killed vaccine,,,,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000035,Dryvax vaccine,vaccine,add,,VO:0000433,vaccinia virus vaccine,('vaccinia virus vaccine' and 'has drug brand name' value 'Dryvax'),Dryvax,,,"A vaccinia virus vaccine that is a freeze-dried calf lymph smallpox vaccine, specifically, Dryvax is a live-virus preparation of vaccinia prepared from calf lymph. ",http://en.wikipedia.org/wiki/Dryvax,Oliver He,"Dryvax is a freeze-dried calf lymph smallpox vaccine. It is the world's oldest smallpox vaccine, created in the late 19th century by American Home Products, a predecessor of Wyeth. By the 1940s, Wyeth was the leading US manufacturer of the vaccine and the only manufacturer by the 1960s. After world health authorities declared smallpox had been eradicated from nature in 1980, Wyeth stopped making the vaccine.",,"Product Name: Smallpox Vaccine, Dried, Calf Lymph Type",,,,Dryvax,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,smallpox,Variola virus,,VO:0000701,Wyeth Pharmaceuticals Inc,,,,,,,,preventive vaccine function,,,,,,,,
VO:0000036,ETEC vaccine ACAM2010,vaccine,VIOLIN,VIOLIN,VO:0000619,E. coli live attenuated vaccine,,,,,A CFA/I‐expressing vaccine.,PMID:17566016,Oliver He,,,,,,,,Homo sapiens,,,,,,Escherichia coli,Escherichia coli,,,,live attenuated vaccine role,Live attenuated,,,,,,,,,,,,,
VO:0000037,adenovirus vaccine,vaccine,category,,VO:0000609,viral vaccine,('vaccine') and ('immunizes against pathogen' some 'Adenoviridae'),,,,A viral vaccine that protects against infection of an adenovirus.,,Oliver He|Samantha G. Sayers,,,,,,,,,,,,,respiratory system disease,Adenoviridae,,,,,,,,,,,,,,,,,,,
VO:0000041,Escherichia coli vaccine,vaccine,category,,VO:0000165,bacterial vaccine,('vaccine') and ('immunizes against pathogen' some 'Escherichia coli'),,,E. coli vaccine,A bacterial vaccine that prevents against Escherichia coli infection.,,Oliver He,,,,MeSH: D022361,,,,,,,,,,Escherichia coli,,,,,,,,,,,,,,,,,,,
VO:0000043,FluLaval,vaccine,VIOLIN,FDA|VIOLIN,VO:0001236,trivalent influenza vaccine,,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112845.htm,Kallan Roan|Oliver He,,,"Product Name: Influenza Virus Vaccine, Trivalent, Types A and B",,,,FluLaval,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,influenza,Alphainfluenzavirus|Betainfluenzavirus,Influenza virus,VO:0002498,ID Biomedical Corporation of Quebec,,inactivated vaccine role|vaccine multivalent role,Inactivated or killed vaccine,,,,chicken egg protein allergen,preventive vaccine function,,intramuscular route,,,,,,
VO:0000044,FluMist,vaccine,VIOLIN,FDA|VIOLIN,VO:0001236,trivalent influenza vaccine,,,,,,WEB: http://www.cdc.gov/vaccines/pubs/pinkbook/downloads/appendices/B/excipient-table-2.pdf|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094047.htm,Kallan Roan|Oliver He,,,,,,,FluMist,Homo sapiens,Homo sapiens,,,Canada licensed vaccine role|FDA licensed vaccine role,influenza,Alphainfluenzavirus|Betainfluenzavirus,Influenza virus,VO:0000694,"MedImmune Vaccines, Inc",,live attenuated vaccine role|vaccine multivalent role,Live attenuated vaccine,,,,chicken egg protein allergen|neomycin,preventive vaccine function,,intranasal route by spray,,,,,,
VO:0000045,Fluarix vaccine,vaccine,VIOLIN,RxNorm Extension not in OMOP|FDA|VIOLIN,VO:0001236,trivalent influenza vaccine,('trivalent influenza vaccine' and 'has drug brand name' value 'Fluarix'),Fluarix,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112850.htm,Kallan Roan|Oliver He,,,,,,,Fluarix,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,influenza,Alphainfluenzavirus|Betainfluenzavirus,Influenza virus,VO:0000690,GlaxoSmithKline plc,,inactivated vaccine role|vaccine multivalent role,Inactivated or killed vaccine,,,,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000046,Fluvirin,vaccine,VIOLIN,FDA|VIOLIN,VO:0001236,trivalent influenza vaccine,,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112852.htm,Kallan Roan|Oliver He,,,"Product Name: Influenza Virus Vaccine, Trivalent, Types A and B",,,,Fluvirin,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,influenza,Alphainfluenzavirus|Betainfluenzavirus,Influenza virus,VO:0000696|VO:0005571,Novartis Vaccines and Diagnostics|Seqirus Vaccines Limited,,inactivated vaccine role|vaccine multivalent role,Inactivated or killed vaccine,,,,chicken egg protein allergen,preventive vaccine function,,intramuscular route,,,,,,
VO:0000047,Fluzone,vaccine,VIOLIN,FDA|VIOLIN,VO:0001236,trivalent influenza vaccine,,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112854.htm,Kallan Roan|Oliver He,,,"Product Name: Influenza Virus Vaccine, Trivalent, Types A and B",,,,Fluzone,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,influenza,Alphainfluenzavirus|Betainfluenzavirus,Influenza virus,VO:0000699,Sanofi Pasteur Limited,,inactivated vaccine role|vaccine multivalent role,Inactivated or killed vaccine,,,,chicken egg protein allergen,preventive vaccine function,,intramuscular route,,,,,,
VO:0000049,Gardasil vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000667,human papillomavirus vaccine,('human papillomavirus vaccine' and 'has drug brand name' value 'Gardasil'),Gardasil,,,"Quadrivalent vaccine meaning it protects against 4 strains of virus (types 6, 11, 16, and 18). The vaccine was made using genetic engineering techniques. The genes that encode a specific protein from each of these strains are expressed in yeast in large-scale fermentation cultures. Protein purification methods are then used to isolate the proteins and make the vaccine.
Cited from: 
http://biotech.about.com/b/2008/09/03/gardasil-safety-of-genetically-engineered-hpv-vaccine-still-in-question.htm",http://purl.bioontology.org/ontology/RXNORM/659877|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094042.htm,Kallan Roan|Oliver He,,,,,,,Gardasil,Homo sapiens,Homo sapiens,,,Canada licensed vaccine role|FDA licensed vaccine role,Human papillomavirus infectious disease,Human papillomavirus,Human Papillomavirus,VO:0000695,"Merck & Co., Inc.",,recombinant vector vaccine role|vaccine multivalent role,Subunit vaccine,,"L1 protein, Human papillomavirus type 11 Vaccine|L1 protein, Human papillomavirus type 16 Vaccine|L1 protein, Human papillomavirus type 18 Vaccine|L1 protein, Human papillomavirus type 6 Vaccine|protein of pathogen organism as vaccine component",,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000052,Havrix vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000646,Hepatitis A virus vaccine,('Hepatitis A virus vaccine') and ('has drug brand name' value 'Havrix'),Havrix,,Havrix,,,OHDSI Vaccine WG,,,,,,,HAVRIX,Homo sapiens,Homo sapiens,,,Canada licensed vaccine role|FDA licensed vaccine role,hepatitis A,Hepatovirus A,Hepatitis A virus,VO:0000690,GlaxoSmithKline plc,,,Inactivated or killed vaccine,,,,,preventive vaccine function,,,,,,,,
VO:0000053,Neisseria meningitidis vaccine,vaccine,category,,VO:0000165,bacterial vaccine,('vaccine') and ('immunizes against pathogen' some 'Neisseria meningitidis'),,,Meningococcal vaccine,Vaccine that protects against Neisseria meningitidis infection.,,Oliver He,,,,MeSH: D022401,,,,,,,,,meningococcal meningitis,Neisseria meningitidis,,,,,,,,,,,,,,,,,,,
VO:0000054,IPOL vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000664,Poliovirus vaccine,('Poliovirus vaccine' and 'has drug brand name' value 'Ipol'),Ipol,,,"IPOL, Poliovirus Vaccine Inactivated is a sterile suspension of three types of poliovirus: Type 1 (Mahoney), Type 2 (MEF-1), and Type 3 (Saukett). IPOL vaccine is a highly purified, inactivated poliovirus vaccine with enhanced potency.",http://purl.bioontology.org/ontology/RXNORM/287617|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm180053.htm,Kallan Roan|Oliver He,,,,,,,IPOL,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,poliomyelitis,Enterovirus C,Poliovirus,VO:0000703,"Sanofi Pasteur, SA",,inactivated vaccine role|vaccine monovalent role,Inactivated or killed vaccine,,"poliovirus vaccine inactivated, type 1 (Mahoney)|poliovirus vaccine inactivated, type 2 (MEF-1)|poliovirus vaccine inactivated, type 3 (Saukett)",,,preventive vaccine function,,intramuscular route|subcutaneous route,,,,,,
VO:0000063,Imovax Rabies (USA),vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000650,Rabies virus vaccine,,Imovax,,,"The Imovax(R) 9 Rabies Vaccine is a sterile, stable, freeze-dried 10 suspension of rabies virus prepared from strain PM-1503-3M.",http://purl.bioontology.org/ontology/RXNORM/1659730|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm180097.htm,Oliver He,,,,,,,IMOVAX,Homo sapiens,Homo sapiens,,,FDA licensed vaccine role,rabies,Lyssavirus rabies,Rabies virus,VO:0000703,"Sanofi Pasteur, SA",,inactivated vaccine role|vaccine monovalent role,Inactivated or killed vaccine,,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated",,,preventive vaccine function,,intramuscular route,,,,,,
VO:0000064,Infanrix vaccine,vaccine,VIOLIN,RxNorm not in OMOP|FDA|VIOLIN,VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,('Diphtheria-Tetanus-Pertussis vaccine' and 'has drug brand name' value 'Infanrix'),Infanrix,,,,http://purl.bioontology.org/ontology/RXNORM/224903|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm101568.htm,Kallan Roan|Oliver He,,,,,,,INFANRIX,Homo sapiens,Homo sapiens,,,Canada licensed vaccine role|FDA licensed vaccine role,diphtheria|tetanus|pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,Corynebacterium diphtheriae|Clostridium tetani|Bordetella pertussis,VO:0000690,GlaxoSmithKline plc,,inactivated vaccine role|toxoid vaccine role|combination vaccine role|vaccine monovalent role,Inactivated or killed vaccine|Toxoid vaccine,,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|diphtheria toxoid vaccine, inactivated|protein of pathogen organism as vaccine component|tetanus toxoid vaccine, inactivated",,,preventive vaccine function,,intramuscular route,,,,,,
