ID,LABEL,Parent,Parent (name),inSubset,Equivalent Class,realized in,has part,has quality,has role,characteristic of,is about,mentions,part of,realized in,axioms,definition,definition source,term editor,alternative label,editor note,comment,term tracker item
VO:0000248,history of asthma,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000255,usage of bronchodilator,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000261,usage of steroid,VO:0000207,vaccine contraindication,disposition,,,,,,,,,,,,,,Oliver He,,,,
VO:0000452,preventive vaccine function,VO:0000278,vaccine function,disposition,,disorder prevention|induction of adaptive immune response to antigen|vaccination,,,,,,,,disorder prevention|induction of adaptive immune response to antigen|vaccination,,A vaccine function realized by the process of vaccination and leading to induction of an adaptive immune response to prevent a specific disorder.,,Oliver He|Jie Zheng,prophylactic vaccine function,,,
VO:0000562,therapeutic vaccine function,VO:0000278,vaccine function,disposition,,disorder treatment|vaccination,,,,,,,,disorder treatment|vaccination,,A vaccine function realized the process of vaccination and leading to induction of an adaptive immune response to treat an existing specific disorder.,,Oliver He|Jie Zheng,,,,
VO:0001089,CDC recommendation of the use of  Influenza A (h1N1) 2009 vaccine,IAO:0000001,conditional specification,information content entity,,,,,,,,,,,,,WEB: http://www.cdc.gov/mmwr/preview/mmwrhtml/rr58e0821a1.htm,Oliver He|Allen Xiang,,,,
VO:0001160,vaccination dose specification,OBI:0000969,dose specification,information content entity,,,,,,,vaccination,,,,,,,Oliver He|Allen Xiang,,,,
VO:0001161,challenge dose specification,OBI:0000969,dose specification,information content entity,,,,,,,pathogen challenge,,,,,,,Oliver He|Allen Xiang,,,,
VO:0010288,study design variable,IAO:0000033,directive information entity,information content entity,(OBI:0000751 or OBI:0000750),,,,,,,,,,,A directive information entity that is part of a study design. It can be eithor independent variables whose values are selected to determine its relationship to an observed phenomenon (the dependent variable) or dependent variables that are studied and expected to change when the independent variable varies.,,Jie Zheng,,,,
VO:0001364,human immunization objective,VO:0000585,immunization objective,information content entity,,,,,,,,,,,,,,,,,,
VO:0010149,no vaccine administered,IAO:0000030,information content entity,information content entity,,,,,,,,,,,,An information content entity that specify no vaccine adminstered.,https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx,Jie Zheng,,,,
VO:0010229,reserved cvx code for not using,IAO:0000030,information content entity,information content entity,,,,,,,,,,,,An information content entity that specifies the CVX code that will not be used to avoid confusion with code 999.,https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx,Jie Zheng,RESERVED - do not use,,,
VO:0015077,drug brand name,IAO:0000030,information content entity,information content entity,,,,,,,,,,,,An information content entity that specifies a family of drug products containing a specific active ingredient.,https://www.nlm.nih.gov/research/umls/rxnorm/docs/appendix5.html,Jie Zheng,,,,
VO:0006019,Historical record of a typhus vaccination,IAO:0000030,information content entity,information content entity,,,,,,,,,,,,,,,typhus historical,,,
VO:0010395,flu season,IAO:0000030,information content entity,information content entity,,,,,,,,,,,,"A period typically associated with a higher incidence of influenza virus infections, characterized by the increased circulation of flu viruses in a population.","https://www.cdc.gov/flu/about/season/index.html#:~:text=While%20influenza%20viruses%20spread%20year,varies%20from%20season%20to%20season|https://www.cdc.gov/ncird/whats-new/flu-southern-hemisphere.html|PMID: 37535890",Jie Zheng|Xingxian Li|Ellen Zhang,,"Flu viruses circulate year-round, but most cases are typically reported during the fall and winter months, a period known as flu season (CDC, 2022). The seasonality of flu varies globally, influenced by the distinct seasonal patterns of each hemisphere. Therefore, the flu season in the Northern Hemisphere often spans two calendar years, while in the Southern Hemisphere, it generally occurs within a single year. In temperate climate zones, peak flu activity typically occurs from October to April in the Northern Hemisphere and from April to October in the Southern Hemisphere (CDC, 2023; Kakoullis et al., 2023). In the United States, the flu season typically peaks between December and February, according to the CDC (2022).",,
VO:0000055,vaccine related journal article,IAO:0000013,journal article,information content entity,,,,,,,,vaccine,,,,"A jourmal article that mentions a vaccine, which was retrieved from PubMed and annotated using VO-SciMinner.",PMID:21871085,Asiyah Yu Lin,,,,
VO:0010261,vaccine study design,OBI:0500000,study design,information content entity,,,,,,,,,,,,A study design that is about a vaccine study.,,Anthony Huffman,,,,
VO:0000585,immunization objective,IAO:0000005,objective specification,information content entity,,,,,,,,,,,,immunization objective is the specification of an objective to achieve immunization.,WEB: http://en.wikipedia.org/wiki/Immunization,Oliver He|Allen Xiang,,,,
VO:0001257,prevention of disorder objective,IAO:0000005,objective specification,information content entity,,,,,,,,,,,,The specification of an objective to prevent a disorder.,,Oliver He,,,,
VO:0001258,amelioration of disorder objective,IAO:0000005,objective specification,information content entity,,,,,,,,,,,,The specification of an objective to ameliorate  a disorder.,,Oliver He,,,,
VO:0001479,vaccine target specification,IAO:0000005,objective specification,information content entity,,,,,,,,,,,,The objective that intends to produce vaccine via the vaccine preparation process.,,Oliver He,,,,
VO:0001162,specification of vaccination-challenge interval,IAO:0000104,plan specification,information content entity,,,,,,,,,,,,specification of time interval after vaccination for challenge is a plan specification that specifies the time interval after vacciation for challenge,,Oliver He|Allen Xiang,,,,
VO:0000572,vaccination protocol,OBI:0000272,protocol,information content entity,,,,,,,vaccination,,,,,vaccination protocol is the protocol of a vaccination procedure.,,Oliver He,vaccination schedule,,,
VO:0001163,pathogen challenge protocol,OBI:0000272,protocol,information content entity,,,,,,,,,,,,pathogen challenge protocol is a protocol that is used for a pathogen challenge process.,,Oliver He|Allen Xiang,,,,
VO:0010150,record of unknown vaccine or immune globulin,OBI:0000852,record of missing knowledge,information content entity,,,,,,,,,,,,A record of missing knowledge indicating that vaccine or immune globulin is unknown.,https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx,Jie Zheng,unknown vaccine or immune globulin,,,
VO:0010126,host species variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the species of the host used for a study.,PMID:29485622,Anthony Huffman,,,,
VO:0010129,host disease state variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,"A variable representing the host's participation in a disease state (i.e. healthy, or diabetic).",PMID:32516066,Anthony Huffman,,,,
VO:0010130,host sex variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the biological sex of the host,PMID:29485622,Anthony Huffman,,,,
VO:0010131,host age variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the age of the host,PMID:32347787,Anthony Huffman,,,,
VO:0010132,host pregnancy variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the presence of another developing organism in an animal host,PMID:34082643,Anthony Huffman,,,,
VO:0010134,host comorbidity variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing host quality's that leads to a wore outcome to vaccination or pathogen disease state.,PMID:32516066,Anthony Huffman,,,,
VO:0010145,host pathogen exposure variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the prior immungenic memory a host has against a specific pathogen,PMID:32668444,Anthony Huffman,,,,
VO:0010234,host lineage variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,"A variable representing the lineage (breed, ethnicity) of the animal host",PMID:35469999,Anthony Huffman,,,,
VO:0010235,vaccination-challenge interval variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the interval between vaccination and pathogen challenge,PMID:34328699,Anthony Huffman,,,,
VO:0010236,intevention interval variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the interval between the vaccination and pathogen challenge start,PMID:34328699,Anthony Huffman,,,,
VO:0010237,challenge-killing interval variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the interval between the pathogen challenge start and end,PMID:34328699,Anthony Huffman,,,,
VO:0010238,challenge admistration route,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the administration route of the pathogen challenge,PMID:34328699,Anthony Huffman,,,,
VO:0010239,sacrifice process variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the planned process used for the sacrifice,PMID:34328699,Anthony Huffman,,,,
VO:0010240,host adverse event variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the presence of host adverse events from the vaccination process.,PMID:34153517,Anthony Huffman,,,,
VO:0010241,assay mesurement variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the measurement used for an assay,PMID:29485622,Anthony Huffman,,,,
VO:0010242,assay sample endpoint variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the timepoint a biological sample was taken after vaccination,PMID:29485622,Anthony Huffman,,,,
VO:0010243,assay type variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,"A variable representing the assay type (ELISA, microarray) etc.",PMID:29485622,Anthony Huffman,,,,
VO:0010244,assay analysis tool version variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the programs used to analyze an assay,PMID:29485622,Anthony Huffman,,,,
VO:0010245,assay sample source variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the tissue or source of sample used for an assay.,PMID:29485622,Anthony Huffman,,,,
VO:0010246,assay platform variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,"A variable representing the assay platform used (Nanopore,) etc.",PMID:29485622,Anthony Huffman,,,,
VO:0010247,pathogen variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the species or type of the pathogen,PMID:29485622,Anthony Huffman,,,,
VO:0010248,pathogen strain variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the lineage of pathogen strain (incljuding presence or absence of virulence factors),PMID:24259431,Anthony Huffman,,,,
VO:0010249,pathogen attenuation variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the presence of an attenuation process (killed microbe) on a pathogen challenge,PMID:29485622,Anthony Huffman,,,,
VO:0010250,host vaccination frequency variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the host vaccination frequency etc.,PMID:29485622,Anthony Huffman,,,,
VO:0010251,vaccination route variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the vaccination route etc.,PMID:24259431,Anthony Huffman,,,,
VO:0010252,vaccination dose variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing dose representing the vaccination ,PMID:34328699,Anthony Huffman,,,,
VO:0010253,vaccination frequency variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable represting the number of occurences a vaccination was administered,PMID:24259431,Anthony Huffman,,,,
VO:0010254,vaccination interval variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the interval between multiple vaccinations.,PMID:24259431,Anthony Huffman,,,,
VO:0010255,vaccine target variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,"A variable representing the vaccine target (pathogen, disease) etc.",PMID:24259431,Anthony Huffman,,,,
VO:0010256,vaccine antigen variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,"A variable representing the vaccine antigen (SARS-CoV-2 protein, whole organism) etc.",PMID:24259431,Anthony Huffman,,,,
VO:0010257,vaccine adjuvant variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the vaccine adjuvant (silver) etc.,PMID:24259431,Anthony Huffman,,,,
VO:0010258,vaccine vector variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,"A variable representing the vaccine vector (DNA plasmid, viral vector) etc.",PMID:24259431,Anthony Huffman,,,,
VO:0010259,vaccine preservative variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A variable representing the vaccine preservative ,PMID:24259431,Anthony Huffman,,,,
VO:0010260,vaccine study design variable,VO:0010288,study design variable,information content entity,,,,,,,,,,,,A study design variable that is used in a vaccine study.,,Anthony Huffman,,,,
VO:0000453,prime boost regimen,VO:0000572,vaccination protocol,information content entity,,,,,,,,,,,,,,Oliver He,,,,
VO:0010262,host response to vaccine study design,VO:0010261,vaccine study design,information content entity,,,,,,,,,,,,A vaccine study design that is about the host response to a vaccine.,,Anthony Huffman,,,,
VO:0010263,vaccine challenge study design,VO:0010261,vaccine study design,information content entity,,,,,,,,,,,,A vaccine study design that is about the vaccine challenge to a host.,,Anthony Huffman,,,,
VO:0000811,vaccine epitope,OBI:1110034,antigen,material entity,,,,,,,,,,,,,,Oliver He,,,,
VO:0000907,surface antigens from the zona pellucida,OBI:1110034,antigen,material entity,,,,,,,,,,,,,,Oliver He,,,,
VO:0001232,protective antigen,OBI:1110034,antigen,material entity,('antigen' and 'has role' some 'protective antigen role'),,,,protective antigen role,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0007655,tumor antigen,OBI:1110034,antigen,material entity,('tumor-specific antigen' or 'tumor-associated antigen'),,,,,,,,,,,Either a tumor-specific or a tumor-associated antigen.,,Jie Zheng|Anna Maria Masci|Oliver He|Barry Smith,,,,https://github.com/vaccineontology/VO/issues/677
VO:0000486,chicken ovalbumin egg protein allergen,VO:0000912,chicken egg protein allergen,material entity,,,,,,,,,,,,"A chicken egg protein allergen where the protein allergen is ovalbumin, the main protein found in egg write, making up 60-65% of the total protein.",WEB: http://en.wikipedia.org/wiki/Ovalbumin,Oliver He,,,,
VO:0015062,injectable product,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0015075,intramuscular solution,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0018843,oral,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0018844,oral suspension,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0018845,powder for oral suspension,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0018846,oral capsule,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0018847,oral tablet,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0019097,oral product,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0019098,pill,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0019100,nasal spray,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0019101,oral liquid product,VO:0015061,drug dose form,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0000972,LHRH,FMA:12278,Hormone,material entity,,,,,,,,,,,,,,Oliver He,luteinizing hormone-releasing hormone,,,
VO:0001080,Androstenedione,FMA:12278,Hormone,material entity,,,,,,,,,,,,,,Oliver He,,,,
VO:0000554,human vaccinee at age 2-17 years old,VO:0000544,human vaccinee,material entity,,,,,,,,,human vaccinee at age 2-17 years old,,,,,,,,,
VO:0000548,human vaccinee population at age 2-17 years old,VO:0000545,human vaccinee population,material entity,,,human vaccinee population at age 2-17 years old,,,,,,,,,,,,,,,
VO:0007654,HPV infection,IDO:0000586,infection,material entity,,,,,,,,,,,,An infection that has as part organisms of the human papillomavirus (HPV).,,Jie Zheng,,,,https://github.com/vaccineontology/VO/issues/677
VO:0015065,prefilled syringe,VO:0015062,injectable product,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0015072,injectable suspension,VO:0015062,injectable product,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0015073,injectable solution,VO:0015062,injectable product,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0015074,injection form,VO:0015062,injectable product,material entity,,,,,,,,,,,,,,Jie Zheng,injection,,,
VO:0000545,human vaccinee population,BFO:0000040,material entity,material entity,,,human vaccinee,,,,,,,,,a population of human beings who are vaccinated.,,,,,,
VO:0000910,vaccine allergen,BFO:0000040,material entity,material entity,('material entity' and 'has disposition' some 'vaccine allergen disposition'),,,,,,,,,,('has disposition' some 'vaccine allergen disposition'),vaccine allergen is a material entity that is capable of stimulating a type-I hypersensitivity reaction in atopic individuals who has been vaccinated with a vaccine.,WEB: http://www.cdc.gov/vaccines/pubs/pinkbook/downloads/appendices/B/excipient-table-2.pdf,Oliver He|Allen Xiang,,,,
VO:0003030,gelatin,BFO:0000040,material entity,material entity,,,,,,,,,,,,"Gelatin is a mixture of peptides and proteins produced by partial hydrolysis of collagen extracted from the skin, boiled crushed bones, connective tissues, organs and some intestines of animals such as domesticated cattle, chicken, and pigs.(wikipedia)",,Asiyah Yu Lin,,,,
VO:0015061,drug dose form,BFO:0000040,material entity,material entity,,,,,,,,,,,,A material entity of a drug based on their general physical form and how they are administered.,https://www.nlm.nih.gov/research/umls/rxnorm/docs/appendix3.html,Jie Zheng,dose form group,,,
VO:0015076,drug package,BFO:0000040,material entity,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0000560,toxin,CHEBI:23367,molecular entity,material entity,,,,,,,,,,,,A toxin is a poisonous substance produced within living cells or organisms; man-made substances created by artificial processes are thus excluded. ,,Oliver He,,,"The term was first used by organic chemist Ludwig Brieger (1849-1919).[3]
For a toxic substance not produced within living organisms, ""toxicant"" and ""toxics"" are also sometimes used.[citation needed].
Toxins can be small molecules, peptides, or proteins that are capable of causing disease on contact with or absorption by body tissues interacting with biological macromolecules such as enzymes or cellular receptors. Toxins vary greatly in their severity, ranging from usually minor and acute (as in a bee sting) to almost immediately deadly (as in botulinum toxin).-- from Wikipedia.
",
VO:0019099,delayed release oral capsule,VO:0018846,oral capsule,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0019102,delayed release oral tablet,VO:0018847,oral tablet,material entity,,,,,,,,,,,,,,Jie Zheng,,,,
VO:0000299,company,OBI:0000245,organization,material entity,,,,,,,,,,,,A legal organization that represents an association of people with a specific objective.,https://en.wikipedia.org/wiki/Company,Oliver He,,,,
VO:0000546,vaccinee population,OBI:0000181,population,material entity,,,,,,,,,,,,a population group that are vaccinated with a specific vaccine,,Oliver He,vaccinee group,,,
VO:0001094,pregnant women,OBI:0000181,population,material entity,,,,,,,,,,,,,WEB: http://www.cdc.gov/mmwr/preview/mmwrhtml/rr58e0821a1.htm,Asiyah Yu Lin|Allen Xiang,,,,
VO:0001098,persons living with or providing care for infants aged <6 months,OBI:0000181,population,material entity,,,,,,,,,,,,,WEB: http://www.cdc.gov/mmwr/preview/mmwrhtml/rr58e0821a1.htm,Asiyah Yu Lin|Allen Xiang,,,,
VO:0001099,health-care and emergency medical services personnel,OBI:0000181,population,material entity,,,,,,,,,,,,,WEB: http://www.cdc.gov/mmwr/preview/mmwrhtml/rr58e0821a1.htm,Asiyah Yu Lin|Allen Xiang,,,,
VO:0001100,persons aged 6 months--24 years,OBI:0000181,population,material entity,,,,,,,,,,,,,WEB: http://www.cdc.gov/mmwr/preview/mmwrhtml/rr58e0821a1.htm,Asiyah Yu Lin|Allen Xiang,,,,
VO:0001101,persons aged 25--64 years with  medical conditions at higher risk for influenza-related complications,OBI:0000181,population,material entity,,,,,,,,,,,,,WEB: http://www.cdc.gov/mmwr/preview/mmwrhtml/rr58e0821a1.htm,Asiyah Yu Lin|Allen Xiang,,,,
VO:0000575,vaccine candidate,OBI:0000047,processed material,material entity,,,,,vaccine candidate role,,,,,,,vaccine candidate is a processed material that is designed to prevent or ameliorate a disorder in a target organism by modulating adaptive immune responses in that organism by administrating the vaccine.,,Oliver He|Alan Ruttenburg|Bjoern Peters|Lindsay Cowell|Melanie Courtot|Allen Xiang,,"During our call, we decided not to say vaccine candidate is an output of vaccine preparation, which may be reserved for vaccine alone. -- Aug 4, 2009.",,
VO:0001252,toxoid,OBI:0000047,processed material,material entity,,,,,,,,,,,,"is a bacterial toxin (usually an exotoxin) whose toxicity has been weakened or suppressed either by chemical (formalin) or heat treatment, while other properties, typically immunogenicity, are maintained.",WEB: http://en.wikipedia.org/wiki/Toxoid,Oliver He,,,,
VO:0010332,tumor-specific antigen,VO:0007655,tumor antigen,material entity,,,,,,,,,,,,Antigen that is only expressed by tumor cells.,,Jie Zheng|Anna Maria Masci|Oliver He|Barry Smith,,,,
VO:0010333,tumor-associated antigen,VO:0007655,tumor antigen,material entity,,,,,,,,,,,,Antigen that is overexpressed by tumor cells.,,Jie Zheng|Anna Maria Masci|Oliver He|Barry Smith,,,,
VO:0000912,chicken egg protein allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,chicken egg protein allergen is a vaccine allergen that is composed of chicken egg protein.,,Oliver He|Allen Xiang|Melanie Courtot,,"Egg protein may come from NCIS thesaurus egg - poultry, combination
of minimal anatomy terminology and NCBI taxonomy... Eventually, this term chicken egg protein allergen may become a cross product of sevreal ontology terms.",,
VO:0000913,latex vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000915,gelatin vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000916,protamine sulfate vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000917,polymyxin B vaccine allergen,VO:0000910,vaccine allergen,material entity,,,,,,,,,,,,,,Oliver He|Allen Xiang,,,,
VO:0000011,vaccine B cell epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,B cell epitope in vaccine,,,
VO:0000105,vaccine T cell epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,T cell epitope in vaccine,,,
VO:0000238,vaccine dominant epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,dominant epitope in vaccine,,,
VO:0000533,vaccine subdominant epitope,VO:0000811,vaccine epitope,material entity,,,,,,,,,,,,,,Oliver He,subdominant epitope in vaccine,,,
VO:0001090,vaccinee priority group,VO:0000546,vaccinee population,material entity,,,,,,,,,,,,A population group that have priority for  vaccination when a vaccine is first available.,,Oliver He|Allen Xiang,vaccination target group,,,
VO:0010463,humoral immune marker,OPMI:0000446,immune biomarker,material entity,,,,,,,,,,,,An immune biomarker that indicates a humoral immune response.,,Oliver He,,,,
VO:0010464,cell-mediated immune marker,OPMI:0000446,immune biomarker,material entity,,,,,,,,,,,,An immune biomarker that indicates a cell-mediated immune response.,,Oliver He,,,,
VO:0004869,HUMAN ADENOVIRUS E SEROTYPE 4 STRAIN CL-68578,NCBITaxon:10508,Adenoviridae,organism,,,,,,,,,,,,,http://purl.bioontology.org/ontology/RXNORM/1299785,,,,"CUI: C3159361|RXAUI: 4624424|TUI: T129, T121",
VO:0004871,HUMAN ADENOVIRUS B SEROTYPE 7 STRAIN 55142,NCBITaxon:10508,Adenoviridae,organism,,,,,,,,,,,,,http://purl.bioontology.org/ontology/RXNORM/1802483,,,,"CUI: C4083103|RXAUI: 8240118|TUI: T129, T121",
VO:0000333,Protozoa,NCBITaxon:2759,Eukaryota,organism,,,,,,,,,,,,"Protozoa are a diverse group of unicellular eukaryotic organisms,[1] many of which are motile. Originally, protozoa had been defined as unicellular protists with animal-like behavior, e.g., movement. Protozoa were regarded as the partner group of protists to protophyta, which have plant-like behaviour, e.g., photosynthesis.(http://en.wikipedia.org/wiki/Protozoa)",,Asiyah Yu Lin,,,,
VO:0000472,nontypeable Haemophilus influenzae,NCBITaxon:727,Haemophilus influenzae,organism,,,,,,,,,,,,"Nontypeable Haemophilus influenzae (NTHi) is a nonencapsulated Haemophilus influenzae (a gram-negative bacterium). It is the cause of a number of human respiratory tract diseases, such as otitis media, sinusitis, bronchitis, and pneumonia.",,Oliver He,NTHi,,,
VO:0000741,Haemophilus influenzae serotype b,NCBITaxon:727,Haemophilus influenzae,organism,,,,,,,,,,,,,,Oliver He,,,,
