ID,LABEL,inSubset,Parent,Parent (name),Equivalent Class,alternative label,term editor,Comment,immunizes host,immunizes against pathogen,has role,has component,has quality,has drug brand name,has drug dose form,has drug package,has drug supplier,has quantity,has component,has drug strength,JZ comment
VO:0015091,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta] Box of 1 by Merck,vaccine,VO:0015089,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Vaqta,prefilled syringe,Box of 1,Merck,0.5 ML,,100 UNT/ML,
VO:0015092,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta] Box of 1 by Sanofi,vaccine,VO:0015089,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe [Vaqta] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Vaqta,prefilled syringe,Box of 1,Sanofi,0.5 ML,,100 UNT/ML,
VO:0015093,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe Box of 1,vaccine,VO:0015087,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe,('0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 100 UNT/ML Prefilled Syringe') and 'has drug package' value 'Box of 1',,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,prefilled syringe,Box of 1,,0.5 ML,,100 UNT/ML,
VO:0015094,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe,vaccine,VO:0015249,Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,prefilled syringe,,,0.5 ML,,1000 UNT/ML,
VO:0015095,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Epaxal],vaccine,VO:0015094,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Epaxal,prefilled syringe,,,0.5 ML,,1000 UNT/ML,
VO:0015096,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Epaxal] Box of 1,vaccine,VO:0015095,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Epaxal],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Epaxal,prefilled syringe,Box of 1,,0.5 ML,,1000 UNT/ML,
VO:0015097,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Epaxal] Box of 1 by Stada,vaccine,VO:0015096,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Epaxal] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Epaxal,prefilled syringe,Box of 1,Stada,0.5 ML,,1000 UNT/ML,
VO:0015098,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Epaxal] Box of 10,vaccine,VO:0015095,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Epaxal],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Epaxal,prefilled syringe,Box of 10,,0.5 ML,,1000 UNT/ML,
VO:0015099,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Havpur],vaccine,VO:0015094,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havpur,prefilled syringe,,,0.5 ML,,1000 UNT/ML,
VO:0015100,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Havpur] Box of 1,vaccine,VO:0015099,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Havpur],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havpur,prefilled syringe,Box of 1,,0.5 ML,,1000 UNT/ML,
VO:0015101,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Havpur] Box of 1 by Novartis,vaccine,VO:0015100,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Havpur] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havpur,prefilled syringe,Box of 1,Novartis,0.5 ML,,1000 UNT/ML,
VO:0015102,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Havpur] Box of 10,vaccine,VO:0015099,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe [Havpur],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havpur,prefilled syringe,Box of 10,,0.5 ML,,1000 UNT/ML,
VO:0015103,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe Box of 1,vaccine,VO:0015094,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe,('0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe') and 'has drug package' value 'Box of 1',,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,prefilled syringe,Box of 1,,0.5 ML,,1000 UNT/ML,
VO:0015104,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe Box of 10,vaccine,VO:0015094,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe,('0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1000 UNT/ML Prefilled Syringe') and 'has drug package' value 'Box of 10',,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,prefilled syringe,Box of 10,,0.5 ML,,1000 UNT/ML,
VO:0015105,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension,vaccine,VO:0003431,Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,injectable suspension,,,0.5 ML,,1440 UNT/ML,
VO:0015106,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix],vaccine,VO:0015105,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,injectable suspension,,,0.5 ML,,1440 UNT/ML,
VO:0015107,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix] Box of 1,vaccine,VO:0015106,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,injectable suspension,Box of 1,,0.5 ML,,1440 UNT/ML,
VO:0015108,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix] Box of 1 by Glaxosmithkline,vaccine,VO:0015107,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,injectable suspension,Box of 1,Glaxosmithkline,0.5 ML,,1440 UNT/ML,
VO:0015109,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension Box of 1,vaccine,VO:0015105,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension,('0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension') and 'has drug package' value 'Box of 1',,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,injectable suspension,Box of 1,,0.5 ML,,1440 UNT/ML,
VO:0015110,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe,vaccine,VO:0003431,Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML,,,Xingxian Li|Jie Zheng,,,,,,,,prefilled syringe,,,0.5 ML,,1440 UNT/ML,
VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,vaccine,VO:0015121,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,,0.5 ML,,1440 UNT/ML,
VO:0015112,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Aca Mueller,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Aca Mueller,0.5 ML,,1440 UNT/ML,
VO:0015113,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Axicorp,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Axicorp,0.5 ML,,1440 UNT/ML,
VO:0015114,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Cc,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Cc,0.5 ML,,1440 UNT/ML,
VO:0015115,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Emra-Med,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Emra-Med,0.5 ML,,1440 UNT/ML,
VO:0015116,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Eurim-Pharm,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Eurim-Pharm,0.5 ML,,1440 UNT/ML,
VO:0015117,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by European,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,European,0.5 ML,,1440 UNT/ML,
VO:0015118,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Gerke,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Gerke,0.5 ML,,1440 UNT/ML,
VO:0015119,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Kohlpharma,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Kohlpharma,0.5 ML,,1440 UNT/ML,
VO:0015120,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1 by Orifarm Leverkus,vaccine,VO:0015111,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe [Havrix] Box of 1,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Havrix,prefilled syringe,Box of 1,Orifarm Leverkus,0.5 ML,,1440 UNT/ML,
VO:0015121,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe Box of 1,vaccine,VO:0015110,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe,('0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Prefilled Syringe') and 'has drug package' value 'Box of 1',,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,prefilled syringe,Box of 1,,0.5 ML,,1440 UNT/ML,
VO:0015122,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution,vaccine,VO:0015284,Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,injectable solution,,,0.5 ML,,25000 UNT/ML,
VO:0015123,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution [Vaqta],vaccine,VO:0015122,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Vaqta,injectable solution,,,0.5 ML,,25000 UNT/ML,
VO:0015124,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution [Vaqta] Box of 1,vaccine,VO:0015123,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution [Vaqta],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Vaqta,injectable solution,Box of 1,,0.5 ML,,25000 UNT/ML,
VO:0015125,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution Box of 1,vaccine,VO:0015122,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution,('0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 25000 UNT/ML Injectable Solution') and 'has drug package' value 'Box of 1',,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,injectable solution,Box of 1,,0.5 ML,,25000 UNT/ML,
VO:0015126,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 48 UNT/ML Prefilled Syringe,vaccine,VO:0015290,Hepatitis A Vaccine (Inactivated) Strain HM175 48 UNT/ML,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,,prefilled syringe,,,0.5 ML,,48 UNT/ML,
VO:0015127,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 48 UNT/ML Prefilled Syringe [Epaxal],vaccine,VO:0015126,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 48 UNT/ML Prefilled Syringe,,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Epaxal,prefilled syringe,,,0.5 ML,,48 UNT/ML,
VO:0015128,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 48 UNT/ML Prefilled Syringe [Epaxal] Box of 1,vaccine,VO:0015127,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 48 UNT/ML Prefilled Syringe [Epaxal],,,OHDSI Vaccine WG,RxNorm Extension,Homo sapiens,Hepatovirus A,licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,vaccine organism inactivated,Epaxal,prefilled syringe,Box of 1,,0.5 ML,,48 UNT/ML,
