order,Ontology ID,LABEL,altID,Parent label,Parent,Equivalent Class,Gene names,NCBI GeneID,status of vaccine development,has role,has quality,vaccine component/role,has function,immunizes disease,immunizes recipient,immunizes against pathogen,vaccinated in route,definition,PubMed,other link,VIOLIN ID,VIOLIN Link,GitHub tracker,NCI link,NCT link,Term editors,alternative label,database_cross_reference,term tracker item,xingxian comment
15,VO:0005496,esophageal cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'esophageal cancer'),,,,,,,,esophageal cancer,,,,A cancer vaccine that is developed against esophageal cancer.,,,,,,,,Oliver He|Yuying Pan|Jie Zheng|Xingxian Li,,,,
16,VO:0005497,head and neck cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'head and neck cancer'),,,,,,,,head and neck cancer,,,,A cancer vaccine that is developed against head and neck cancer.,,,,,,,,Oliver He|Yuying Pan|Jie Zheng|Xingxian Li,,,,
17,VO:0005498,nasopharyngeal cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'nasopharynx carcinoma'),,,,,,,,nasopharynx carcinoma,,,,A cancer vaccine that is developed against nasopharyngeal cancer.,,,,,,,,Oliver He|Yuying Pan|Jie Zheng|Xingxian Li,,,,
18,VO:0005499,hepatocellular carcinoma vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'hepatocellular carcinoma'),,,,,,,,hepatocellular carcinoma,,,,A cancer vaccine that is developed against hepatocellular carcinoma.,,,,,,,,Oliver He|Yuying Pan|Jie Zheng|Xingxian Li,,,,
19,VO:0005428,brain cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'brain cancer'),,,,,,,,brain cancer,,,,A cancer vaccine that is used against brain canceer.,,https://www.criver.com/eureka/brain-cancer-vaccine-gliomas-moves-forward-clinic,,,,,,Oliver He|Penny Pan,,,,
20,VO:0005429,liver cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'liver cancer'),,,,,,,,liver cancer,,,,A cancer vaccine that is used against liver canceer.,,https://www.creative-biolabs.com/vaccine/liver-cancer-vaccines.htm,,,,,,Oliver He|Penny Pan,,,,
21,VO:0005430,pancreatic cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'pancreatic cancer'),,,,,,,,pancreatic cancer,,,,A cancer vaccine that is used against pancreatic canceer.,,https://www.hopkinsmedicine.org/health/conditions-and-diseases/pancreatic-cancer/pancreatic-cancer-vaccine,,,,,,Oliver He|Penny Pan,,,,
22,VO:0003140,non-small cell lung cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'lung non-small cell carcinoma'),,,,,,,,lung non-small cell carcinoma,,,,A cancer vaccine against non-small cell lung cancer (NSCLC),,,,,,,,,NSCLC vaccine,,,
23,VO:0005425,prostate cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'prostate cancer'),,,,,,,,prostate cancer,,,,A cancer vaccine that is used against prostate cancer.,,https://www.hopkinsmedicine.org/health/conditions-and-diseases/prostate-cancer/immunotherapy-for-prostate-cancer,,,,,,Oliver He|Penny Pan,,,,
24,VO:0005426,colorectal cancer vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'colorectal cancer'),,,,,,,,colorectal cancer,,,,A cancer vaccine that is used against colorectal cancer,PubMed:35990683,,,,,,,Oliver He|Penny Pan,,,,
25,VO:0005427,lymphoma vaccine,,cancer vaccine,VO:0000177,('cancer vaccine' and 'immunizes against disease' some 'lymphoma'),,,,,,,,lymphoma,,,,A cancer vaccine that is used against lymphoma.,,http://www.cancer.gov/news-events/cancer-currents-blog/2019/in-situ-vaccine-non-hodgkin-lymphoma,,,,,,Oliver He|Penny Pan,,,,
26,VO:0007658,whole cell cancer vaccine,,cancer vaccine,VO:0000177,,,,,,,,,,,,,A cancer vaccine that uses whole cells to deliver cancer antigen(s).,PubMed:22595050,,,,,,,Oliver He,,,https://github.com/vaccineontology/VO/issues/683,
27,VO:0007659,whole tumor cell cancer vaccine,,whole cell cancer vaccine,VO:0007658,,,,,,,,,,,,,A whole cell cancer vaccine that uses whole tumor cells to deliver cancer antigen(s).,PubMed:37355722,,,,,,,Oliver He|Jie Zheng,,,https://github.com/vaccineontology/VO/issues/683,
28,VO:0000434,Mixed Bacterial Vaccine,,cancer vaccine,VO:0000177,,,,,,,,therapeutic vaccine function,cancer,,,,"Mixed Bacterial Vaccine (MBV, Coley's Toxins) is a historical, vaguely defined preparation of heat-inactivated Streptococcus pyogenes and Serratia marcescens used as non-specific immunotherapy in the treatment of cancer.",PubMed:22847809,,,,,,,Oliver He,,,,
29,VO:0000103,TICE BCG,,cancer vaccine,VO:0000177,,,,Clinical trial,,,,therapeutic vaccine function,cancer,Homo sapiens,,intravesical route,"TICE BCG for intravesical use, is an attenuated, live culture preparation of the Bacillus of Calmette and Guerin (BCG) strain of Mycobacterium bovis.",,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm134033.htm,351,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=351,,,,Kallan Roan|Oliver He,,,,
30,VO:0001029,autologous dendritic cell melanoma vaccine,,melanoma vaccine,VO:0000422,,,,,,,,therapeutic vaccine function,melanoma,,,,,PubMed:23969885,,,,,,,,,,,
31,VO:0001380,B16 Vaccine adjuvanted by Loxoribine,,melanoma vaccine,VO:0000422,,,,Research,,vaccine organism live attenuated,,therapeutic vaccine function,melanoma,Mus musculus,,intraperitoneal route,,PubMed:8306370,,3066,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3066,https://github.com/vaccineontology/VO/issues/295,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
32,VO:0003141,CV9201,,non-small cell lung cancer vaccine,VO:0003140,,,,,,,,therapeutic vaccine function,lung non-small cell carcinoma,,,,"A non-small cell lung cancer mRNA-derived vaccine that contains modified mRNAs encoding cancer-testis antigen NY-ESO-1, melanoma-associated antigens C1 (MAGE-C1/CT7) and C2 (MAGE-C2/CT10), survivin, and the oncofetal antigen 5T4 with potential antitumor and immunomodulatory activities.",,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/non-small-cell-lung-cancer-mrna-derived-vaccine-cv9201,,,,,,Oliver He|Randi Vita,,,,
33,VO:0004227,Cancer Vaccine using E7 protein of human papillomavirus 16 and Algammulin,,cervical cancer vaccine,VO:0005488,,Gene name: E7,1489079,Clinical trial,subunit vaccine role,,,therapeutic vaccine function,cervical cancer,Homo sapiens,,subcutaneous route,,PubMed:9725239,,3053,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3053,https://github.com/vaccineontology/VO/issues/369,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
34,VO:0004228,Cancer Vaccine using E7 protein of human papillomavirus 16 and Quil-A,,cervical cancer vaccine,VO:0005488,,Gene name: E7,1489079,Licensed,subunit vaccine role,,,therapeutic vaccine function,cervical cancer,Mus musculus,,subcutaneous route,,PubMed:9725239|PubMed:10931134,,3054,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3054,https://github.com/vaccineontology/VO/issues/370,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
35,VO:0004245,Recombinant Colorectal cancer antigen GA733 Vaccine,,colorectal cancer vaccine,VO:0005426,,,,,,,,therapeutic vaccine function,colorectal cancer,,,subcutaneous route,,,,3074,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3074,,,,RS|NF|Oliver He,,,,
36,VO:0004248,Recombinant NY-ESO-1 Protein vaccine adjuvanted with Imiquimod,,cancer vaccine,VO:0000177,,,,,,,,therapeutic vaccine function,melanoma,,,intradermal route,,,,3078,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3078,,,,RS|NF|Oliver He,,,,
37,VO:0004250,attenuated Listeria expressing cancer antigen vaccine,,cervical cancer vaccine,VO:0005488,,Gene name: E7,1489079,Clinical trial,recombinant vector vaccine role,,,therapeutic vaccine function,cervical cancer,Homo sapiens,,intravenous route,,PubMed:28706878,,3081,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3081,https://github.com/vaccineontology/VO/issues/241,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
38,VO:0004254,Recombinant NY-ESO-1 ISCOMATRIX Vaccine,,cancer vaccine,VO:0000177,,,,,,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3085,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3085,,,,RS|NF|Oliver He,,,,
39,VO:0004258,Synthetic MUC1 Peptide Vaccine,,cancer vaccine,VO:0000177,,,,,,,,therapeutic vaccine function,cancer,,,subcutaneous route,,,,3091,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3091,,,,RS|NF|Oliver He,,,,
40,VO:0004398,Lymphoma DNA vaccine V-Alpha-V-Beta-V-Beta-FrC,VO:0007471,lymphoma vaccine,VO:0005427,,,,,,,,therapeutic vaccine function,lymphoma,,,intramuscular route,,,,3617,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3617,,,,RS|NF|Oliver He,,,,
41,VO:0004400,Glypican-3-derived peptide vaccine for human hepatocellular carcinoma,,cancer vaccine,VO:0000177,,,,Clinical trial,,,,therapeutic vaccine function,hepatocellular carcinoma,Homo sapiens,,intramuscular route,"An autologous dendritic cell vaccine with potential immunostimulatory activity. Dendritic cells harvested from a prostate cancer patient are transfected with the mRNA encoding for prostate specific antigen (PSA), a tumor marker secreted by prostatic epithelial and ductal cells. When reintroduced back to the patient, these PSA RNA pulsed autologous dendritic cells may elicit a cytotoxic T-cell (CTL) response against PSA-positive prostate cancer cells. ",,,3643,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3643,https://github.com/vaccineontology/VO/issues/175,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
42,VO:0004425,Cancer DNA vaccine p.DOM-AH1 encoding fragment C,,colon cancer vacine,VO:0005489,,Gene name: Fragment C from tetanus toxin,8132375,Research,DNA vaccine role,,,therapeutic vaccine function,colon cancer,Homo sapiens|Mus musculus,,intramuscular route,,PubMed:15879128,,3695,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3695,https://github.com/vaccineontology/VO/issues/316,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
43,VO:0004426,Carcinoma DNA vaccine pVAX/E2A,,Breast Cancer Vaccine,VO:0005484,,Gene name: E2A,21423,Research,DNA vaccine role,,,therapeutic vaccine function,breast cancer,Homo sapiens,,intramuscular route,,PubMed:18273615,,3696,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3696,https://github.com/vaccineontology/VO/issues/378,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
44,VO:0004427,B-cell lymphoma DNA vaccine VCL-1642.XXX encoding a chimeric immunoglobulin molecule onsisting of tumor-specific variable (Id) regions,,lymphoma vaccine,VO:0005427,,Gene name: Immunoglobulin,1945467,Clinical trial,DNA vaccine role,,,therapeutic vaccine function,lymphoma,Homo sapiens|Mus musculus,,intramuscular route,,PubMed:12384547,,3698,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3698,https://github.com/vaccineontology/VO/issues/292,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
45,VO:0004428,Colorectal cancer DNA vaccine pCEA/HBsAg encoding carcinoembryonic antigen and hepatitis B surface antigen,,colon cancer vacine,VO:0005489,,Gene name: S|CEA,128168861|1048,Research,DNA vaccine role,,,therapeutic vaccine function,colon cancer,Homo sapiens,,intramuscular route,,PubMed:12231517,,3699,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3699,https://github.com/vaccineontology/VO/issues/387,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
46,VO:0004429,B16 melanoma DNA vaccine pSin-hTRP-1 encoding TRP-1,,melanoma vaccine,VO:0000422,,Gene name: TYRP1|Gene name: Tyrp1,7306|22178,Research,DNA vaccine role,,,therapeutic vaccine function,melanoma,Mus musculus,,,,PubMed:12496961,,3700,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3700,https://github.com/vaccineontology/VO/issues/294,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
47,VO:0004430,B16 melanoma DNA vaccine pCMV-hTRP-1 encoding TRP-1,,melanoma vaccine,VO:0000422,,Gene name: TYRP1|Gene name: Tyrp1,7306|22178,Research,DNA vaccine role,,,therapeutic vaccine function,melanoma,Mus musculus,,,,PubMed:12496961,,3701,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3701,https://github.com/vaccineontology/VO/issues/293,,,Ibrahim Seleznev|Eliyas Asfaw|Jie Zheng|Oliver He ,,,,
48,VO:0004431,Melanoma DNA vaccine TA2M encoding tyrosinase peptides,,melanoma vaccine,VO:0000422,,,,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3705,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3705,,,,RS|NF|Oliver He,,,,
49,VO:0004432,Melanoma DNA vaccine VR-S8/VR-IL2/AD-S8 encoding survivin,,melanoma vaccine,VO:0000422,,Gene name: Survivin,,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3713,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3713,https://github.com/vaccineontology/VO/issues/518,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
50,VO:0004433,Melanoma DNA vaccine pCR3.1-VS-HSP65-TP-GRP6-M2 encoding 6 tandem repeats of GRP,,melanoma vaccine,VO:0000422,,Gene name: GRP,2922,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3717,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3717,https://github.com/vaccineontology/VO/issues/512,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
51,VO:0004434,Melanoma DNA vaccine pNL3-MAGE-1-GM,,melanoma vaccine,VO:0000422,,Gene name: GM-CSF|Gene name: MAGEA1,12981|4100,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3718,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3718,https://github.com/vaccineontology/VO/issues/514,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
52,VO:0004435,Melanoma DNA vaccine pN4a-MAGE-1-GM,,melanoma vaccine,VO:0000422,,Gene name: GM-CSF|Gene name: MAGEA1,12981|4100,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3719,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3719,https://github.com/vaccineontology/VO/issues/513,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
53,VO:0004436,Melanoma DNA vaccine SINCp c-muMUC18 encoding MCAM/MUC18,,melanoma vaccine,VO:0000422,,Gene name: Mcam,84004,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3720,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3720,https://github.com/vaccineontology/VO/issues/516,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
54,VO:0004437,Lung metastasis DNA vaccine pCEP4-MUC1 encoding MUC1,,lung cancer vacine,VO:0005486,,Gene name: MUC1|Gene name: Muc1,4582|17829,Clinical trial,DNA vaccine role,,,therapeutic vaccine function,lung cancer,Homo sapiens,,intradermal route,,,,3723,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3723,https://github.com/vaccineontology/VO/issues/485,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
55,VO:0004438,Melanoma DNA vaccine hugp100 encoding gp100,,melanoma vaccine,VO:0000422,,Gene name: gp100,6490,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3724,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3724,https://github.com/vaccineontology/VO/issues/511,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
56,VO:0004439,Melanoma DNA vaccine VR1012/mPmel17,,melanoma vaccine,VO:0000422,,Gene name: Pmel17,20431,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intradermal route,,,,3726,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3726,https://github.com/vaccineontology/VO/issues/519,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
57,VO:0004440,"Melanoma DNA vaccine gp75 DNA encoding melanosomal membrane glycoproteins, gp75 Vaccine",,melanoma vaccine,VO:0000422,,Gene name: HUMGP 75|Gene name: TRP-2,1067130|1638,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,,,,,3727,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3727,https://github.com/vaccineontology/VO/issues/509,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
58,VO:0004441,Melanoma recombinant vector vaccine rVVmTRP-1 encoding TRP-1,,melanoma vaccine,VO:0000422,,Gene name: TRP-1,22178,,recombinant vector vaccine role,,,therapeutic vaccine function,melanoma,,,intravenous route,,,,3728,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3728,https://github.com/vaccineontology/VO/issues/521,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
59,VO:0004442,Melanoma DNA vaccine hTRP2 encoding TRP-2,,melanoma vaccine,VO:0000422,,Gene name: gp100,6490,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,,,,,3729,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3729,https://github.com/vaccineontology/VO/issues/510,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
60,VO:0004443,Melanoma DNA vaccine pUB-TRP-2 encoding a fusion protein linking murine ubiquitin (UB) to the N-terminus of the full-length mTRP-2,,melanoma vaccine,VO:0000422,,Gene name: Ubiquitin|Gene name: Trp2,55118|104042,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3730,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3730,https://github.com/vaccineontology/VO/issues/515,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
61,VO:0004444,Neuroblastoma DNA vaccine HuDsec,,cancer vaccine,VO:0000177,,,,,DNA vaccine role,,,therapeutic vaccine function,neuroblastoma,,,intramuscular route,,,,3731,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3731,,,,RS|NF|Oliver He,,,,
62,VO:0004445,Prostate cancer DNA vaccine pcDNA3-STEAP encoding six-transmembrane epithelial antigen,,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,subcutaneous route,,,,3736,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3736,,,,RS|NF|Oliver He,,,,
63,VO:0004446,Prostate cancer DNA vaccine hPSMAt encoding PSMA,,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,intramuscular route,,,,3737,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3737,,,,RS|NF|Oliver He,,,,
64,VO:0004447,Prostate cancer DNA vaccine rPSMAt encoding PSMA,,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,intramuscular route,,,,3738,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3738,,,,RS|NF|Oliver He,,,,
65,VO:0004448,Prostate cancer DNA vaccine pVax-PSA,,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,intramuscular route,,,,3740,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3740,,,,RS|NF|Oliver He,,,,
66,VO:0004449,"Prostate cancer DNA vaccine psig-3P-Fc encoding 3P(hPSM, hPAP, or hPSA)-Fc fusion protein",,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,,,,,3742,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3742,,,,RS|NF|Oliver He,,,,
67,VO:0004450,Prostate cancer DNA vaccine PSCA-HSP encoding PSCA and HSP,,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,intramuscular route,,,,3744,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3744,,,,RS|NF|Oliver He,,,,
68,VO:0004451,Prostate cancer DNA vaccine encoding PSCA,,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,,,,,3745,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3745,,,,RS|NF|Oliver He,,,,
69,VO:0004452,Prostate cancer DNA vaccine pmPSCA encoding PSCA,,prostate cancer vaccine,VO:0005425,,,,,DNA vaccine role,,,therapeutic vaccine function,prostate cancer,,,intramuscular route,,,,3746,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3746,,,,RS|NF|Oliver He,,,,
70,VO:0004465,Melanoma DNA vaccine xenogeneic DNA encoding murine tyrosinase,,melanoma vaccine,VO:0000422,,Gene name: Tyrosinase,7299,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,intramuscular route,,,,3768,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3768,https://github.com/vaccineontology/VO/issues/520,,,Justin Song|Penny Pan|Jie Zheng|Oliver He,,,,
71,VO:0004518,B16 melanoma DNA vaccine pSin-mTRP-1,,melanoma vaccine,VO:0000422,,,,,DNA vaccine role,,,therapeutic vaccine function,melanoma,,,,,,,3869,VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=3869,,,,RS|NF|Oliver He,,,,
