ID,LABEL,InSubset,Parent,has part,has role,in taxon,definition,definition source,term editor,alternative label,seeAlso,editor note,comment,comment
VO:0010002,Cp15 from Crptosporidium parvum,protein,Cryptosporidium parvum protein,,protective antigen role,,A Cp15 protein that is part of Crptosporidium parvum,,Anthony Huffman,,,,,
VO:0010003,Cp60 from Crptosporidium parvum,protein,Cryptosporidium parvum protein,,protective antigen role,,A CP60 protein that is part of Crptosporidium parvum,,Anthony Huffman,,,,,
VO:0010005,CpP2 from Crptosporidium parvum,protein,Cryptosporidium parvum protein,,protective antigen role,,A CpP2 protein that is part of Crptosporidium parvum,,Anthony Huffman,,,,,
VO:0010006,Eimeria acervulina 3-1E,protein,Eimeria spp. protein,,protective antigen role,,A 3-1E protein that is part of Eimeria acervulina,,Anthony Huffman,,,,,
VO:0010007,Eimeria maxima gam56,protein,Eimeria maxima protein,,protective antigen role,,A gam56 protein that is part of Eimeria maxima,,Anthony Huffman,,,,,
VO:0010009,Giardia  duodenalis a1-giardin,protein,Giardia duodenalis protein,,protective antigen role,,A a1-giardin protein that is part of Giardia  duodenalis,,Anthony Huffman,,NCBI Gene ID 5697168,,,
VO:0010010,Giardia  lamblia a1-giardin,protein,Giardia lamblia protein,,protective antigen role,,A a1-giardin protein that is part of Giardia  lamblia,,Anthony Huffman,,NCBI Gene ID 5697168,,,
VO:0010011,Giardia  lamblia alpha-enolase,protein,Giardia lamblia protein,,protective antigen role,,A alpha-enolase protein that is part of Giardia  lamblia,,Anthony Huffman,,NCBI Gene ID 2023,,,
VO:0010012,Giardia  lamblia CWP2,protein,Giardia lamblia protein,,protective antigen role,,A CWP2 protein that is part of Giardia  lamblia,,Anthony Huffman,,NCBI Gene ID 5703171,,,
VO:0010013,Leishmania  donovani Acen1,protein,Leishmania donovani protein,,protective antigen role,,A Acen1 protein that is part of Leishmania  donovani,,Anthony Huffman,,,,,
VO:0010014,Leishmania  donovani Beta-tubulin,protein,Leishmania donovani protein,,protective antigen role,,A Beta-tubulin protein that is part of Leishmania  donovani,,Anthony Huffman,,NCBI Gene ID 13392307,,,
VO:0010015,Leishmania  donovani FML,protein,Leishmania donovani protein,,protective antigen role,,A FML protein that is part of Leishmania  donovani,,Anthony Huffman,,,,,
VO:0010016,Leishmania  donovani Gp63,protein,Leishmania donovani protein,,protective antigen role,,A Gp63 protein that is part of Leishmania  donovani,,Anthony Huffman,,NCBI Gene ID 13389283,,,
VO:0010017,Leishmania  donovani HASPB1,protein,Leishmania donovani protein,,protective antigen role,,A HASPB1 protein that is part of Leishmania  donovani,,Anthony Huffman,,,,,
VO:0010018,Leishmania  donovani KH,protein,Leishmania donovani protein,,protective antigen role,,A KH protein that is part of Leishmania  donovani,,Anthony Huffman,,,,,
VO:0010019,Leishmania  donovani LdyGCS,protein,Leishmania donovani protein,,protective antigen role,,A LdyGCS protein that is part of Leishmania  donovani,,Anthony Huffman,,,,,
VO:0010020,Leishmania  donovani NH36,protein,Leishmania donovani protein,,protective antigen role,,A NH36 protein that is part of Leishmania  donovani,,Anthony Huffman,,,,,
VO:0010021,Leishmania  donovani P1,protein,Leishmania donovani protein,,protective antigen role,,A P1 protein that is part of Leishmania  donovani,,Anthony Huffman,,NCBI Gene ID 13388831,,,
VO:0010022,Leishmania  infantum A2,protein,Leishmania infantum protein,,protective antigen role,,A A2 protein that is part of Leishmania  infantum,,Anthony Huffman,,NCBI Gene ID 13387764,,,
VO:0010023,Leishmania infantum HSP70 II,protein,Leishmania infantum protein,,protective antigen role,,A HSP70 II protein that is part of Leishmania  infantum,,Anthony Huffman,,NCBI Gene ID 5073319,,,
VO:0010024,Leishmania  major KMP-11,protein,Leishmania major protein,,protective antigen role,,A KMP-11 protein that is part of Leishmania  major,,Anthony Huffman,,NCBI Gene ID 13387683,,,
VO:0010025,Leishmania  major LmSTI1,protein,Leishmania major protein,,protective antigen role,,A LmSTI1 protein that is part of Leishmania  major,,Anthony Huffman,,,,,
VO:0010026,Leishmania  major LIPO-A,protein,Leishmania major protein,,protective antigen role,,A LIPO-A protein that is part of Leishmania  major,,Anthony Huffman,,,,,
VO:0010027,Leishmania  major P36,protein,Leishmania major protein,,protective antigen role,,A P36 protein that is part of Leishmania  major,,Anthony Huffman,,,,,
VO:0010028,Leishmania  major PEPCK,protein,Leishmania major protein,,protective antigen role,,A PEPCK protein that is part of Leishmania  major,,Anthony Huffman,,NCBI Gene ID 5649768,,,
VO:0010029,Leishmania  major LeIF,protein,Leishmania major protein,,protective antigen role,,A LeIF protein that is part of Leishmania  major,,Anthony Huffman,,NCBI Gene ID 12981542,,,
VO:0010030,Neospora caninum MIC3,protein,Neospora caninum protein,,protective antigen role,Neospora caninum tachyzoite,A MIC3 protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010031,Neospora caninum GRA2,protein,Neospora caninum protein,,protective antigen role,Neospora caninum tachyzoite,A GRA2 protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010032,Neospora caninum GRA6,protein,Neospora caninum protein,,protective antigen role,Neospora caninum tachyzoite,A GRA6 protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010033,Neospora caninum SRS2,protein,Neospora caninum protein,,protective antigen role,,A SRS2 protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010034,Neospora caninum MIC10,protein,Neospora caninum protein,,protective antigen role,,A MIC10 protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010035,Neospora caninum p24,protein,Neospora caninum protein,,protective antigen role,Neospora caninum tachyzoite,A p24 protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010036,Neospora caninum PDI,protein,Neospora caninum protein,,protective antigen role,Neospora caninum tachyzoite,A PDI protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010037,Neospora caninum SAG1,protein,Neospora caninum protein,,protective antigen role,,A SAG1 protein that is part of Neospora caninum,,Anthony Huffman,,,,,
VO:0010039,Plasmodium berghei P36p,protein,Plasmodium berghei protein,,protective antigen role,,A P36p protein that is part of Plasmodium berghei,,Anthony Huffman,,,,,
VO:0010040,Plasmodium falciparum ABRA,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum sporozoite,A ABRA protein that is part of Plasmodium falciparum|An ABRA protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010041,Plasmodium falciparum EBA-175 RII,protein,Plasmodium falciparum protein,,protective antigen role,,A EBA-175 RII protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010042,Plasmodium falciparum Hsp90,protein,Plasmodium falciparum protein,,protective antigen role,,A Hsp90 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010043,Plasmodium falciparum MSP1,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum merozoite,A MSP1 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010044,Plasmodium falciparum RESA,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum merozoite,A RESA protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010045,Plasmodium falciparum MSP2,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum merozoite,A MSP2 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010046,Plasmodium falciparum MSP4,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum merozoite,A MSP4 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010047,Plasmodium falciparum Pf ribosomal protein P0,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum erythrocytic merozoite,A Pf ribosomal protein P0 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010048,Plasmodium falciparum PfCelTOS,protein,Plasmodium falciparum protein,,protective antigen role,,A PfCelTOS protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010049,Plasmodium falciparum PfSSP2,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum sporozoite,A PfSSP2 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010050,Plasmodium falciparum LSA1,protein,Plasmodium falciparum protein,,protective antigen role,,A LSA1 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010051,Plasmodium falciparum Pfen,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum erythrocytic merozoite,A Pfen protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010052,Plasmodium falciparum Pfs230,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum gamete,A Pfs230 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010053,Plasmodium falciparum Pfs25,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum gamete,A Pfs25 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010054,Plasmodium falciparum Pfs48,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum gamete,A Pfs48 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010055,Plasmodium falciparum RH5,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum merozoite,A RH5 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010056,Plasmodium falciparum TRAP,protein,Plasmodium falciparum protein,,protective antigen role,,A TRAP protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010057,Plasmodium falciparum Pfs45,protein,Plasmodium falciparum protein,,protective antigen role,Plasmodium falciparum gamete,A Pfs45 protein that is part of Plasmodium falciparum,,Anthony Huffman,,,,,
VO:0010058,Plasmodium knowlesi PkCSP,protein,Plasmodium knowlesi protein,,protective antigen role,Plasmodium knowlesi sporozoite,A PkCSP protein that is part of Plasmodium knowlesi,,Anthony Huffman,,,,,
VO:0010059,Plasmodium knowlesi SSP2,protein,Plasmodium knowlesi protein,,protective antigen role,,A PkSSP2 protein that is part of Plasmodium knowlesi|A SSP2 protein that is part of Plasmodium knowlesi,,Anthony Huffman,Plasmodium vivax Thrombospondin-related apical merozoite protein,,,,
VO:0010060,Plasmodium knowlesi PkAMA1,protein,Plasmodium knowlesi protein,,protective antigen role,Plasmodium knowlesi sporozoite,A PkAMA1 protein that is part of Plasmodium knowlesi,,Anthony Huffman,,,,,
VO:0010061,Plasmodium knowlesi PkMSP1p42,protein,Plasmodium knowlesi protein,,protective antigen role,Plasmodium knowlesi merozoite,A PkMSP1 protein that is part of Plasmodium knowlesi|A PkMSP1p42 protein that is part of Plasmodium knowlesi,,Anthony Huffman,,,,,
VO:0010062,Plasmodium vivax CelTOS,protein,Plasmodium vivax protein,,protective antigen role,Plasmodium vivax sporozoite,A CelTOS protein that is part of Plasmodium vivax|A PvCelTOS protein that is part of Plasmodium vivax,,Anthony Huffman,,,,,
VO:0010063,Plasmodium vivax CS,protein,Plasmodium vivax protein,,protective antigen role,Plasmodium vivax sporozoite,A CS protein that is part of Plasmodium vivax|A PvCS protein that is part of Plasmodium vivax,,Anthony Huffman,,,,,
VO:0010064,Plasmodium vivax PvDBPII,protein,Plasmodium vivax protein,,protective antigen role,Plasmodium vivax merozoite,A DBPII protein that is part of Plasmodium vivax|A PvDBPII protein that is part of Plasmodium vivax,,Anthony Huffman,,,,,
VO:0010065,Plasmodium vivax TRAP,protein,Plasmodium vivax protein,,protective antigen role,Plasmodium vivax sporozoite,A TRAP protein that is part of Plasmodium vivax,,Anthony Huffman,,,,,
VO:0010066,Plasmodium yoelii HEP17,protein,Plasmodium yoelii protein,,protective antigen role,,A HEP17 protein that is part of Plasmodium yoelii,,Anthony Huffman,,,,,
VO:0010067,Plasmodium yoelii HSP60,protein,Plasmodium yoelii protein,,protective antigen role,Plasmodium yoelii gametocyte|Plasmodium yoelii merozoite|Plasmodium yoelii sporozoite,A HSP60 protein that is part of Plasmodium yoelii,,Anthony Huffman,,,,PMC98419 citation for occurance in all lifestages,
VO:0010068,Plasmodium yoelii SSP2,protein,Plasmodium yoelii protein,,protective antigen role,Plasmodium yoelii sporozoite,A SSP2 protein that is part of Plasmodium yoelii,,Anthony Huffman,,,,,
VO:0010069,Trypanosoma cruzi ASP-1,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A ASP-1 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010070,Trypanosoma cruzi CRP,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A CRP protein that is part of Trypanosoma cruzi,,Anthony Huffman,,NCBI Gene ID 947867,,,
VO:0010071,Trypanosoma cruzi G1,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A G1 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010072,Trypanosoma cruzi PAR3,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A PAR3 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,NCBI Gene ID 3540497,,,
VO:0010073,Trypanosoma cruzi PFR Ag,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A PFR Ag protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010074,Trypanosoma cruzi rTcENO from H8,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A rTcENO from H8 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010075,Trypanosoma cruzi Tc24,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A Tc24 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010076,Trypanosoma cruzi Tc80,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A Tc80 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010077,Trypanosoma cruzi TcENO,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A TcENO protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010078,Trypanosoma cruzi TcSSP4,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A TcSSP4 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010079,Trypanosoma cruzi TcTASV-C,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A TcTASV-C protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010080,Trypanosoma cruzi TCTS-154,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A TCTS-154 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010081,Trypanosoma cruzi Trans-salidase,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A Trans-salidase protein that is part of Trypanosoma cruzi,,Anthony Huffman,,NCBI Gene ID 3537653,,,
VO:0010082,Trypanosoma cruzi TSA-1,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A TSA-1 protein that is part of Trypanosoma cruzi,,Anthony Huffman,,NCBI Gene ID 3544076,,,
VO:0010083,Trypanosoma cruzi TsF,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A TsF protein that is part of Trypanosoma cruzi,,Anthony Huffman,,NCBI Gene ID 3537653,,,
VO:0010084,Trypanosoma cruzi TSSA,protein,Trypanosoma cruzi protein,,protective antigen role,Trypanosoma cruzi trypomastigote,A TSSA protein that is part of Trypanosoma cruzi,,Anthony Huffman,,,,,
VO:0010085,Toxoplasma gondii CDPK1,protein,Toxoplasma gondii protein,,protective antigen role,,A CDPK1 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010086,Toxoplasma gondii CDPK6,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A CDPK6 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010087,Toxoplasma gondii ROP18,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A ROP18 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010088,Toxoplasma gondii CST2,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A CST2 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010089,Toxoplasma gondii CyP,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A CyP protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010091,Toxoplasma gondii GRA1,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A GRA1 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010092,Toxoplasma gondii GRA16,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A GRA16 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010093,Toxoplasma gondii GRA17,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A GRA17 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010094,Toxoplasma gondii GRA24,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A GRA24 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010095,Toxoplasma gondii GRA23,protein,Toxoplasma gondii protein,,protective antigen role,,A GRA23 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010096,Toxoplasma gondii GRA25,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A GRA25 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010097,Toxoplasma gondii GRA41,protein,Toxoplasma gondii protein,,protective antigen role,,A GRA41 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010098,Toxoplasma gondii GRA6,protein,Toxoplasma gondii protein,,protective antigen role,,A GRA6 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010099,Toxoplasma gondii GRA7,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A GRA7 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010100,Toxoplasma gondii GRA8,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A GRA8 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010101,Toxoplasma gondii hsp70,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A hsp70 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010102,Toxoplasma gondii ISP3,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A ISP3 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010103,Toxoplasma gondii MIC1,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A MIC1 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010104,Toxoplasma gondii MIC11,protein,Toxoplasma gondii protein,,protective antigen role,,A MIC11 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010105,Toxoplasma gondii MIC13,protein,Toxoplasma gondii protein,,protective antigen role,,A MIC13 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010106,Toxoplasma gondii MIC4,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A MIC4 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010107,Toxoplasma gondii MIC6,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A MIC6 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010108,Toxoplasma gondii MIC8,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A MIC8 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010109,Toxoplasma gondii PGAM2,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A PGAM2 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010110,Toxoplasma gondii RACK1,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A RACK1 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010111,Toxoplasma gondii ROP16,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A ROP16 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010112,Toxoplasma gondii ROP17,protein,Toxoplasma gondii protein,,protective antigen role,,A ROP17 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010114,Toxoplasma gondii PLP1,protein,Toxoplasma gondii protein,,protective antigen role,,A PLP1 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010115,Toxoplasma gondii ROP38,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A ROP38 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010116,Toxoplasma gondii ROP8,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A ROP8 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010118,Toxoplasma gondii ROP2,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A ROP2 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010119,Toxoplasma gondii SAG2,protein,Toxoplasma gondii protein,,protective antigen role,,A SAG2 protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010120,Toxoplasma gondii SAG5B,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A SAG5B protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010121,Toxoplasma gondii SAG5C,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A SAG5C protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010122,Toxoplasma gondii TgADF,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A TgADF protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010123,Toxoplasma gondii TgNTPase-II,protein,Toxoplasma gondii protein,,protective antigen role,,A TgNTPase-II protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010124,Toxoplasma gondii TgPF,protein,Toxoplasma gondii protein,,protective antigen role,Toxoplasma gondii tachyzoite,A TgPF protein that is part of Toxoplasma gondii,,Anthony Huffman,,,,,
VO:0010751,bacterium protein,protein,protein,,,,a protein from a bacterium,,Oliver He|Allen Xiang,,,,,
VO:0010752,G+ bacterium protein,protein,bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010753,G- bacterium protein,protein,bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010754,virus protein,protein,protein,,,,a protein from a virus,,Oliver He|Allen Xiang,,,,,
VO:0010755,parasite protein,protein,protein,,,,a protein from a parasite,,Oliver He|Allen Xiang,,,,,
VO:0010756,fungus protein,protein,protein,,,,a protein from fungus,,Oliver He|Allen Xiang,,,,,
VO:0010757,Bacillus anthracis protein,protein,G+ bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010758,Brucella protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010759,Yersinia pestis protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010760,Francisella tularensis protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010761,Ebola virus protein,protein,virus protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010762,Clostridium botulinum protein,protein,G+ bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010763,Lassa Fever Virus protein,protein,virus protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010764,Variola virus protein,protein,virus protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010765,Campylobacter jejuni protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010766,Escherichia coli protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010767,Human Immunodeficiency Virus protein,protein,virus protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010768,Hantavirus protein,protein,virus protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010769,Marburg Virus protein,protein,virus protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010770,Mycobacterium tuberculosis protein,protein,G+ bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010771,Plasmodium spp. protein,protein,parasite protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010772,Haemophilus influenzae protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010773,Coxiella burnetii protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010774,VEE Virus protein,protein,virus protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010775,Clostridium tetani protein,protein,G+ bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
VO:0010776,Salmonella spp. protein,protein,G- bacterium protein,,,,,,Oliver He|Allen Xiang,,,,,
