ID,LABEL,inSubset,Comment,Parent,alternative label,definition,definition source,term editor,editor note,term tracker item,target receptor,induces immune profile,derives from,equivalent axioms,,,,,
VO:0000146,Corynebacterium-derived P40 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,microbial derivative vaccine adjuvant,,A microbial derivative vaccine adjuvant that is the P40 particulate fraction isolated from Corynebacterium.,PMID:8447157,Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0000181,lipopolysaccharide vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,microbial derivative vaccine adjuvant,LPS vaccine adjuvant|LPS,A microbial derivative vaccine adjuvant made from bacterial lipopolysaccharide (LPS) of gram-negative bacteria.,,Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0000187,muramyl dipeptide vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,MDP|muramyl dipeptide|Muramyl Dipeptide Adjuvant,A synthetic vaccine adjuvant formulated to correspond to a component found in a water-soluble extract of cell walls of mycobacteria used in complete Freund's adjuvant (CFA).,PMID:344799,Oliver He|Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1-biased immune profile,,,,,,,
VO:0000190,squalene vacccine adjuvant,vaccine adjuvant,Vaxjo 1.0,emulsion vaccine adjuvant,squalene|Squalene-based Adjuvants,An emulsion vaccine adjuvant that contains an organic polymer with some antigenic epitopes which might be shared with other organic polymers acting as immunostimulators.,,Oliver He|Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0000191,arlacel A vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,arlacel A,A synthetic vaccine adjuvant that is an emulsifier called Arlacel A.,PMID:2042393,Oliver He|Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0000192,Montanide 103 vaccine adjuvant,vaccine adjuvant,AdjuvareDB,Montanide vaccine adjuvant,Montanide 103,A Montanide vaccine adjuvant that is Montanide 103.,,Oliver He,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0000193,Bordetella pertussis component vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,microbial derivative vaccine adjuvant,,A microbial derivitive vaccine adjuvant that contains components from killed Bordetella pertussis. The killed B. pertussis has a strong adjuvant effect on the diphtheria and tetanus toxoids in the DPT vaccines.,,Oliver He,,,,Th2/Th17 mixed immune profile ,,,,,,,
VO:0000351,Adjumer vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,Adjumer|PCPP salt|polyidi (carboxylatophenoxy) lphosphazene|polyphosphazene,A synthetic vaccine adjuvant that is PCPP salt.,PMID:75551218,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0000366,liposome-based vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,particulate antigen delivery system vaccine adjuvant,Liposomes,"A particulate antigen delivery system vaccine adjuvant that contains particles made up of concentric lipid membranes containing phospholipids and other lipids in a bilayer configuration separated by aqueous compartments. It is a relatively stable but non-covalently-bound complex of saponin adjuvant Quil-A, cholesterol and amphipathic antigen in a molar ratio of approximately 1:1:1. The spectrum of viral capsid antigens and non-viral amphipathic antigens of relevance for human vaccination, incorporated into ISCOMs, comprises influenza, measles, rabies, gp340 from EB-virus, gp120 from HIV, Plasmodium falciparum and Trypanosoma cruzi.",http://www.vaccination.inoz.com/adjuvants.html,Oliver He,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0000384,IL-15 plasmid vaccine adjuvant,vaccine adjuvant,AdjuvareDB,IL-15 vaccine adjuvant,,,"PMID:18472194
",Oliver He,,,,Th1-biased immune profile,,,,,,,
VO:0000388,E. coli LT toxin derived vaccine adjuvant,vaccine adjuvant,category,microbial derivative vaccine adjuvant,,A microbial derivative vaccine adjuvant that is derived from E. coli heat labile toxin LT.,PMID:12763689|PMID:29146379|PMID:21135101,Oliver He|Samantha G. Sayers|Josh Monickaraj,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0000559,adamantylamide dipeptide vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,AdDP,"A synthetic vaccine adjuvant, adamantylamide dipeptide (AdDP) is the desmuramyl analog of MDP.",PMID:8375945,Oliver He|Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1-biased immune profile,,,,,,,
VO:0000580,vaccine adjuvant,vaccine adjuvant,category,vaccine component,,A vaccine component is a chemical substance added to a vaccine to enhance and direct the immune response to a protective antigen. Vaccine adjuvants may cause a range of serious side-effects.,,Oliver He|Paola Roncaglia,,https://github.com/vaccineontology/VO/issues/809,,,,('vaccine component' and 'has role' some 'vaccine adjuvant role'),,,,,
VO:0000757,ISCOM vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,particulate antigen delivery system vaccine adjuvant,ISCOM|The immunostimulating complex|ISCOM(s)™,"A particulate antigen delivery system vaccine adjuvant that consists of an assembly of antigens in multimeric form and presents an antigen to induce specific immunologic responses. The assembly is attached to a matrix with a built-in adjuvant, saponin. ISCOMs induce strong serum antibody responses, and are used as highly immunogenic forms of subunit vaccines. MeSH term: D20.215.894.860.449.",,Oliver He,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0000884,aluminum vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,mineral salt vaccine adjuvant,,A mineral salt vaccine adjuvant that is composed of some aluminum compound.,,Oliver He,,,,Th2-biased immune profile,,,,,,,
VO:0000938,xanthan gum vaccine ajuvant,vaccine adjuvant,AdjuvareDB,synthetic vaccine adjuvant,xanthan gum,"A synthetic vaccine adjuvant that is derived from Xanthomonas campestris, has a pentasaccharide repeating unit structure, and its terminus contains a mannose moiety which acts as a toll-like receptor 2 agonist.",PMID:19608270|http://www.sciencedirect.com/science/article/pii/S0142961209006371,Asiyah Yu Lin,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001147,IL-12 vacince adjuvant,vaccine adjuvant,Vaxjo 1.0,cytokine vaccine adjuvant,,A cytokine vaccine adjuvant that contains IL-12.,,Oliver He|Allen Xiang,,,,Th1-biased immune profile,,,,,,,
VO:0001237,CpG DNA vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,oligonucleotide vaccine adjuvant,,A microbial derivative vaccine adjuvant compsed of CpG DNA.,PMID:12899580,Oliver He,,,Toll-like receptor 9,Th1-biased immune profile,,,,,,,
VO:0001238,Ribi vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,emulsion vaccine adjuvant,Ribi Vaccine Adjuvant,An emulsion vaccine adjuvant that is a stable oil-in-water emulsion.,http://www.sigmaaldrich.com/catalog/ProductDetail.do?D7=0&N5=SEARCH_CONCAT_PNO%7CBRAND_KEY&N4=M6661%7CSIGMA&N25=0&QS=ON&F=SPEC,Samantha G. Sayers,,,Toll-like receptor 4 | C-type lectin domain family 4 member E,Th1-biased immune profile,,,,,,,
VO:0001239,RC529 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,,A synthetic vaccine adjuvant named RC529 that is a lipid A mimetic.,PMID:16204643,Samantha G. Sayers,,,Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0001240,aluminum potassium sulfate adjuvant,vaccine adjuvant,Vaxjo 1.0,aluminum vaccine adjuvant,,An aluminum vaccine adjuvant that is aluminum potassium sulfate (AlK(SO4)2).,,Allen Xiang|Samantha G. Sayers,,,,Th2-biased immune profile,,,,,,,
VO:0001241,Alhydrogel vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,aluminum hydroxide vaccine adjuvant,Alhydrogel,An aluminum hydroxide vaccine adjuvant that is a gel that is made by precipitation of aluminum hydroxide Al(OH)3 under alkaline conditions.,PMID:7551218,Allen Xiang|Samantha G. Sayers,,,,Th2-biased immune profile,,,,,,,
VO:0001242,cholera toxin B subunit vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,cholera toxin derived vaccine adjuvant,CTB|cholera toxin B|Cholera toxin B subunit,A cholera toxin derived vaccine adjuvant made of the B subunit of the cholera toxin from Vibrio cholerae.,,Samantha G. Sayers,,,,Th2/Th17 mixed immune profile ,,,,,,,
VO:0001249,RC529-AF vaccine adjuvant,vaccine adjuvant,AdjuvareDB,RC529 vaccine adjuvant,RC529 vaccine adjuvant in an aqueour formulation|RC529-AF,An aqueous formula of the synthetic vaccine adjuvant RC529.,PMID: 15308371,,"RC529-AF can be obtained from Corixa Corporation (Seattle, WA).",,Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0001250,monophosphoryl lipid A vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,microbial derivative vaccine adjuvant,3-O-deacylated monophosphoryl lipid A vaccine adjuvant|3D-MLA|MPL vaccine adjuvant|MPL,A microbial derivative vaccine adjuvant derived from the lipopolysaccharide (LPS) of Salmonella minnesota R595.,PMID:7551218|https://www.frontiersin.org/articles/10.3389/fimmu.2020.577823|PMID:10768940|PMID:28646827,Samantha G. Sayers|Yuping Zheng,,,Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0001251,LTK63 vaccine mutant,vaccine adjuvant,Vaxjo 1.0,E. coli LT toxin derived vaccine adjuvant,LTK63 Vaccine Mutant Adjuvant,An E. coli LT toxin derived vaccine adjuvant that is a mutant form of LT containing a Ser-Lys substitution in position 63 which has been shown to be totally devoid of toxicity stable to protease treatment and able to act as mucosal adjuvant.,PMID:9607006|PMID:10790422|PMID:17920733,Samantha G. Sayers,LTK63 is an enzymatically inactive mutant of the heat-labile enterotoxin of Escherichia coli. It can be used as a potent mucosal adjuvant.,,,Th2/Th17 mixed immune profile ,,,,,,,
VO:0001259,killed Corynebacterium parvum vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,microbial derivative vaccine adjuvant,,A microbial derivative vaccine adjuvant derived from heat-killed Corynebacterium parvum.,PMID:5483667|PMID:4596278|PMID:7591056,Samantha G. Sayers,,,Toll-like receptor 2 | Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0001260,Titermax Gold vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,emulsion vaccine adjuvant,Titermax Gold|TiterMax Gold Adjuvant,"An emulsion vaccine adjuvant which is a water-in-oil adjuvant with CRL-8300 (a block copolymer), squalene, and sorbitan monooleate.",,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001261,DDA vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,Dimethyl dioctadecyl ammonium bromide|DDA Adjuvant,"A synthetic vaccine adjuvant that is dimethyldioctadecylammonium bromide (DDA), a lipophilic quaternary ammonium salt known as a good adjuvant when co-administered systemically or nasally with an antigen.",PMID:1439129,Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001262,cationic liposomal vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,liposome-based vaccine adjuvant,Cationic Liposomal Vaccine Adjuvant,A liposome-based vaccine adjuvant that have a positive surface charge.,PMID:19874860,Samantha G. Sayers,,,C-type lectin domain family 4 member E,Th1-biased immune profile,,,,,,,
VO:0001263,QuilA vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,tensoactive compound vaccine adjuvant,,A tenosactive compound vaccine adjuvant that contains purified extract from the bark of the South American tree Quillaja saponaria Molina.,PMID:7551218,Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001264,AS02 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,combination vaccine adjuvant,,"A combination vaccine adjuvant comprised of monophosphoryl lipid A (MPL), QS21 and an oil in water emulsion.",PMID:15780441|PMID:15187142,Samantha G. Sayers,"monophosphoryl lipid A (MPL), QS21 and an oil in water emulsion.",,Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0001265,AS04 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,combination vaccine adjuvant,AS04,A combination vaccine adjuvant that is a combination of 50 ug of the immunoenhancer MPL (3-O-desacyl-4′-monophosphoryl lipid A) with 500 ug of aluminium salt.,PMID:21527299,Samantha G. Sayers,,,Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0001266,VSA-3 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,emulsion vaccine adjuvant,Emulsigen D|VSA-3|VSA-3 Adjuvant,An emulsion vaccine adjuvant which is an emulsion plus DDA.,PMID:16187717,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001267,saponin vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,tensoactive compound vaccine adjuvant,,"A tensoactive compound vaccine adjuvant that is derived from saponin, a compound that is an immunostimulator found in the plant P. senega.",,,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001268,Montanide ISA 720 vaccine adjuvant,vaccine adjuvant,AdjuvareDB,Montanide vaccine adjuvant,Montanide ISA 720|Montanide ISA 720 VG,A Montanide vaccine adjuvant that is formulated as water-in-oil emulsions and induces high antibody titers in several animal species. It is a vaccine adjuvant composed of metabolizable oil and a surfactant system designed to make a water-in-oil emulsion. It has been used since 1992 in more than 50 clinical trials related to therapeutic vaccines against various diseases such as cancer and malaria.,"PMID:15752840|WEB: http://www.seppic.com/human-health/vaccine-adjuvant/montanide-isa-720-@/view-1044-seproduit.html?menuid=,979,&lang=en",Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001269,Montanide incomplete Seppic adjuvant,vaccine adjuvant,Vaxjo 1.0,Montanide vaccine adjuvant,,A Montanide vaccine adjuvant that is a mineral oil adjuvant.,,,,,,Th1-biased immune profile,,,,,,,
VO:0001270,Montanide ISA51 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,Montanide vaccine adjuvant,Montanide ISA51|Montanide ISA 51,A Montanide vaccine adjuvant that is a vaccine adjuvant composed of a light mineral oil and a surfactant system designed to make a water-in-oil emulsion.,"WEB: http://www.seppic.com/human-health/vaccine-adjuvant/montanide-isa-51-@/view-1042-seproduit.html?menuid=,979,&lang=en",Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001271,Montanide vaccine adjuvant,vaccine adjuvant,category,emulsion vaccine adjuvant,,An emulsion vaccine adjuvant developed by Montanide.,http://www.montanide.com/,Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001272,EtxB vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,E. coli LT toxin derived vaccine adjuvant,B subunit of E. coli heat-labile enterotoxin|Etx B subunit Adjuvant,An E. coli LT toxin derived vaccine adjuvant composed of the B subunit of E. coli heat-labile toxin.,,Oliver He|Samantha G. Sayers,,,,Th2-biased immune profile,,,,,,,
VO:0001273,Polygen vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,,A synthetic vaccine adjuvant with the tradename Polygen.,URL: http://www.mvp-technologies.com/adjuvants/Polygen%20Final%20Technical%20Bulletin.pdf,Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001285,Algal Glucan vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,carbohydrate vaccine adjuvant,Algal Glucan,"A carbohydrate vaccine adjuvant, which enhances both humoral and cell-mediated immunity to oligopeptides in experimental animal models.",PMID:7551218,Samantha G. Sayers,,,C-type lectin domain family 7 member A,Th1-biased immune profile,,,,,,,
VO:0001286,Algammulin vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,combination vaccine adjuvant,Algammulin,A combination vaccine adjuvant that suspension of 1-2um ovoids of immune stimulant gamma inulin (g-IN) in which alum is embedded as a carrier for protein or other anionic antigens.,PMID:1887671,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001287,BAY R1005 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,BAY R1005|N-( 2-Deoxy-2-L-leucylamino-β-D-glucopyranosyl)-N-octadecyldodecanoylamide hydroacetate,A synthetic vaccine adjuvant that is Bay R1005 (N-(2-Deoxy-2-L-leucylamino beta-D-glucopyranosyl)-N-octadecyldodecanoylamide hydroacetate ).,PMID:7551218,Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001288,Avridine vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,"Avridine|CP20,96|N, N-dioctadecyl-N', N'-bis( 2-hydroxyethyl) propanediamine|Avridine®","A synthetic vaccine adjuvant that is N, N-dioctadecyl-N', N'-bis(2-hydroxyethyl) propanediamine (Avridine).",PMID:7551218,Samantha G. Sayers,,,Toll-like receptor 4,Th1-biased immune profile,,,,,,,
VO:0001289,calcium phosphate gel vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,calcium phosphate vaccine adjuvant,calcium phosphate gel,A calcium phosphate vaccine adjuvant that is a gel prepared by precipitating soluable calcium and phosphate salts.,PMID:7551218,Samantha G. Sayers,,,,Th2-biased immune profile,,,,,,,
VO:0001290,cholera toxin A1-subunit-ProteinA D-fragment fusion protein,vaccine adjuvant,Vaxjo 1.0,microbial derivative vaccine adjuvant,CTA1-DD gene fusion protein,A microbial derivative vaccine adjuvant composed of the CTA1-DD fusion protein.,PMID:7551218,Samantha G. Sayers,,,,Th2/Th17 mixed immune profile ,,,,,,,
VO:0001291,DOC/Alum Complex vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,mineral salt vaccine adjuvant,DOC/Alum Complex,A mineral salt vaccine adjuvant that is composed of Deoxycholic acid sodium salt (DOC) complexed with aluminum hydroxide.,PMID:7551218,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001292,gamma Inulin vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,carbohydrate vaccine adjuvant,Gamma Inulin,"A carbohydrate adjuvant that is a highly specific activator of the alternative pathway of complement in vitro and in vivo, and is composed of linear (unbranched) b-D-(2-1) polyfructofuranosyl-a-D-glucose.",PMID:3265692|PMID:7551218,Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001293,Gerbu vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,combination vaccine adjuvant,Gerbu Adjuvant,"A combination vaccine adjuvant that is comprised of a mixture of GMDP, DDA, and Zinc L-proline salt complex (ZnPro8).",PMID:7551218|PMID:15953835,Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1/Th2 mixed immune profile,,,,,,,
VO:0001294,GM-CSF vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,cytokine vaccine adjuvant,GM-CSF,A cytokine vaccine adjuvant that includes GM-CSF.,,Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001295,GMDP vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,GMDP|N-acetylglucosaminyl-(b1-4)-N-acetylmuramyl-L-alanyl-D-isoglutamine,"A synthetic vaccine adjuvant containing GMDP, a higly effective primary adjuvant.",PMID:7551218,Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1-biased immune profile,,,,,,,
VO:0001296,recombinant hIFN-gamma/Interferon-g vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,IFN-gamma vaccine adjuvant,Recombinant hIFN-gamma/Interferon-g,An IFN-gamma vaccine adjuvant that is composed of recombinant hIFN-gamma.,,Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001297,IL-1b vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,cytokine vaccine adjuvant,interleukin-1b|IL-1b|Interleukin-1β,A cytokine vaccine adjuvant that includes IL-1b.,,Oliver He|Samantha G. Sayers,,,,Th1/Th17 mixed immune profile,,,,,,,
VO:0001298,interleukin-2 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,cytokine vaccine adjuvant,IL-2 vaccine adjuvant|Interleukin-2,A cytokine vaccine adjuvant that includes IL-2.,,Oliver He|Samantha G. Sayers,,,,Th1-biased immune profile,,,,,,,
VO:0001299,IL-7 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,cytokine vaccine adjuvant,IL-7|interleukin-7 vaccine adjuvant|Interleukin-7,A cytokine vaccine adjuvant that includes IL-7 and induces Th1/Th2/Th17 mixed immune profile.,,Oliver He|Samantha G. Sayers|Le Liu,,,,Th1-biased immune profile,,,,,,,
VO:0001300,Loxoribine vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,7-allyl-8-oxoguanosine|Loxoribine,"A synthetic vaccine adjuvant that includes loxoribine which is a guanosine analog derivatized at position N7 and C8, and activates TLR-7.",PMID:7551218,Samantha G. Sayers,,,Toll-like receptor 7,Th1-biased immune profile,,,,,,,
VO:0001301,MF59 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,emulsion vaccine adjuvant,MF59,An emulsion vaccine adjuvant consisting of an oil (squalene)-in-water nano emulsion.,PMID:20488726,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001302,MTP-PE Liposomes vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,liposome-based vaccine adjuvant,MTP-PE|MTP-PE Liposomes,"A liposome-based vaccine adjuvant that consists of liposomes containing  the synthetic lipophilic analog of muramyl dipeptide, muramyl tripeptide phosphatidylethanolamine (MTP-PE).",PMID:1431559,Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1-biased immune profile,,,,,,,
VO:0001303,Murametide vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,Murametide|Nac-Mur-L-Ala-D-Gln-OCH3,A synthetic vaccine adjuvant made of murametide that has adjuvant activity similar to MDP.,PMID:7551218,Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1-biased immune profile,,,,,,,
VO:0001304,Murapalmitine vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,Murapalmitine|Nac-Mur-L-Thr-D-isoGIn-sn-glyceroI dipalmitoyl|L-Murapalmitine,A synthetic vaccine adjuvant called murapalmitine.,PMID:7551218,Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1-biased immune profile,,,,,,,
VO:0001305,D-Murapalmitine vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,D-Murapalmitine|Nac-Mur-D-Ala-D-isoGln-sn-glycerol dipalmitoyl,A synthetic vaccine adjuvant that includes an MDP analog called D-Murapalmitine.,PMID:7551218,Samantha G. Sayers,,,nucleotide-binding oligomerization domain-containing protein 2,Th1-biased immune profile,,,,,,,
VO:0001306,NAGO vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,NAGO|Neuraminidase-galactose oxidase,A synthetic vaccine adjuvant that is composed of neuraminidase-galactose oxidase (NAGO) a mixture of mixture of the two enzymes-neuraminidase and galactose oxidase.,PMID:7551218,Samantha G. Sayers,,,,,,,,,,,
VO:0001307,non-ionic surfactant vesicles vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,NISV|non-ionic surfactant vesicles,"A synthetic vaccine adjuvant consisting of multi-lamellar vesicles comprising a mixture of non-ionic surfactant (e.g., 1-monopalmitoyl-rac-glycerol), cholesterol and dicetyl phosphate used as a primary vaccine adjuvant for entrapped antigen.",PMID:7551218,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001308,PMMA vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,PMMA|Polymethyl methacrylate,A synthetic vaccine adjuvant made from the emulsion polymerization of methyl methacrylate.,PMID:7551218,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001309,protein cochleates vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,synthetic vaccine adjuvant,protein cochleates,A synthetic vaccine adjuvant synthesized from stable protein phospholipid-calcium precipitates.,PMID:7551218,Samantha G. Sayers,,,,Th1/Th2 mixed immune profile,,,,,,,
VO:0001310,QS-21 vaccine adjuvant,vaccine adjuvant,Vaxjo 1.0,saponin vaccine adjuvant,QS-21|Stimulon™ QS-21 Adjuvant,"A saponin vaccine adjuvant that is composed of extracts from the bark of the Quillaja saponaria Molina tree. Specifically, it is an acylated 3, 28-bisdesmodic triterpene glycosides (1,3) or ""saponin""  with a molecular formula of C92O46H148 and molecular weight of 1990 Da. QS-21 is one of the active fractions of the bark of Chilean tree, Quillaja saponaria, purified using a reverse-phase chromatography (RP-HPLC).",PMID:7551218|PMID:27213168,Samantha G. Sayers|Randi Vita|Oliver He,,,,Th1/Th2 mixed immune profile,,,,,,,
