ID,LABEL,vaccine STN,FDA vaccine indications,vaccine package insert PDF URL
VO:0003075,Gardasil 9 vaccine,125508,"Indicated in girls and women 9 through 45 years of age for the prevention of the following diseases:
- Cervical, vulvar, vaginal, and anal cancer caused by Human Papillomavirus (HPV) types 16, 18, 31, 33, 45, 52, and 58. (1.1)
Genital warts (condyloma acuminata) caused by HPV types 6 and 11. (1.1)

And the following precancerous or dysplastic lesions caused by HPV types 6, 11, 16, 18, 31, 33, 45, 52, and 58:
- Cervical intraepithelial neoplasia (CIN) grade 2/3 and cervical adenocarcinoma in situ (AIS). (1.1)
- Cervical intraepithelial neoplasia (CIN) grade 1. (1.1)
- Vulvar intraepithelial neoplasia (VIN) grade 2 and grade 3. (1.1)
- Vaginal intraepithelial neoplasia (VaIN) grade 2 and grade 3. (1.1)
- Anal intraepithelial neoplasia (AIN) grades 1, 2, and 3. (1.1)

GARDASIL 9 is indicated in boys and men 9 through 45 years of age for the prevention of the following diseases:
- Anal cancer caused by HPV types 16, 18, 31, 33, 45, 52, and 58. (1.2)
- Genital warts (condyloma acuminata) caused by HPV types 6 and 11. (1.2)

And the following precancerous or dysplastic lesions caused by HPV types 6, 11, 16, 18, 31, 33, 45, 52, and 58:
- Anal intraepithelial neoplasia (AIN) grades 1, 2, and 3. (1.2)",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM426457.pdf
VO:0003152,HEPLISAV-B vaccine,125428,For prevention of infection caused by all known subtypes of hepatitis B virus. HEPLISAV-B is approved for use in adults 18 years of age and older,https://www.fda.gov/media/108745/download?attachment
VO:0010715,Hiberix vaccine,125347,For active immunization for the prevention of invasive disease caused by Haemophilus influenzae type b. HIBERIX is approved for use in children 6 weeks through 4 years of age (prior to fifth birthday).,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM179530.pdf
VO:0000063,Imovax Rabies (USA),103931,Vaccine for use in all age groups for pre-exposure and post-exposure prophylaxis against rabies.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM133484.pdf
VO:0000064,Infanrix vaccine,BL 103647,"For active immunization against diphtheria, tetanus, and pertussis as a 5-dose series in infants and children 6 weeks to 7 years of age.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM124514.pdf
VO:0000054,IPOL vaccine,103930,"IPOL vaccine is indicated for active immunization of infants (as young as 6 weeks of age), children and adults for the prevention of poliomyelitis caused by poliovirus Types 1, 2, and 3.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM133479.pdf
VO:0011558,Ixiaro vaccine,BL 125280,For the prevention of disease caused by Japanese encephalitis virus in persons 2 months of age and older.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142569.pdf
VO:0000066,JE-Vax vaccine,,Indicated for Active Immunization against JE for persons one year age and older.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM123761.pdf
VO:0000067,Kinrix vaccine,BL 125260,"Active immunization against diphtheria, tetanus, pertussis, and poliomyelitis as the fifth dose in the diphtheria, tetanus, and acellular pertussis (DTaP) vaccine series and the fourth dose in the inactivated poliovirus vaccine (IPV) series in children 4 through 6 years of age whose previous DTaP vaccine doses have been with INFANRIX(R) and/or PEDIARIX(R) for the first three doses and INFANRIX(R) for the fourth dose.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM241453.pdf
VO:0000069,M-M-R II vaccine,BL 101069,"M-M-R II is indicated for simultaneous vaccination against measles, mumps, and rubella in individuals 12 months of age or older.For active immunization against invasive meningococcal disease caused by Neisseria meningiditis serogroups A, C, Y, and W-135. Menomune – A/C/Y/W-135 vaccine is approved for use in persons 2 years of age and older.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM123789.pdf
VO:0000071,Menactra vaccine,125089,"Active immunization of individuals 9 months through 55 years of age for the prevention of invasive meningococcal disease caused by Neisseria meningitidis serogroups A, C, Y and W-135.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM131170.pdf
VO:0000031,MenHibrix vaccine,BL 125363/0,Indicated for active immunization to prevent invasive disease caused by Neisseria meningitidis serogroups C and Y and Haemophilus influenzae type b for children 6 weeks of age through 18 months of age.,
VO:0001246,Menveo vaccine,125300,"For active immunization to prevent invasive meningococcal disease caused by Neisseria meningitidis serogroups A, C, Y and W-135 when administered to individuals 2 months to 55 years of age.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM201349.pdf
VO:0000082,Pediarix vaccine,BL 103907,"For active immunization against diphtheria, tetanus, pertussis, infection caused by all known subtypes of hepatitis B virus, and poliomyelitis. PEDIARIX is approved for use as a three-dose series in infants born of hepatitis B surface antigen (HBsAg)-negative mothers. PEDIARIX may be given as early as 6 weeks of age through 6 years of age (prior to the 7th birthday).",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM241874.pdf
VO:0000083,PedvaxHIB vaccine,BL 103237/5285,Liquid PedvaxHIB is indicated for routine vaccination against invasive disease caused by Haemophilus influenzae type b in infants and children 2 to 71 months of age.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM253652.pdf
VO:0000084,Pentacel vaccine,125145,"For active immunization against diphtheria, tetanus, pertussis, poliomyelitis and invasive disease caused by Haemophilus influenzae type b when administered to infants and children 6 weeks through 4 years of age (prior to fifth birthday).",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM109810.pdf
VO:0000088,Pneumovax 23 vaccine,BLA 101094,PNEUMOVAX 23 is indicated for active immunization against pneumococcal disease caused by those pneumococcal types included in the vaccine in persons 50 years of age or older and persons greater than or equal to 2 years of age who are at increased risk for pneumococcal disease.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM257088.pdf
VO:0000090,Prevnar vaccine,,"- Immunization of infants 2, 4, 6 and 12-15 months of age to prevent invasive pneumococcal disease.
- Immunization of infants and toddlers against otitis media caused by vaccine serotypes.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM137038.pdf
VO:0001244,Prevnar 13 vaccine,125324,"- Active immunization for the prevention of invasive disease caused by Streptococcus pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F in children 6 weeks through 5 years of age (prior to the 6th birthday).
- Active immunization for the prevention of otitis media caused by S. pneumoniae serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F. No otitis media efficacy data are available for serotypes 1, 3, 5, 6A, 7F, and 19A In children 6 weeks through 5 years of age (prior to the 6th birthday).
- Active immunization for the prevention of invasive disease caused by S. pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F in children 6 years through 17 years of age (prior to the 18th birthday). 
- Active immunization for the prevention of pneumonia and invasive disease caused by S. pneumoniae serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F in adults 18 years of age and older.
- Limitations: Prevnar 13 does not protect against disease caused by S. pneumoniae serotypes that are not in the vaccine.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM574852.pdf
VO:0010734,Priorix vaccine,125748,"For active immunization for the prevention of measles, mumps, and rubella in individuals 12 months of age and older.",https://www.fda.gov/media/158941/download?attachment
VO:0000091,ProQuad vaccine,125108,"For vaccination against measles, mumps, rubella, and varicella in children 12 months to 12 years of age.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM123793.pdf
VO:0010736,Quadracel vaccine,BL 125525,"Active immunization against diphtheria, tetanus, pertussis and poliomyelitis. A single dose of Quadracel is approved as a fifth dose in the diphtheria, tetanus, pertussis (DTaP) vaccination series, and as a fourth or fifth dose in the inactivated poliovirus (IPV) vaccination series in children 4 through 6 years of age whose previous DTaP vaccine doses have been with Pentacel, DAPTACEL, and/or VAXELIS.",https://www.fda.gov/vaccines-blood-biologics/vaccines/quadracel
VO:0000094,RabAvert vaccine,BL 103334,Pre-exposure and post-exposure immunization of children and adults,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM312931.pdf
VO:0010738,Rotarix vaccine,BL 125265,"For the prevention of rotavirus gastroenteritis caused by G1 and non-G1 types (G3, G4, and G9), for use in infants 6 weeks to 24 weeks of age.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM133539.pdf
VO:0000097,RotaTeq vaccine,BL 125122,"For prevention of rotavirus gastroenteritis in infants 6 weeks to 32 weeks of age caused by types G1, G2, G3, G4, and G9.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142288.pdf
VO:0003317,Shingrix vaccine,125614,Indicated for prevention of herpes zoster (shingles) in adults aged 50 years and older.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM581605.pdf
VO:0000102,TENIVAC vaccine,103171,Indicated for active immunization for the prevention of tetanus and diphtheria in persons 7 years of age and older.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM152826.pdf
VO:0003081,Trumenba vaccine,BL 125549,Indicated for active immunization to prevent invasive disease caused by Neisseria meningitidis serogroup B. Trumenba is approved for use in individuals 10 through 25 years of age.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM421139.pdf
VO:0000113,Twinrix vaccine,BL 103850,Active immunization of persons 18 years of age or older against disease caused by hepatitis A virus and infection by all known subtypes of hepatitis B virus.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM110079.pdf
VO:0000104,TYPHIM VI vaccine,103936,For active immunization against typhoid fever for persons two years of age or older.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142811.pdf
VO:0000119,Varivax vaccine,BL 103552,Indicated for active immunization for the prevention of varicella in individuals 12 months of age and older,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142812.pdf|https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142813.pdf
VO:0003082,Vaxchora vaccine,125597,VAXCHORA is a vaccine indicated for active immunization against disease caused by Vibrio cholerae serogroup O1. VAXCHORA is approved for use in persons 2 through 64 years of age traveling to cholera-affected areas.,https://www.fda.gov/media/179631/download?attachment
VO:0003353,Vivotif vaccine,103123,For immunization of adults and children greater than 6 years of age against disease caused by Salmonella typhi.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142807.pdf
VO:0000121,YF-Vax vaccine,BL 103915,"For active immunization of persons 9 months of age and older who:
- Are living in or traveling to endemic areas;
- Travelling internationally to countries that require evidence of vaccination from entering travelers or;
- Laboratory Personnel who might be expose to virulent yellow fever virus or to concentrated preparations of the yellow fever vaccine strain by direct or indirect contact or by aerosols should by vaccinated.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142831.pdf
VO:0000124,Zostavax vaccine,125123,For prevention of herpes zoster (shingles) in individuals 50 years of age and older.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM132831.pdf|https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM285015.pdf
VO:0000043,FluLaval,BL 125163,Active immunization for the prevention of disease caused by influenza A subtype viruses and type B virus contained in the vaccine. FLULAVAL is approved for use in persons 6 months of age and older.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM112904.pdf
VO:0000044,FluMist,BL 125020,For the active immunization of individuals 2-49 years of age against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,
VO:0000046,Fluvirin,BL 103837,For active immunization of persons 4 years of age and older against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM123694.pdf
VO:0000047,Fluzone,BL 103914,Fluzone is indicated for active immunization of persons 6 months of age and older against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM619664.pdf
VO:0000072,Menomune A C Y W135,BL 103926,"For active immunization against invasive meningococcal disease caused by Neisseria meningiditis serogroups A, C, Y, and W-135. Menomune - A/C/Y/W-135 vaccine is approved for use in persons 2 years of age and older.",https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM308370.pdf
VO:0000079,Fluzone High-dose,BL 103914,Fluzone High-Dose is indicated for active immunization of persons 65 years of age and older against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM619541.pdf
VO:0000081,influenza A (H1N1) 2009 Monovalent Vaccine (Novartis),103837,Active immunization of persons 4 years of age and older against influenza disease caused by pandemic (H1N1) 2009 virus.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM182242.pdf
VO:0000092,Fluzone Intradermal Quadrivalent,BL 103914,Fluzone Intradermal Quadrivalent indicated for active immunization for use in adults 18 through 64 years of age against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM566500.pdf
VO:0000096,"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral",BL 125296/0,Indicated for active immunization for the prevention of febrile acute respiratory disease caused by Adenovirus Type 4 and Type 7.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM247515.pdf
VO:0000120,Vivotif (USA),103123,For immunization of adults and children greater than 6 years of age against disease caused by Salmonella typhi.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM142807.pdf
VO:0000160,influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur),103914,Active immunization of persons 6 months of age and older against influenza disease caused by pandemic (H1N1) 2009 virus.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM182404.pdf
VO:0000348,influenza A (H1N1) 2009 Monovalent vaccine (CSL Limited),125254,Active immunization of persons ages 6 months and older against influenza disease caused by pandemic (H1N1) 2009 virus.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM182401.pdf
VO:0000349,influenza A (H1N1) 2009 Monovalent vaccine (MedImmune LLC),125020,Active immunization of individuals 2-49 years of age against influenza disease caused by pandemic (H1N1) 2009 virus.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM182406.pdf
VO:0000771,BCG vaccine,103050,For the prevention of tuberculosis in persons not previously infected with M. tuberculosis who are at high risk for exposure.,https://www.fda.gov/media/78331/download?attachment
VO:0000978,Flublok,125285,For active immunization against disease caused by influenza virus subtypes A and type B contained in the vaccine. Flublok is approved for use in persons 18 years of age and older.,
VO:0000980,Flucelvax,125408,For active immunization of persons 4 years of age and older for the prevention of influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM329134.pdf
VO:0000983,Fluarix Quadrivalent,BL 125127,FLUARIX QUADRIVALENT is a vaccine indicated for active immunization for the prevention of disease caused by influenza A subtype viruses and type B viruses contained in the vaccine.FLUARIX QUADRIVALENT is approved for use in persons aged 6 months and older,https://www.fda.gov/media/79278/download?attachment
VO:0001126,Agriflu,BL 125297/32,Active immunization of adults 18 years of age and older against influenza disease caused by influenza virus subtypes A and type B present in the vaccine.,
VO:0001817,Afluria Quadrivalent,BL 125254,Active immunization against influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine. Afluria Quadrivalent is approved for use in persons 6 months of age and older.,https://www.fda.gov/media/117022/download?attachment
VO:0003067,Flublok Quadrivalent,125285,For active immunization against disease caused by influenza A subtype viruses and influenza type B viruses contained in the vaccine. Flublok Quadrivalent is approved for use in persons 18 years of age and older.,https://www.fda.gov/vaccines-blood-biologics/vaccines/flublok-quadrivalent
VO:0003070,Flucelvax Quadrivalent,BL 125408,For active immunization for the prevention of influenza disease caused by influenza virus subtypes A and types B contained in the vaccine,https://www.fda.gov/media/115862/download?attachment
VO:0003071,FluLaval Quadrivalent,BL 125163,For active immunization of persons 6 months of age and older for the prevention of disease caused by influenza A subtype viruses and type B viruses contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM619548.pdf
VO:0003073,Fluzone Quadrivalent,BL 103914,For active immunization of persons 6 months of age and older for the prevention of influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM356094.pdf
VO:0003074,Fluzone Quadrivalent - Southern Hemisphere Formulation,103914,Fluzone Quadrivalent Southern Hemisphere is a vaccine indicated for active immunization for the prevention of influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine.,https://www.fda.gov/media/120054/download?attachment
VO:0003083,"influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted by GSK",125419,"Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted is a vaccine indicated for active immunization for the prevention of disease caused by the influenza A virus H5N1 subtype contained in the vaccine. Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted is approved for use in persons (6 months and older) at increased risk of exposure to the influenza A virus H5N1 subtype contained in the vaccine.",https://www.fda.gov/media/87479/download
VO:0010737,Recombivax HB,BL 101066,RECOMBIVAX HB is indicated for vaccination against infection caused by all known subtypes of hepatitis B virus.,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM110114.pdf
VO:0010334,ABRYSVO (STN 125768) vaccine,125768,Active immunization of pregnant individuals at 32 through 36 weeks gestational age for the prevention of lower respiratory tract disease (LRTD) and severe LRTD caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age.,https://www.fda.gov/media/171482/download?attachment
VO:0010335,ABRYSVO (STN 125769) vaccine,125769,Active immunization for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus (RSV) in individuals 60 years of age and older.,https://www.fda.gov/media/168889/download?attachment
VO:0010336,AFLURIA QUADRIVALENT SOUTHERN HEMISPHERE vaccine,BL 125254,Active immunization against influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine. Afluria Quadrivalent is approved for use in persons 6 months of age and older.,https://www.fda.gov/media/145736/download?attachment
VO:0010337,AFLURIA SOUTHERN HEMISPHERE vaccine,BL 125254,Active immunization against influenza disease cause by influenza virus subtypes A and type B present in the vaccine. Afluria is approved for use in persons 6 months of age and older.,https://www.fda.gov/media/145737/download?attachment
VO:0010338,AREXVY vaccine,125775,"AREXVY is a vaccine indicated for active immunization for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus (RSV) in:
individuals 60 years of age and older;
individuals 50 through 59 years of age who are at increased risk for LRTD caused by RSV",https://www.fda.gov/media/167805/download?attachment
VO:0010339,AUDENZ vaccine,125692,"AUDENZ is an inactivated vaccine indicated for active immunization for the prevention of disease caused by the influenza A virus H5N1 subtype contained in the vaccine.
AUDENZ is approved for use in persons 6 months of age and older at increased risk of exposure to the influenza A virus H5N1 subtype contained in the vaccine.",https://www.fda.gov/media/135020/download?attachment
VO:0010340,CAPVAXIVE vaccine,125814,"CAPVAXIVE is indicated for:
Active immunization for the prevention of invasive disease caused by Streptococcus pneumoniae serotypes 3, 6A, 7F, 8, 9N, 10A, 11A, 12F, 15A,15B, 15C, 16F, 17F, 19A, 20A, 22F, 23A, 23B, 24F, 31, 33F, and 35B inindividuals 18 years of age and older.
Active immunization for the prevention of pneumonia caused by S. pneumoniaeserotypes 3, 6A, 7F, 8, 9N, 10A, 11A, 12F, 15A, 15C, 16F, 17F, 19A, 20A, 22F,23A, 23B, 24F, 31, 33F, and 35B in individuals 18 years of age and older.
The indication for the prevention of pneumonia caused by S. pneumoniae serotypes 3, 6A, 7F, 8, 9N, 10A, 11A, 12F, 15A, 15C, 16F, 17F, 19A, 20A, 22F, 23A, 23B, 24F, 31, 33F, and 35B is approved under accelerated approval based on immune responses as measured by opsonophagocytic activity (OPA) [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",https://www.fda.gov/media/179426/download?attachment
VO:0010341,CYFENDUS vaccine,125761,For post-exposure prophylaxis of disease following suspected or confirmed exposure to Bacillus anthracis in persons 18 through 65 years of age when administered in conjunction with recommended antibacterial drugs,https://www.fda.gov/media/170445/download?attachment
VO:0010342,DENGVAXIA vaccine,125682,"For the prevention of dengue disease caused by dengue virus serotypes 1, 2, 3 and 4. DENGVAXIA is approved for use in individuals 6 through 16 years of age with laboratory-confirmed previous dengue infection and living in endemic areas.",https://www.fda.gov/media/124379/download?attachment
VO:0010343,ERVEBO vaccine,125690,ERVEBO is a vaccine indicated for For the prevention of disease caused by Zaire ebolavirus in individuals 12 months of age and older.,https://www.fda.gov/media/133748/download?attachment|https://www.fda.gov/vaccines-blood-biologics/ervebo
VO:0010344,FLUAD QUADRIVALENT vaccine,125510,For active immunization of persons 65 years of age and older against influenza disease caused by influenza virus subtypes A and types B contained in the vaccine,https://www.fda.gov/media/135432/download?attachment
VO:0010345,Fluzone High-Dose Quadrivalent vaccine,103914,Fluzone High-Dose Quadrivalent: For active immunization for the prevention of influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine.,https://www.fda.gov/media/139731/download?attachment
VO:0010346,Fluzone Intradermal vaccine,BL 103914,Fluzone Intradermal Quadrivalent is a vaccine indicated for active immunization for the prevention of influenza disease caused by influenza A subtype viruses and type B viruses contained in the vaccine. Fluzone Intradermal Quadrivalent is approved for use in persons 18 through 64 years of age.,https://www.fda.gov/media/106170/download?attachment
VO:0010347,Frozen Formulation - Human SerumAlbumin (HSA) - ProQuad vaccine,125108,"ProQuad(HSA) is a vaccine indicated for active immunization for the prevention of measles, mumps, rubella, and varicella in children 12 months through 12 years of age.",https://www.fda.gov/media/75203/download?attachment
VO:0010348,IXCHIQ vaccine,125777,For the prevention of disease caused by chikungunya virus (CHIKV) in individuals 18 years of age and older who are at increased risk of exposure to CHIKV.,https://www.fda.gov/media/173758/download?attachment
VO:0010349,Influenza A (H1N1) 2009 Monovalent Vaccine (ID Biomedical Corporation of Quebec),125163,Active immunization of persons ages 18 years of age older against influenza disease caused by pandemic (H1N1) 2009 virus.,https://www.fda.gov/media/77835/download?attachment
VO:0010350,"Influenza Virus Vaccine, H5N1 (for National Stockpile)",125244,For active immunization of persons 18 through 64 years of age at increased risk of exposure to the H5N1 influenza virus subtype contained in the vaccine,https://www.fda.gov/media/74534/download?attachment
VO:0010351,JYNNEOS vaccine,125678,For prevention of smallpox and monkeypox disease in adults 18 years of age and older determined to be at high risk for smallpox or monkeypox infection.,https://www.fda.gov/media/131078/download?attachment
