ID,LABEL,inSubset,Parent,alternative label,definition,definition source,term editor,seeAlso,editor note,VAC adjuvant ID,term tracker item,has molecular receptor,has role,induces immune profile,derives from,equivalent axioms
VO:0000193,Bordetella pertussis component vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,,Microbial derivitive vaccine adjuvant that contains components from killed bordetella pertussis. the killed b. pertussis has a strong adjuvant effect on the diphtheria and tetanus toxoids in the dpt vaccines.,,Oliver He,,,,,,,,,
VO:0000351,Adjumer vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,Adjumer|PCPP salt|polyidi (carboxylatophenoxy) lphosphazene|polyphosphazene,Synthetic vaccine adjuvant that is pcpp salt.,PMID:75551218,Samantha G. Sayers,,,,,,,,,
VO:0000366,Liposome-based vaccine adjuvant,vaccine adjuvant,particulate antigen delivery system vaccine adjuvant,,"Particulate antigen delivery system vaccine adjuvant that contains particles made up of concentric lipid membranes containing phospholipids and other lipids in a bilayer configuration separated by aqueous compartments. it is a relatively stable but non-covalently-bound complex of saponin adjuvant quil-a, cholesterol and amphipathic antigen in a molar ratio of approximately 1:1:1. the spectrum of viral capsid antigens and non-viral amphipathic antigens of relevance for human vaccination, incorporated into iscoms, comprises influenza, measles, rabies, gp340 from eb-virus, gp120 from hiv, plasmodium falciparum and trypanosoma cruzi.",http://www.vaccination.inoz.com/adjuvants.html,Oliver He,,,,,,,,,
VO:0000384,Il-15 plasmid vaccine adjuvant,vaccine adjuvant,IL-15 vaccine adjuvant,,,"PMID:18472194
",Oliver He,,,,,,,,,
VO:0000388,E. coli lt toxin derived vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,,Microbial derivative vaccine adjuvant that is derived from e. coli heat labile toxin lt.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000559,Adamantylamide dipeptide vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,AdDP,"Synthetic vaccine adjuvant, adamantylamide dipeptide (addp) is the desmuramyl analog of mdp.",PMID:8375945,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0000580,Vaccine adjuvant,vaccine adjuvant,vaccine component,,Vaccine component that is chemical substance added to vaccine and enhance and direct immune response to protective antigen. many of vaccine adjuvants cause a range of serious side-effects.,,Oliver He,,,,,,vaccine adjuvant role,,,('vaccine component' and 'has role' some 'vaccine adjuvant role')
VO:0000757,Iscom vaccine adjuvant,vaccine adjuvant,particulate antigen delivery system vaccine adjuvant,ISCOM|The immunostimulating complex,"Particulate antigen delivery system vaccine adjuvant that consists of an assembly of antigens in multimeric form and presents an antigen to induce specific immunologic responses. the assembly is attached to a matrix with a built-in adjuvant, saponin. iscoms induce strong serum antibody responses, and are used as highly immunogenic forms of subunit vaccines. mesh term: d20.215.894.860.449.",,Oliver He,,,,,,,,,
VO:0000884,Aluminum vaccine adjuvant,vaccine adjuvant,mineral salt vaccine adjuvant,,Mineral salt vaccine adjuvant that is composed of some aluminum compound.,,Oliver He,,,,,,,,,
VO:0000938,Xanthan gum vaccine ajuvant,vaccine adjuvant,synthetic vaccine adjuvant,,"Synthetic vaccine adjuvant that is derived from xanthomonas campestris, has a pentasaccharide repeating unit structure, and its terminus contains a mannose moiety which acts as a toll-like receptor 2 agonist.",PMID:19608270|http://www.sciencedirect.com/science/article/pii/S0142961209006371,Asiyah Yu Lin,,,,,,,,,
VO:0001147,Il-12 vacince adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,,Cytokine vaccine adjuvant that contains il-12.,,Oliver He|Allen Xiang,,,,,,,,,
VO:0001237,Cpg dna vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,,Microbial derivative vaccine adjuvant compsed of cpg dna.,PMID:12899580,Oliver He,,,,,,,,,
VO:0001238,Ribi vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,,Emulsion vaccine adjuvant that is a stable oil-in-water emulsion.,http://www.sigmaaldrich.com/catalog/ProductDetail.do?D7=0&N5=SEARCH_CONCAT_PNO%7CBRAND_KEY&N4=M6661%7CSIGMA&N25=0&QS=ON&F=SPEC,Samantha G. Sayers,,,,,,,,,
VO:0001239,Rc529 vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,,Synthetic vaccine adjuvant named rc529 that is a lipid a mimetic.,PMID:16204643,Samantha G. Sayers,,,,,,,,,
VO:0001240,Aluminum potassium sulfate adjuvant,vaccine adjuvant,aluminum vaccine adjuvant,,Aluminum vaccine adjuvant that is aluminum potassium sulfate (alk(so4)2).,,Allen Xiang|Samantha G. Sayers,,,,,,,,,
VO:0001241,Alhydrogel vaccine adjuvant,vaccine adjuvant,aluminum hydroxide vaccine adjuvant,Alhydrogel,Aluminum hydroxide vaccine adjuvant that is a gel that is made by precipitation of aluminum hydroxide al(oh)3 under alkaline conditions.,PMID:7551218,Allen Xiang|Samantha G. Sayers,,,,,,,,,
VO:0001242,Cholera toxin b subunit vaccine adjuvant,vaccine adjuvant,cholera toxin derived vaccine adjuvant,CTB|cholera toxin B,Cholera toxin derived vaccine adjuvant made of the b subunit of the cholera toxin from vibrio cholerae.,,Samantha G. Sayers,,,,,,,,,
VO:0001249,Rc529-af vaccine adjuvant,vaccine adjuvant,RC529 vaccine adjuvant,RC529 vaccine adjuvant in an aqueour formulation,Aqueous formula of the synthetic vaccine adjuvant rc529.,PMID: 15308371,,,"RC529-AF can be obtained from Corixa Corporation (Seattle, WA).",,,,,,,
VO:0001250,Monophosphoryl lipid a vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,3-O-deacylated monophosphoryl lipid A vaccine adjuvant|3D-MLA|MPL vaccine adjuvant,Microbial derivative vaccine adjuvant derived from the lipopolysaccharide (lps) of salmonella minnesota r595.,PMID:7551218|https://www.frontiersin.org/articles/10.3389/fimmu.2020.577823,Samantha G. Sayers,PMID:10768940,,,,,,,,
VO:0001251,Ltk63 vaccine mutant,vaccine adjuvant,E. coli LT toxin derived vaccine adjuvant,,E. coli lt toxin derived vaccine adjuvant that is a mutant form of lt containing a ser-lys substitution in position 63 which has been shown to be totally devoid of toxicity stable to protease treatment and able to act as mucosal adjuvant.,PMID:9607006,Samantha G. Sayers,PMID:10790422|PMID:17920733,LTK63 is an enzymatically inactive mutant of the heat-labile enterotoxin of Escherichia coli. It can be used as a potent mucosal adjuvant.,,,,,,,
VO:0001259,Killed corynebacterium parvum vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,,Microbial derivative vaccine adjuvant derived from heat-killed corynebacterium parvum.,PMID:5483667,Samantha G. Sayers,PMID:4596278|PMID:7591056,,,,,,,,
VO:0001260,Titermax gold vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,Titermax Gold,"Emulsion vaccine adjuvant which is a water-in-oil adjuvant with crl-8300 (a block copolymer), squalene, and sorbitan monooleate.",,Samantha G. Sayers,URL: http://www.titermax.com/i_gold4.htm,,,,,,,,
VO:0001261,Dda vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,Dimethyl dioctadecyl ammonium bromide,"Synthetic vaccine adjuvant that is dimethyldioctadecylammonium bromide (dda), a lipophilic quaternary ammonium salt known as a good adjuvant when co-administered systemically or nasally with an antigen.",,Samantha G. Sayers,PMID:1439129,,,,,,,,
VO:0001262,Cationic liposomal vaccine adjuvant dda:tdb,vaccine adjuvant,liposome-based vaccine adjuvant,,Liposome-based vaccine adjuvant that have a positive surface charge.,,Samantha G. Sayers,PMID:19874860,,,,,,,,
VO:0001263,Quila vaccine adjuvant,vaccine adjuvant,tensoactive compound vaccine adjuvant,,Tenosactive compound vaccine adjuvant that contains purified extract from the bark of the south american tree quillaja saponaria molina.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001264,As02 vaccine adjuvant,vaccine adjuvant,combination vaccine adjuvant,,"Combination vaccine adjuvant comprised of monophosphoryl lipid a (mpl), qs21 and an oil in water emulsion.",,Samantha G. Sayers,PMID:15780441|PMID:15187142,"monophosphoryl lipid A (MPL), QS21 and an oil in water emulsion.",,,,,,,
VO:0001265,As04 vaccine adjuvant,vaccine adjuvant,combination vaccine adjuvant,,Combination vaccine adjuvant that is a combination of 50 ug of the immunoenhancer mpl (3-o-desacyl-4′-monophosphoryl lipid a) with 500 ug of aluminium salt.,PMID:21527299,Samantha G. Sayers,,,,,,,,,
VO:0001266,Vsa-3 vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,Emulsigen D|VSA-3,Emulsion vaccine adjuvant which is an emulsion plus dda.,PMID:16187717,Samantha G. Sayers,,,,,,,,,
VO:0001267,Saponin vaccine adjuvant,vaccine adjuvant,tensoactive compound vaccine adjuvant,,"Tensoactive compound vaccine adjuvant that is derived from saponin, a compound that is an immunostimulator found in the plant p. senega.",,,,,,,,,,,
VO:0001268,Montanide isa 720 vaccine adjuvant,vaccine adjuvant,Montanide vaccine adjuvant,Montanide ISA 720|Montanide ISA 720 VG,Montanide vaccine adjuvant that is formulated as water-in-oil emulsions and induces high antibody titers in several animal species. it is a vaccine adjuvant composed of metabolizable oil and a surfactant system designed to make a water-in-oil emulsion. it has been used since 1992 in more than 50 clinical trials related to therapeutic vaccines against various diseases such as cancer and malaria.,"WEB: http://www.seppic.com/human-health/vaccine-adjuvant/montanide-isa-720-@/view-1044-seproduit.html?menuid=,979,&lang=en",Oliver He|Samantha G. Sayers,PMID:15752840,,,,,,,,
VO:0001269,Montanide incomplete seppic adjuvant,vaccine adjuvant,Montanide vaccine adjuvant,,Montanide vaccine adjuvant that is a mineral oil adjuvant.,,,,,,,,,,,
VO:0001270,Montanide isa51 vaccine adjuvant,vaccine adjuvant,Montanide vaccine adjuvant,Montanide ISA51,Montanide vaccine adjuvant that is a vaccine adjuvant composed of a light mineral oil and a surfactant system designed to make a water-in-oil emulsion.,"WEB: http://www.seppic.com/human-health/vaccine-adjuvant/montanide-isa-51-@/view-1042-seproduit.html?menuid=,979,&lang=en",Samantha G. Sayers,,,,,,,,,
VO:0001271,Montanide vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,,Emulsion vaccine adjuvant developed by montanide.,http://www.montanide.com/,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001272,Etxb vaccine adjuvant,vaccine adjuvant,E. coli LT toxin derived vaccine adjuvant,B subunit of E. coli heat-labile enterotoxin,E. coli lt toxin derived vaccine adjuvant composed of the b subunit of e. coli heat-labile toxin.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001273,Polygen vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,,Synthetic vaccine adjuvant with the tradename polygen.,,Oliver He|Samantha G. Sayers,URL: http://www.mvp-technologies.com/adjuvants/Polygen%20Final%20Technical%20Bulletin.pdf,,,,,,,,
VO:0001285,Algal glucan vaccine adjuvant,vaccine adjuvant,carbohydrate vaccine adjuvant,,"Carbohydrate vaccine adjuvant, which enhances both humoral and cell-mediated immunity to oligopeptides in experimental animal models.",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001286,Algammulin vaccine adjuvant,vaccine adjuvant,combination vaccine adjuvant,,Combination vaccine adjuvant that suspension of 1-2um ovoids of immune stimulant gamma inulin (g-in) in which alum is embedded as a carrier for protein or other anionic antigens.,PMID:1887671,Samantha G. Sayers,,,,,,,,,
VO:0001287,Bay r1005 vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,BAY R1005|N-( 2-Deoxy-2-L-leucylamino-β-D-glucopyranosyl)-N-octadecyldodecanoylamide hydroacetate,Synthetic vaccine adjuvant that is bay r1005 (n-(2-deoxy-2-l-leucylamino beta-d-glucopyranosyl)-n-octadecyldodecanoylamide hydroacetate ).,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001288,Avridine vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,"Avridine|CP20,96|N, N-dioctadecyl-N', N'-bis( 2-hydroxyethyl) propanediamine","Synthetic vaccine adjuvant that is n, n-dioctadecyl-n', n'-bis(2-hydroxyethyl) propanediamine (avridine).",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001289,Calcium phosphate gel vaccine adjuvant,vaccine adjuvant,calcium phosphate vaccine adjuvant,calcium phosphate gel,Calcium phosphate vaccine adjuvant that is a gel prepared by precipitating soluable calcium and phosphate salts.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001290,Cholera toxin a1-subunit-proteina d-fragment fusion protein,vaccine adjuvant,microbial derivative vaccine adjuvant,CTA1-DD gene fusion protein,Microbial derivative vaccine adjuvant composed of the cta1-dd fusion protein.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001291,Doc/alum complex vaccine adjuvant,vaccine adjuvant,mineral salt vaccine adjuvant,DOC/Alum Complex,Mineral salt vaccine adjuvant that is composed of deoxycholic acid sodium salt (doc) complexed with aluminum hydroxide.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001292,Gamma inulin vaccine adjuvant,vaccine adjuvant,carbohydrate vaccine adjuvant,,"Carbohydrate adjuvant that is a highly specific activator of the alternative pathway of complement in vitro and in vivo, and is composed of linear (unbranched) b-d-(2-1) polyfructofuranosyl-a-d-glucose.",PMID:3265692|PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001293,Gerbu vaccine adjuvant,vaccine adjuvant,combination vaccine adjuvant,,"Combination vaccine adjuvant that is comprised of a mixture of gmdp, dda, and zinc l-proline salt complex (znpro8).",PMID:7551218|PMID:15953835,Samantha G. Sayers,,,,,,,,,
VO:0001294,Gm-csf vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,,Cytokine vaccine adjuvant that includes gm-csf.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001295,Gmdp vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,GMDP|N-acetylglucosaminyl-(b1-4)-N-acetylmuramyl-L-alanyl-D-isoglutamine,"Synthetic vaccine adjuvant containing gmdp, a higly effective primary adjuvant.",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001296,Recombinant hifn-gamma/interferon-g vaccine adjuvant,vaccine adjuvant,IFN-gamma vaccine adjuvant,,Ifn-gamma vaccine adjuvant that is composed of recombinant hifn-gamma.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001297,Interleukin-1b vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,,Cytokine vaccine adjuvant that includes il-1b.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001298,Interleukin-2 vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,IL-2 vaccine adjuvant,Cytokine vaccine adjuvant that includes il-2.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001299,Interleukin-7 vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,IL-7 vaccine adjuvant,Cytokine vaccine adjuvant that includes il-7.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001300,Loxoribine vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,7-allyl-8-oxoguanosine|Loxoribine,"Synthetic vaccine adjuvant that includes loxoribine which is a guanosine analog derivatized at position n7 and c8, and activates tlr-7.",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001301,Mf59 vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,MF59,Emulsion vaccine adjuvant consisting of an oil (squalene)-in-water nano emulsion.,PMID:20488726,Samantha G. Sayers,,,,,,,,,
VO:0001302,Mtp-pe liposomes vaccine adjuvant,vaccine adjuvant,liposome-based vaccine adjuvant,MTP-PE|MTP-PE Liposomes,"Liposome-based vaccine adjuvant that consists of liposomes containing  the synthetic lipophilic analog of muramyl dipeptide, muramyl tripeptide phosphatidylethanolamine (mtp-pe).",PMID:1431559,Samantha G. Sayers,,,,,,,,,
VO:0001303,Murametide vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,Murametide|Nac-Mur-L-Ala-D-Gln-OCH3,Synthetic vaccine adjuvant made of murametide that has adjuvant activity similar to mdp.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001304,Murapalmitine vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,Murapalmitine|Nac-Mur-L-Thr-D-isoGIn-sn-glyceroI dipalmitoyl,Synthetic vaccine adjuvant called murapalmitine.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001305,D-murapalmitine vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,D-Murapalmitine|Nac-Mur-D-Ala-D-isoGln-sn-glycerol dipalmitoyl,Synthetic vaccine adjuvant that includes an mdp analog called d-murapalmitine.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001306,Nago vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,NAGO|Neuraminidase-galactose oxidase,Synthetic vaccine adjuvant that is composed of neuraminidase-galactose oxidase (nago) a mixture of mixture of the two enzymes-neuraminidase and galactose oxidase.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001307,Non-ionic surfactant vesicles vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,NISV|non-ionic surfactant vesicles,"Synthetic vaccine adjuvant consisting of multi-lamellar vesicles comprising a mixture of non-ionic surfactant (e.g., 1-monopalmitoyl-rac-glycerol), cholesterol and dicetyl phosphate used as a primary vaccine adjuvant for entrapped antigen.",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001308,Pmma vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,PMMA|Polymethyl methacrylate,Synthetic vaccine adjuvant made from the emulsion polymerization of methyl methacrylate.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001309,Protein cochleates vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,protein cochleates,Synthetic vaccine adjuvant synthesized from stable protein phospholipid-calcium precipitates.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001310,Qs-21 vaccine adjuvant,vaccine adjuvant,saponin vaccine adjuvant,QS-21|Stimulon™ QS-21 Adjuvant,"Saponin vaccine adjuvant that is composed of extracts from the bark of the quillaja saponaria molina tree. specifically, it is an acylated 3, 28-bisdesmodic triterpene glycosides (1,3) or ""saponin""  with a molecular formula of c92o46h148 and molecular weight of 1990 da. qs-21 is one of the active fractions of the bark of chilean tree, quillaja saponaria, purified using a reverse-phase chromatography (rp-hplc).",PMID:7551218|PMID:27213168,Samantha G. Sayers|Randi Vita|Oliver He,,,,,,,,,
VO:0001311,Rehydragel hpa vaccine adjuvant,vaccine adjuvant,aluminum vaccine adjuvant,Rehydragel HPA,Aluminum vaccine adjuvant that is a synthetic oxyhydroxide of aluminum (aluminum hydroxide) prepared by acid-base precipitation.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001312,Rehydragel lv vaccine adjuvant,vaccine adjuvant,aluminum hydroxide vaccine adjuvant,Rehydragel LV,Aluminum hydroxide vaccine adjuvant that is a low visosity aluminum hydroxide gel.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001313,Sclavo peptide vaccine adjuvant,vaccine adjuvant,cytokine vaccine adjuvant,IL-1β 163-171 peptide vaccine adjuvant|Sclavo peptide,Cytokine vaccine adjuvant that contains the 163-171 peptide of il-1β.,,Oliver He|Samantha G. Sayers,,,,,,,,,
VO:0001314,Specol vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,Specol,Emulsion vaccine adjuvant that is a water-in-oil emulsion that is used as an adjuvant and has immunostimulating properties similar to freund's complete adjuvant (fca).,PMID:1439130,Samantha G. Sayers,,,,,,,,,
VO:0001315,Spt (antigen formulation),vaccine adjuvant,emulsion vaccine adjuvant,,"Emulsion vaccine adjuvant that is an emulsion of squalane (5%), tween 80( 0.2%), pluronic l121( 1.25%), phosphate-buffered saline ph 7.4, and antigen.",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001316,Stearyl tyrosine vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,stearyl tyrosine,"Synthetic vaccine adjuvant stearyl tyrosine is considered an ""organic equivelant"" of aluminum hydroxide.",PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001317,Theramide vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,Theramide,Synthetic vaccine adjuvant called theramide that is composed of n-acetylglucosaminyl-n-acetylinuramyl-l-ala-d-isoglu-l-ala-dipalmitoxy propylamide (dtp-dpp).,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001318,Crl1005 vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,CRL1005,"Synthetic vaccine adjuvant that is a copolymer (crl1005), based on a 12 kda polyoxypropylene (pop) core with 5% poe.",PMID:10717336,Samantha G. Sayers,,,,,,,,,
VO:0001319,Nanoemulsion vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,,Emulsion vaccine adjuvant and is made from non-toxic lipid droplets a few hundred nanometers in diameter and made from surfactants approved for human consumption and common food substances that are 'generally recognized as safe' (gras) by the fda.,http://nano.med.umich.edu/platforms/Nanoemulsions.html,Samantha G. Sayers,,,,,,,,,
VO:0001320,As03 vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,AS03,"Emusion vaccine adjuvant that contains alpha-tocopherol and squalene, two biodegradable polyprenyls, in an oil-in-water emulsion.",PMID:21256188,Samantha G. Sayers,,,,,,,,,
VO:0001321,Ltr192g vaccine adjuvant,vaccine adjuvant,E. coli LT toxin derived vaccine adjuvant,LTR192G,E. coli lt toxin derived vaccine adjuvant that is a mutant form of e.coli heat-labile toxin.,PMID:11803061,Samantha G. Sayers,,,,,,,,,
VO:0001322,E. coli heat-labile toxin vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,"E. coli heat-labile toxin, LT|LT Oral Adjuvant|LT-OA",Microbial derivative vaccine adjuvant containing e. coli heat-labile toxin.,PMID:7551218,Samantha G. Sayers,,,,,,,,,
VO:0001323,Amorphous aluminum hydroxyphosphate sulfate adjuvant,vaccine adjuvant,aluminum vaccine adjuvant,AAHSA|Merck Aluminum Adjuvant,Aluminum vaccine adjuvant that is a a proprietary aluminum hydroxyphosphate sulfate formulation that is both physically and functionally distinct from traditional aluminum phosphate and aluminum hydroxide adjuvants.,PMID:17581283,Samantha G. Sayers,,,,,,,,,
VO:0001324,Matrix-s vaccine adjuvant,vaccine adjuvant,tensoactive compound vaccine adjuvant,Matrix-S,,,,,,,,,,,,
VO:0001328,Imiquimod vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,"1-(2-methypropyl)-IH-imidazo[4,5-c]quinolin-4-amine|Aldara™|R-837|S26308",Synthetic vaccine adjuvant contiaing imiquimod a imidazoquinoline.,PMID:7551218|PMID:18566444,Samantha G. Sayers,,,,,,,,,
VO:0001329,Resiquimod vaccine adjuvant,vaccine adjuvant,synthetic vaccine adjuvant,,"Synthetic vaccine adjuvant, resiquimod is a chemical analog of imiquimod.",PMID:15068862,Samantha G. Sayers,,,,,,,,,
VO:0001330,Af03 vaccine adjuvant,vaccine adjuvant,emulsion vaccine adjuvant,,Emulsion vaccine adjuvant containing 2.5% squalene.,PMID:20193791,Samantha G. Sayers,,,,,,,,,
VO:0001331,Flagellin vaccine adjuvant,vaccine adjuvant,microbial derivative vaccine adjuvant,FliC,Microbial derivative vaccine adjuvant composed of flagellin from gram-negative bacteria.,PMID:16428759|PMID:21048152,Samantha G. Sayers,,,,,,,,,
