ID,LABEL,new LABEL,InSubset,Parent,Equivalent Class,has role,in taxon,definition,definition source,term editor,alternative label,alternative ID,seeAlso,editor note,comment
VO:0001384,Actinobacillus pleuropneumoniae gene,Actinobacillus pleuropneumoniae gene,gene,gene of Bacteria,,,Actinobacillus pleuropneumoniae,A bacterial gene from Actinobacillus pleuropneumoniae.,,"YH, RR",,,,,
VO:0001400,Brucella melitensis gene,Brucella melitensis gene,gene,Brucella gene,,,Brucella melitensis,A Brucella gene that is from B. melitensis.,,"YH, RR",,,,,
VO:0001401,Brucella suis gene,Brucella suis gene,gene,Brucella gene,,,Brucella suis,A Brucella gene that is from B. suis.,,YH,,,,,
VO:0001402,Bacillus anthracis gene,Bacillus anthracis gene,gene,gene of Bacteria,,,Bacillus anthracis,A bacterial gene that is from Bacillus anthracis.,,"YH, RR",,,,,
VO:0001403,Listeria monocytogenes gene,Listeria monocytogenes gene,gene,gene of Bacteria,,,Listeria monocytogenes,A bacterial gene that is from Listeria monocytogenes.,,"YH, RR",,,,,
VO:0001404,Mycobacterium avium gene,Mycobacterium avium gene,gene,gene of Bacteria,,,Mycobacterium avium,A bacterial gene that is from Mycobacterium avium.,,"YH, RR",,,,,
VO:0001405,Staphylococcus aureus gene,Staphylococcus aureus gene,gene,gene of Bacteria,,,Staphylococcus aureus,A bacterial gene that is from Staphylococcus aureus.,,"YH, RR",,,,,
VO:0001406,Aeromonas hydrophila gene,Aeromonas hydrophila gene,gene,gene of Bacteria,,,Aeromonas hydrophila,A bacterial gene that is from Aeromonas hydrophila.,,"YH, RR",,,,,
VO:0001407,Bordetella bronchiseptica gene,Bordetella bronchiseptica gene,gene,gene of Bacteria,,,Bordetella bronchiseptica,A bacterial gene that is from Bordetella bronchiseptica.,,"YH, RR",,,,,
VO:0001408,Aeromonas salmonicida gene,Aeromonas salmonicida gene,gene,gene of Bacteria,,,Aeromonas salmonicida,A bacterial gene that is from Aeromonas salmonicida.,,"YH, RR",,,,,
VO:0001409,Bordetella pertussis gene,Bordetella pertussis gene,gene,gene of Bacteria,,,Bordetella pertussis,A bacterial gene that is from Bordetella pertussis.,,"YH, RR",,,,,
VO:0001410,Borrelia burgdorferi gene,Borrelia burgdorferi gene,gene,gene of Bacteria,,,Borreliella burgdorferi,A bacterial gene that is from Borrelia burgdorferi.,,"YH, RR",,,,,
VO:0001411,Burkholderia pseudomallei gene,Burkholderia pseudomallei gene,gene,gene of Bacteria,,,Burkholderia pseudomallei,A bacterial gene that is from Burkholderia pseudomallei.,,"YH, RR",,,,,
VO:0001412,Edwardsiella ictaluri gene,Edwardsiella ictaluri gene,gene,gene of Bacteria,,,Burkholderia pseudomallei,A bacterial gene that is from Edwardsiella ictaluri.,,"YH, RR",,,,,
VO:0001413,Edwardsiella tarda gene,Edwardsiella tarda gene,gene,gene of Bacteria,,,Edwardsiella tarda,A bacterial gene that is from Edwardsiella tarda.,,"YH, RR",,,,,
VO:0001414,Francisella tularensis gene,Francisella tularensis gene,gene,gene of Bacteria,,,Francisella tularensis,A bacterial gene that is from Francisella tularensis.,,"YH, RR",,,,,
VO:0001415,Mannheimia haemolytica gene,Mannheimia haemolytica gene,gene,gene of Bacteria,,,Mannheimia haemolytica,A bacterial gene that is from Mannheimia haemolytica.,,"YH, RR",,,,,
VO:0001416,Mycoplasma gallisepticum gene,Mycoplasma gallisepticum gene,gene,gene of Bacteria,,,Mycoplasmoides gallisepticum,A bacterial gene that is from Mycoplasma gallisepticum.,,"YH, RR",,,,,
VO:0001417,Neisseria meningitidis gene,Neisseria meningitidis gene,gene,gene of Bacteria,,,Neisseria meningitidis,A bacterial gene that is from Neisseria meningitidis.,,"YH, RR",,,,,
VO:0001418,Pasteurella multocida gene,Pasteurella multocida gene,gene,gene of Bacteria,,,Pasteurella multocida,A bacterial gene that is from Pasteurella multocida.,,"YH, RR",,,,,
VO:0001419,Salmonella Typhi gene,Salmonella Typhi gene,gene,Salmonella gene,,,Salmonella enterica subsp. enterica serovar Typhi,A bacterial gene that is from Salmonella Typhi.,,"YH, RR",,,,,
VO:0001420,Salmonella Gallinarum gene,Salmonella Gallinarum gene,gene,Salmonella gene,,,Salmonella enterica subsp. enterica serovar Gallinarum,A bacterial gene that is from Salmonella Gallinarum.,,"YH, RR",,,,,
VO:0001421,'Salmonella Typhimurium gene,Salmonella Typhimurium gene,gene,Salmonella gene,,,Salmonella enterica subsp. enterica serovar Typhimurium,A bacterial gene that is from Salmonella Typhimurium.,,"YH, RR",,,,,
VO:0001422,Salmonella Enteritidis gene,Salmonella Enteritidis gene,gene,Salmonella gene,,,Salmonella enterica subsp. enterica serovar Enteritidis,A bacterial gene that is from Salmonella Enteritidis.,,"YH, RR",,,,,
VO:0001423,Vibrio cholerae gene,Vibrio cholerae gene,gene,gene of Bacteria,,,Vibrio cholerae,A bacterial gene that is from Vibrio cholerae.,,"YH, RR",,,,,
VO:0001424,Bovine herpesvirus 1 gene,Bovine herpesvirus 1 gene,gene,viral gene,,,Bovine alphaherpesvirus 1,A viral gene that is from Bovine herpesvirus 1.,,"YH, RR",,,,,
VO:0001425,Yersinia enterocolitica gene,Yersinia enterocolitica gene,gene,gene of Bacteria,,,Yersinia enterocolitica subsp. enterocolitica,A bacterial gene that is from Yersinia enterocolitica.,,"YH, RR",,,,,
VO:0001426,Yersinia pestis gene,Yersinia pestis gene,gene,gene of Bacteria,,,Yersinia pestis,A bacterial gene that is from Yersinia pestis.,,"YH, RR",,,,,
VO:0001427,Yersinia pseudotuberculosis gene,Yersinia pseudotuberculosis gene,gene,gene of Bacteria,,,Yersinia pseudotuberculosis,A bacterial gene that is from Yersinia pseudotuberculosis.,,"YH, RR",,,,,
VO:0001428,Yersinia ruckeri gene,Yersinia ruckeri gene,gene,gene of Bacteria,,,Yersinia ruckeri,A bacterial gene that is from Yersinia ruckeri.,,"YH, RR",,,,,
VO:0001429,Bovine Respiratory Syncytial Virus gene,Bovine Respiratory Syncytial Virus gene,gene,viral gene,,,Bovine orthopneumovirus,A viral gene that is from Bovine Respiratory Syncytial Virus.,,"YH, RR",,,,,
VO:0001430,Classical swine fever virus gene,Classical swine fever virus gene,gene,viral gene,,,Classical swine fever virus,A viral gene that is from Classical swine fever virus.,,"YH, RR",,,,,
VO:0001431,Equid herpesvirus gene,Equid herpesvirus gene,gene,viral gene,,,Equid alphaherpesvirus 1,A viral gene that is from Equid herpesvirus 1.,,"YH, RR",,,,,
VO:0001432,Feline herpesvirus 1 gene,Feline herpesvirus 1 gene,gene,viral gene,,,Felid alphaherpesvirus 1,A viral gene that is from Feline herpesvirus 1.,,"YH, RR",,,,,
VO:0001433,Feline immunodeficiency virus gene,Feline immunodeficiency virus gene,gene,viral gene,,,Feline immunodeficiency virus,A viral gene that is from Feline immunodeficiency virus.,,"YH, RR",,,,,
VO:0001434,Feline infectious peritonitis virus gene,Feline infectious peritonitis virus gene,gene,viral gene,,,Feline infectious peritonitis virus,A viral gene that is from Feline infectious peritonitis virus.,,"YH, RR",,,,,
VO:0001435,Gallid herpesvirus 1 gene,Gallid herpesvirus 1 gene,gene,viral gene,,,Gallid alphaherpesvirus 1,A viral gene that is from Gallid herpesvirus 1.,,"YH, RR",,,,,
VO:0001436,Hepatitis B virus gene,Hepatitis B virus gene,gene,viral gene,,,Hepatitis B virus,A viral gene that is from Hepatitis B virus.,,"YH, RR",,,,,
VO:0001437,Human herpesvirus 1 gene,Human herpesvirus 1 gene,gene,viral gene,,,Human alphaherpesvirus 1,A viral gene that is from Human herpesvirus 1.,,"YH, RR",,,,,
VO:0001438,Human metapneumovirus gene,Human metapneumovirus gene,gene,viral gene,,,Human metapneumovirus,A viral gene that is from Human metapneumovirus.,,"YH, RR",,,,,
VO:0001439,Human Respiratory Syncytial Virus gene,Human Respiratory Syncytial Virus gene,gene,viral gene,,,Human orthopneumovirus,A viral gene that is from Human Respiratory Syncytial Virus.,,"YH, RR",,,,,
VO:0001440,Infectious Hematopoietic Necrosis Virus gene,Infectious Hematopoietic Necrosis Virus gene,gene,viral gene,,,Infectious hematopoietic necrosis virus,A viral gene that is from Infectious Hematopoietic Necrosis Virus.,,"YH, RR",,,,,
VO:0001441,Porcine respiratory and reproductive syndrome virus gene,Porcine respiratory and reproductive syndrome virus gene,gene,viral gene,,,Porcine reproductive and respiratory syndrome virus,A viral gene that is from Porcine respiratory and reproductive syndrome virus.,,"YH, RR",,,,,
VO:0001442,Pseudorabies virus gene,Pseudorabies virus gene,gene,viral gene,,,Suid alphaherpesvirus 1,A viral gene that is from Pseudorabies virus.,,"YH, RR",Suid herpesvirus 1 gene,,,,
VO:0001443,Rabies virus gene,Rabies virus gene,gene,viral gene,,,Lyssavirus rabies,A viral gene that is from Rabies virus.,,"YH, RR",,,,,
VO:0001444,SARS-CoV gene,SARS-CoV gene,gene,viral gene,,,Severe acute respiratory syndrome-related coronavirus,A viral gene that is from SARS-CoV.,,"YH, RR",,,,,
VO:0001445,Simian Immunodeficiency Virus gene,Simian Immunodeficiency Virus gene,gene,viral gene,,,Simian immunodeficiency virus,A viral gene that is from Simian Immunodeficiency Virus.,,"YH, RR",,,,,
VO:0001446,Tick-borne Encephalitis Virus gene,Tick-borne Encephalitis Virus gene,gene,viral gene,,,Tick-borne encephalitis virus,A viral gene that is from Tick-borne Encephalitis Virus.,,"YH, RR",,,,,
VO:0001447,VEE Virus gene,VEE Virus gene,gene,viral gene,,,Venezuelan equine encephalitis virus,A viral gene that is from VEE Virus.,,"YH, RR",,,,,
VO:0001448,West Nile virus gene,West Nile virus gene,gene,viral gene,,,West Nile virus,A viral gene that is from West Nile virus.,,"YH, RR",,VO:0000197,,,
VO:0001449,Western equine encephalomyelitis virus gene,Western equine encephalomyelitis virus gene,gene,viral gene,,,Western equine encephalitis virus,A viral gene that is from Western equine encephalomyelitis virus.,,"YH, RR",,,,,
VO:0001450,Leishmania donovani gene,Leishmania donovani gene,gene,Leishmania gene,,,Leishmania donovani,A protozoan gene that is from Leishmania donovani.,,"YH, RR",,,,,
VO:0001451,Plasmodium berghei gene,Plasmodium berghei gene,gene,Plasmodium gene,,,Plasmodium berghei,A Plasmodium gene that is from Plasmodium berghei.,,"YH, RR",,,,,
VO:0001452,Plasmodium yoelii gene,Plasmodium yoelii gene,gene,Plasmodium gene,,,Plasmodium yoelii,A Plasmodium gene that is from Plasmodium yoelii.,,"YH, RR",,,,,
VO:0001453,Toxoplasma gondii gene,Toxoplasma gondii gene,gene,protozoan gene,,,Toxoplasma gondii,A protozoan gene that is from Toxoplasma gondii.,,"YH, RR",,,,,
VO:0001454,'Human herpesvirus 2 gene',Human herpesvirus 2 gene,gene,viral gene,,,Human alphaherpesvirus 2,A viral gene that is from Human herpesvirus 2.,,"YH, RR",,,,,
VO:0002503,'Streptococcus gene',Streptococcus gene,gene,gene of Bacteria,,,Staphylococcus,A bacterial gene that is from Streptococcus.,,"YH, RR",,,,,
VO:0002504,Streptococcus equi gene,Streptococcus equi gene,gene,Streptococcus gene,,,Streptococcus equi,A bacterial gene that is from Streptococcus equi.,,"YH, RR",,,,,
VO:0002515,Leishmania infantum gene,Leishmania infantum gene,gene,Leishmania gene,,,Leishmania infantum,A protozoan gene that is from Leishmania infantum.,,"YH, RR",,,,,
VO:0002516,apxIA from Actinobacillus pleuropneumoniae,apxIA from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 4850247; PMID: 16930871,,"The mutant strain, with deletion of apxIA gene, obtained in this study offered a level of cross-serovar protection against A. pleuropneumoniae infection in mice and pigs (Reference: PMID: 16930871)."
VO:0002517,apxIC from Actinobacillus pleuropneumoniae,apxIC from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Protein_ID: 1477456; PMID: 18062275,,"In the intra-peritoneal mouse model, the virulence of the mutant strain decreased at least 100 fold compared with the parent strain. The mutant was evaluated as a potential vaccine using a vaccination-challenge trial. The death number and lung lesion score in the vaccinated pigs given the serovar 1 challenge were obviously lower than those in the unvaccinated pigs"
VO:0002518,apxIIA from Actinobacillus pleuropneumoniae,apxIIA from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Protein_ID: 255959000; PMID: 12438394,,Deletion in ureC and apxIIA genes of Actinobacillus pleuropneumoniae serotype 2 prototype provides attenuation and protection in pigs against challenge with the virulent parent strain of A. pleuropneumoniae
VO:0002519,apxIIC from Actinobacillus pleuropneumoniae,apxIIC from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,VO:0002520,NCBI_Protein_ID: 52630373; PMID: 10085043,,"In the present study, the gene encoding the ApxII-activating protein, apxIIC, was insertionally inactivated on the chromosome of a serovar 7 strain, HS93. Pigs vaccinated with live HS93C-Ampr via the intranasal route were protected against a cross-serovar challenge with a virulent serovar 1 strain of A. pleuropneumoniae"
VO:0002521,apxIIIB from Actinobacillus pleuropneumoniae,apxIIIB from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Nucleotide_ID: 470686; PMID: 19887737,,"An apxIIIB mutant, in combination with an apxIIID mutation, is highly attenuated in pigs and induces significant protection from challenge with wild type A. pleuropneumoniae. The mutant also was slightly attenuated in mice and induced protection in mice against challenge from the parent strain"
VO:0002522,apxIIID from Actinobacillus pleuropneumoniae,apxIIID from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Nucleotide_ID: 470687; PMID: 19887737,,"An apxIIID mutant, in combination with an apxIIIB mutation, is highly attenuated in pigs and induces significant protection from challenge with wild type A. pleuropneumoniae. The mutant also was slightly attenuated in mice and induced protection in mice against challenge from the parent strain"
VO:0002523,apxIVA from Actinobacillus pleuropneumoniae,apxIVA from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Protein_ID: 6671152; PMID: 17767980,,"A precisely defined DeltaapxIICDeltaapxIVA double-deletion mutant of A. pleuropneumoniae was constructed based on HB04C(-) by transconjugation and counterselection. The results demonstrated that the DeltaapxIICDeltaapxIVA double mutant strain was less virulent than HB04C(-). Despite attenuation of virulence, the DeltaapxIICDeltaapxIVA double mutant remains immunogenic and conferred a similar level of protective immunity to pigs against challenge with a lethal dose of a heterologous fully virulent standard serovar 1 strain of A. pleuropneumoniae"
VO:0002524,ureC from Actinobacillus pleuropneumoniae,ureC from Actinobacillus pleuropneumoniae,gene,Actinobacillus pleuropneumoniae gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Protein_ID: 303253439; PMID: 12438394,,"Deletions were introduced into the ureC and apxIIA genes of an Actinobacillus pleuropneumoniae serotype 2 strain by homologous recombination and counterselection. The double-mutant contains no foreign DNA, is highly attenuated, protects pigs from homologous challenge upon a single aerosol application"
VO:0002525,mntA from Bacillus anthracis,mntA from Bacillus anthracis,gene,Bacillus anthracis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 7848141; PMID:  16194238,,"An mntA deletion mutant, generated by allelic replacement, in Bacillus anthracis was attenuated and provided protection for guinea pigs against lethal spore dose (60 LD50) of the virulent B. anthracis Vollum strain"
VO:0002526,actA from Listeria monocytogenes,actA from Listeria monocytogenes,gene,Listeria monocytogenes gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,VO:0002527,NCBI_Gene_ID: 987035; PMID: 12763691,,An actA mutant is attenuated in mice and induced significant protection from challenge with wild type L. monocytogenes
VO:0002528,plcB from Listeria monocytogenes,plcB from Listeria monocytogenes,gene,Listeria monocytogenes gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 987036; PMID: 12763691,,"A plcB mutant, in combination with an actA mutant, is attenuated in mice and induces significant protection from challenge with wild type L. monocytogenes"
VO:0002529,relA from Mycobacterium avium,relA from Mycobacterium avium,gene,Mycobacterium avium gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 2717869; PMID:  21565243,,A M. avium relA mutant is attenuated in calves and goats. This mutant also elicited an immune response in goats that limited colonization by challenge wild type M. avium
VO:0002530,drrC from Mycobacterium tuberculosis,drrC from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 888491; PMID: 14702160,,A drrC mutant is highly attenuated in mice and induces significant protection from challenge with wild type M. tuberculosis
VO:0002531,fadD26 from Mycobacterium tuberculosis,fadD26 from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 887603; PMID: 15958066,,An fadD26 mutant is attenuated in mice and induced significant protection from challenge with wild type M. tuberculosis
VO:0002532,leuD from Mycobacterium tuberculosis,leuD from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 888225; PMID: 10768986,,Deletion of leuD gene was shown to be highly attenuated. Immunocompetent BALB/c mice vaccinated with the DleuD auxotroph were protected as well as BCG in terms of survival following an intravenous or aerosol challenge with virulent M. tuberculosis
VO:0002533,lysA from Mycobacterium tuberculosis,lysA from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 886960; PMID:  21264335,,"A lysA mutant, in combination with a secA2 mutation, is highly attenuated in mice and induced significant protection from challenge with wild type M. tuberculosis"
VO:0002534,mce-2 from Mycobacterium tuberculosis,mce-2 from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 925014; PMID: 16388878,,A Mce-2 mutant in Mycobacterium tuberculosis is attenuated and provides protection against challenge for mice
VO:0002535,mce-3 from Mycobacterium tuberculosis,mce-3 from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 923491; PMID: 16388878,,A mce-3 mutant in Mycobacterium tuberculosis is attenuated and provides protection against challenge for mice
VO:0002536,panC from Mycobacterium tuberculosis,panC from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,VO:0002537,NCBI_Gene_ID: 885459; PMID: 12219086,,A panCD mutant is attenuated in mice and induces significant protection from challenge with wild type M. tuberculosis
VO:0002538,panD from Mycobacterium tuberculosis,panD from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,VO:0002539,NCBI_Gene_ID: 885596; PMID: 12219086,,A panCD mutant is attenuated in mice and induces significant protection from challenge with wild type M. tuberculosis
VO:0002540,phoP from Mycobacterium tuberculosis,phoP from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 888772; PMID: 19367339,,"Study evaluated immunogenicity and protection against Mycobacterium tuberculosis in rhesus monkeys with an attenuated M. tuberculosis with a disrupted phoP gene (SO2) as a single-dose vaccine. SO2 treatment showed reduced average lung bacterial counts (1.0 and 1.2 log respectively, compared with 0.4 log for BCG) and significant protective effect by reduction in C-reactive protein levels, body weight loss, and decrease of erythrocyte-associated hematologic parameters (MCV, MCH, Hb, Ht) as markers of inflammatory infection, all relative to non-vaccinated controls"
VO:0002541,proC from Mycobacterium tuberculosis,proC from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 887256; PMID: 11160012,,A proC mutant is highly attenuated in mice and induces significant protection from challenge with wild type M. tuberculosis that is equal to the protection induced by the current vaccine BCG
VO:0002542,RD1 from Mycobacterium tuberculosis,RD1 from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 885777; PMID: 16860907,,RD1 and panCD mutants in Mycobacterium tuberculosis were attenuated and provided protection in CD4-deficient mice against an aerosol challenge with virulent M. tuberculosis
VO:0002543,secA2 from Mycobacterium tuberculosis,secA2 from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 885594; PMID: 17671656,,Vaccination of mice and guinea pigs with a secA2 mutant significantly increased resistance to M. tuberculosis challenge compared with standard M. bovis bacille Calmette-Guérin vaccination
VO:0002545,sigE from Mycobacterium tuberculosis,sigE from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 888751; PMID:  20457786,,"A sigE mutant is highly attenuated in mice and induced significant protection from challenge with wild type M. tuberculosis, more so than the existing vaccine BCG"
VO:0002546,trpD from Mycobacterium tuberculosis,trpD from Mycobacterium tuberculosis,gene,Mycobacterium tuberculosis gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 887681; PMID:  11160012,,A trpD mutant is highly attenuated in mice and induces more protection from challenge with wild type M. tuberculosis than that induced by the current vaccine BCG
VO:0002547,aroA from Staphylococcus aureus,aroA from Staphylococcus aureus,gene,Staphylococcus aureus gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID:  8614197; PMID: 16714581,,An aroA mutant is attenuated in mice and induced significant protection from challenge with wild type S. aureus
VO:0002548,vicK from Streptococcus equi,vicK from Streptococcus equi,gene,Streptococcus equi gene,,virmugen role,,,,"Rebecca Racz, Yongqun He",,,NCBI_Gene_ID: 6760966; PMID: 19088917,,A vicK mutant is attenuated in mice and induced protection from challenge with wild type S. equi
