ID,LABEL in VO,OMOP concept ID,RxNorm ID,RxNorm OMOP extension ID,RxNorm Preferred Name,RxNorm Synonym,comment,template file name,repeat comment
VO:0003364,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle,44012722,1601236,,Outer Membrane Vesicles (Neisseria Meningitidis Group B Nz98/254 Strain),,RxNorm,vaccine,both in RxNorm and RxNorm extension
VO:0003364,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle,44012722,,OMOP1131632,Outer Membrane Vesicles (Neisseria Meningitidis Group B Nz98/254 Strain),,RxNorm Extension,vaccine,both in RxNorm and RxNorm extension
VO:0003365,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML,45892094,1601400,,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML,,RxNorm,vaccine,
VO:0003367,Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 MG/ML,45775637,1593129,,Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 MG/ML,,RxNorm,vaccine,
VO:0003369,Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 MG/ML,45775638,1593131,,Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 MG/ML,,RxNorm,vaccine,
VO:0003371,"Yellow-Fever Virus Vaccine, 17D-204 strain",532274,804187,,yellow fever virus strain 17D-204 live antigen,,RxNorm,vaccine,
VO:0003372,"Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML",1593652,1876704,,yellow fever virus strain 17D-204 live antigen 2000 UNT/ML,,RxNorm,vaccine,
VO:0003373,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection",1593653,1876705,,0.5 ML yellow fever virus strain 17D-204 live antigen 2000 UNT/ML Injection,yellow fever vaccine (generic for Stamaril) 0.5 ML Injection,RxNorm,vaccine,
VO:0003377,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection [Stamaril]",1593656,1876708,,yellow fever virus strain 17D-204 live antigen Injection [Stamaril],,RxNorm,vaccine,
VO:0003378,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection [Stamaril]",1593658,1876710,,0.5 ML yellow fever virus strain 17D-204 live antigen 2000 UNT/ML Injection [Stamaril],STAMARIL 0.5 ML Injection,RxNorm,vaccine,
VO:0003379,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection",46275267,1658238,,yellow fever virus strain 17D-204 live antigen Injection,,RxNorm,vaccine,
VO:0003380,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injection",46275268,1658239,,0.5 ML yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injection,yellow fever vaccine (generic for YF-Vax) 0.5 ML Injection,RxNorm,vaccine,
VO:0003381,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML",19131659,804188,,yellow fever virus strain 17D-204 live antigen 4000 UNT/ML,,RxNorm,vaccine,
VO:0003382,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injectable Suspension",42800061,1292826,,yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injectable Suspension,yellow fever vaccine (generic for YF-Vax) Injectable Suspension,RxNorm,vaccine,
VO:0003383,"diphtheria toxoid vaccine, inactivated 5 UNT/ML",19132128,806586,,"diphtheria toxoid vaccine, inactivated 5 UNT/ML",,RxNorm,vaccine,
VO:0003384,"tetanus toxoid vaccine, inactivated",529411,798306,,"tetanus toxoid vaccine, inactivated",,RxNorm,vaccine,
VO:0003385,"tetanus toxoid vaccine, inactivated 10 UNT/ML",19130407,798307,,"tetanus toxoid vaccine, inactivated 10 UNT/ML",,RxNorm,vaccine,
VO:0003387,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML",42800471,1300364,,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML",,RxNorm,vaccine,
VO:0003391,"acellular pertussis vaccine, inactivated 0.116 MG/ML",529275,829893,,"acellular pertussis vaccine, inactivated 0.116 MG/ML",,RxNorm,vaccine,
VO:0003395,"diphtheria toxoid vaccine, inactivated 30 UNT/ML",19131876,805373,,"diphtheria toxoid vaccine, inactivated 30 UNT/ML",,RxNorm,vaccine,
VO:0003397,"tetanus toxoid vaccine, inactivated Injectable Solution",40086961,374054,,"tetanus toxoid vaccine, inactivated Injectable Solution",,RxNorm,vaccine,
VO:0003398,"tetanus toxoid vaccine, inactivated Injectable Suspension",40086962,374444,,"tetanus toxoid vaccine, inactivated Injectable Suspension",,RxNorm,vaccine,
VO:0003400,"tetanus toxoid vaccine, inactivated Prefilled Syringe",40149494,792155,,"tetanus toxoid vaccine, inactivated Prefilled Syringe",,RxNorm,vaccine,
VO:0003401,"tetanus toxoid vaccine, inactivated 20 UNT/ML",19131358,801712,,"tetanus toxoid vaccine, inactivated 20 UNT/ML",,RxNorm,vaccine,
VO:0003402,"0.5 ML tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",529656,792156,,"0.5 ML tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",tetanus toxoid vaccine 10 UNT per 0.5 ML Prefilled Syringe,RxNorm,vaccine,
