ID,LABEL,Type,Parent,alternative label,definition,term editor,editor note,example of usage,domain,range,term tracker item
VO:0000531,has vaccine allergen,Object property,,,An object property that specifies a relation between a vaccine and a vaccine allergen,Oliver He,,,,,
VO:0000524,has vaccine antigen,Object property,,,An object property that specifies a vaccine antigen,Asiyah Yu Lin|Oliver He,"This relation only works for those vaccine antigen that is physically part of a vaccine preparation. It does not include those antigens that are not part of vaccine. For example, a protein antigen expressed in a DNA vaccine is not a part of vaccine pe ser. In this case, the vaccine expresses the protein, but the gene is part of the vaccine, not the protein. For the case, we can use the relation 'DNA vaccine expresses protein antigen' under the relation 'expresses'. ",,,,
VO:0000520,has vaccine component,Object property,has component,,An object property that defines a relation between a vaccine and its component,Asiyah Yu Lin|Oliver He,,,vaccine,,
VO:0000270,has vaccine contraindication,Object property,,,A relation that specifies contraindication of a vaccine.,Oliver He,This relation may be replaced by has_vaccine_allergen. We need to determine if any vaccine contraindicator is not a vaccine allergen.,,,,
VO:0000818,has vaccine virmugen,Object property,,,An object property that specifies a relation between a vaccine and a vaccine virmugen. ,Oliver He,"This is a shortcut relation.
Domain: vaccine
Range: a gene

Shortcut:
is_specified_output_of some 
('preparation of gene mutant vaccine' and (has_specified_input some gene))",,,,
VO:0000553,has vaccinee,Object property,,,An object property that specifies a relation between a vaccine and its vaccinee,,,,vaccine,,
VO:0001011,immunizes against disease,Object property,,immunization against disease|vaccine immunization against disease,"A shortcut relation that is equivalent to:
'processed material' and (is_specified_output_of some 'vaccine preparation') and ('has function' some ('vaccine function' and ('is realized by' only ('vaccine immunization' and (realizes some ('vaccine host role' and (role_of some 'organism' and has_disposition some disease)))))))).
The domain of this relation is a vaccine.
The range of this relation is a disease.",Asiyah Yu Lin|Oliver He,,,vaccine,disease,
VO:0003355,immunizes against pathogen,Object property,,immunization against pathogen|vaccine immunization against pathogen|immunizes against microbe,"A shortcut relation that is equivalent to:
processed material and (is_specified_output_of some vaccine preparation) and (has function some (vaccine function and (is realized by only (vaccine immunization and (realizes some ('immunization target role' and (role_of some 'pathogen'))))))))

The domain of this relation is a vaccine.
The range of this relation is a pathogen (a bacterium, a virus, a fungus, and a parasite)
Ranges: organism and 'has role' some 'pathogen role'",Oliver He,,,vaccine,('organism' and 'has role' some 'pathogen role'),https://github.com/vaccineontology/VO/issues/675
VO:0001243,immunizes recipient,Object property,,immunization for host|vaccine immunization for recipient|immunizes host|vaccine immunization for host|immunization for recipient,"A shortcut relation that is equivalent to:
'processed material' and (is_specified_output_of some 'vaccine preparation') and ('has function' some ('vaccine function' and ('is realized by' only ('vaccine immunization' and (realizes some ('vaccine recipient role' and (role_of some 'organism')))))))).
The domain of this relation is a vaccine.
The range of this relation is a organism.",Asiyah Yu Lin|Oliver He|Barry Smith|Jie Zheng|Anna Maria Masci,,,vaccine,('organism' and 'has role' some 'vaccine recipient role'),
VO:0000462,induced by vaccination of,Object property,,,An object property that specifies a process that is induced by vaccination of a vaccine,Oliver He,,,,,
VO:0005312,induces immune profile,Object property,,,An object property that represents a relation between a material entity (such as vaccine or vaccine adjuvant) and an immune profile where the material entity can induce the immune profile in a host.,Oliver He|Amogh Madireddi,,,,,
VO:0000445,infection_of,Object property,,,A relation between a disorder and an infectious pathogen.,Oliver He|Allen Xiang|Melanie Courtot|Bjoern Peters|Alan Ruttenburg,"The relation 'infection_of' is introduced to represent an infection caused by an infectious pathogen. A pathogen infection is a disorder. Since the number of pathogens is large, there are numerous infections. To make the description of a specific infection simple, the shortcut term 'infection_of' is defined: 
infection_of X = infection and has_part some (organism X and has_disposition some infectious disposition)",,,,
VO:0000908,is_distributed_by,Object property,,,"A relation that specifies a company that distributes a product (e.g., vaccine). The company is very likely not the manufacturer of the product.",Oliver He|Allen Xiang,,,,,
VO:0005242,up-expressed as immune signature of,Object property,,,An object property that represents a relation between a material entity and biological process,Anthony Huffman|Oliver He,,,material entity,process,
VO:0000547,vaccinated in route,Object property,,,An object property that specifies a relation between a vaccine and a vaccinate route,,,,vaccine,route of administration,
VO:0005562,vaccine immunity response transferrable to organism,Object property,,,"A relation between a vaccine X and organism Y where the vaccine X generates an immune response in a vaccinated organism and the immune product (e.g., antibody) can be transferred to the organism Y",,,,,,
VO:0000799,vaccine organism has mutation,Object property,,,"An object property that represents a mutational relation between a vaccine organism and another material (e.g., gene or protein). the mutated material initially exists in the original wildtype organism. ",Oliver He,,,,,
VO:0000537,vaccine organism secretes,Object property,,,"An object property that indicates a secretion of a material (e.g., protein) from a vaccine organism.",Oliver He,,,vaccine,,
VO:0015002,has drug brand name,Object property,,,,Jie Zheng,,,,,brand name
VO:0015007,has drug dose form,Object property,,,,Jie Zheng,,,,,drug form
VO:0015018,has drug package,Object property,,,,Jie Zheng,,,,,drug package
VO:0015021,has drug supplier,Object property,,,,Jie Zheng,,,,,organization
VO:0010396,has flu season,Object property,,,,Jie Zheng|Xingxian Li|Ellen Zhang,,,,,flu season
VO:0000350,has vaccine organism with quality,Object property,,,"A shortcut relation that is equivalent to:
('vaccine') and ('has component' some ('vaccine organism' and 'has quality' some 'organismal quality').
The domain of this relation is a vaccine.
The range of this relation is a organismal quality.",Jie Zheng|Oliver He,,,vaccine,organismal quality,
VO:0003390,test in laboratory model,Object property,,,"A shortcut relation that is equivalent to:
('vaccine' and 'has function' some ('vaccine function' and ('is realized by' some ('vaccine immunization' and 'has participant' some ('organism' and 'has role' some 'laboratory animal model role'))))).
The domain of this relation is a vaccine.
The range of this relation is a organism.",Jie Zheng|Oliver He,,,vaccine,organism,
,,,,,,,,,,,
