Num	Order	Ontology ID	LABEL	Vaccine Type	Cancer Type	Parent label	Parent	Gene names	NCBI GeneID	status of vaccine development	immunizes host	definition	PubMed (original)	PubMed	other link	VIOLIN ID	VIOLIN Link	GitHub tracker	NCI link	NCT link	Term editors	JZ notes
10	4	VO:0007009	Nelipepimut-S Plus GM-CSF Vaccine	Multipeptide	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: ERBB2	2064	Clinical trial	Homo sapiens|Mus musculus	"A cancer peptide vaccine comprised of a human leukocyte antigen (HLA) A2/A3 restricted HER2/neu (ERBB2) peptide from the extracellular domain of the HER2 protein (E75 peptide) and combined with the immunoadjuvant granulocyte-macrophage colony-stimulating factor (GM-CSF), with potential immunomodulating and antineoplastic activity. Upon intradermal injection, nelipepimut-S plus GM-CSF vaccine may induce a specific cytotoxic T-lymphocyte (CTL) response against HER2/neu-expressing tumor cell types. HER2/neu, a tumor-associated antigen and a member of the epidermal growth factor receptor family of tyrosine kinases, is overexpressed in various tumor cell types. GM-CSF potentiates the antitumor immune response."	33485895	PubMed:33485895		5363	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5363	https://github.com/vaccineontology/VO/issues/54	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C99228	NCT: https://clinicaltrials.gov/ct2/show/NCT02636582	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
11	32	VO:0007010	Personalized Synthetic Long Peptide Breast Cancer Vaccine	Recombinant vector vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484			Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine consisting of one or more long, synthetic peptides derived from patient-specific breast cancer tumor-associated antigens (TAAs), with potential immunomodulating and antineoplastic activities. Upon intramuscular administration of the personalized synthetic long peptide breast cancer vaccine, the peptides stimulate the host immune system to mount a cytotoxic T-lymphocyte (CTL) response against tumor cells expressing the TAAs, which results in tumor cell lysis."				5348	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5348		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C121947	NCT: https://clinicaltrials.gov/ct2/show/NCT02427581	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
12	36	VO:0007011	pNGVL3-hICD Vaccine	DNA vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: ERBB2	2064	Clinical trial	Homo sapiens|Mus musculus	"A plasmid DNA cancer vaccine encoding the intracellular domain (ICD) of the HER-2/neu proto-oncogene. Upon administration and after cellular uptake by skin or muscle cells, the pNGVL3-hICD vaccine plasmid expresses the HER-2/neu protein, which, after intracellular processing, may elicit both antigen-specific cytotoxic T-lymphocyte (CTL) and humoral immune responses against tumor cells expressing HER-2. The HER-2/neu ICD protein is highly immunogenic and, as a subdominant epitope, may be associated with decreased immune tolerance."				5040	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5040	https://github.com/vaccineontology/VO/issues/122	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C61146	NCT: https://clinicaltrials.gov/ct2/show/NCT05163223	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
13	68	VO:0007012	Recombinant Adenovirus-Cre Recombinase Vaccine	Recombinant vector vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484			Clinical trial	Homo sapiens|Mus musculus		11590241	PubMed:11590241		5530	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5530	https://github.com/vaccineontology/VO/issues/320	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29785		Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
14	74	VO:0007013	Recombinant Anti-WT1 Immunotherapeutic GSK2302024A Vaccine	other	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: WT1	7490	Clinical trial	Homo sapiens|Mus musculus	"An immunotherapeutic composed of the Wilms tumor 1 (WT1) and an as of yet undisclosed adjuvant, with potential antineoplastic activity. Upon administration, the immune system may be stimulated to exert a cytotoxic T-lymphocyte (CTL) response against WT1-expressing tumor cells. The adjuvant stimulates the immune system's response to WT1. WT1, a tumor-associated antigen (TAA) and transcription factor, is overexpressed in a variety of tumor cell types."	30562862	PubMed:30562862		5297	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5297	https://github.com/vaccineontology/VO/issues/326	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C116880	NCT: https://clinicaltrials.gov/ct2/show/NCT01220128	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
15	75	VO:0007014	Recombinant dHER2 Vaccine	Subunit vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: ERBB2	2064	Clinical trial	Homo sapiens	"A cancer vaccine consisting of a truncated recombinant HER2 peptide (dHER2) with potential antineoplastic activity. Upon administration, recombinant dHER2 vaccine may stimulate the host immune response to mount a cytotoxic T-lymphocyte response against tumor cells that overexpress the HER2 protein, resulting in tumor cell lysis. The HER2 protein is a tumor-associated antigen (TAA) that is overexpressed in a variety of cancers. dHER2 includes the extracellular domain (ECD) and a part of the intracellular domain (ICD) of the HER2 protein."	26975189	PubMed:26975189		5241	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5241		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C49177	NCT: https://clinicaltrials.gov/ct2/show/NCT00140738	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
16	89	VO:0007015	Recombinant Human MUC1-Oxidized Polymannose-pulsed Autologous Dendritic Cell Vaccine	Recombinant vector vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: MUC1	4582	Clinical trial	Homo sapiens	"A cancer vaccine containing autologous dendritic cells pulsed with a fusion product of an epitope of human tumor-associated epithelial mucin 1 (MUC1) antigen and the vaccine adjuvant mannan (oxidized mannose), with potential antineoplastic activity. When the modified dendritic cells are returned to the patient, they may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against tumor cells positive for the MUC1 antigen, resulting in tumor cell lysis. Addition of manna in this vaccine, enhances immune recognition. MUC1 antigen, a high-molecular-weight transmembrane glycoprotein, is overexpressed on many tumor cells."	9656453	PubMed:9656453		5077	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5077		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C102782	NCT: https://clinicaltrials.gov/ct2/show/NCT00004156	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
17	91	VO:0007016	Recombinant Modified Vaccinia Ankara-5T4 Vaccine	Recombinant vector vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: TPBG	7162	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine comprised of a recombinant modified vaccinia Ankara (MVA) viral vector encoding the 5T4 fetal oncoprotein (MVA-h5T4). Vaccination with recombinant modified vaccinia Ankara-5T4 vaccine may stimulate the host immune system to mount a humoral and cytotoxic T lymphocyte (CTL) response against tumor cells expressing 5T4 fetal oncoprotein antigen, resulting in tumor cell lysis. The MVA viral vector, derived from the replication-competent strain Ankara, is a highly attentuated, replication-defective vaccinia strain incapable of virion assembly."	18990081	PubMed:18990081		5058	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5058	https://github.com/vaccineontology/VO/issues/337	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C49087	NCT: https://clinicaltrials.gov/ct2/show/NCT00227474	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
18	93	VO:0007017	Recombinant Vaccinia DF3/MUC1 Vaccine	Recombinant vector vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: MUC1|Gene name: KLK3	4582|354	Clinical trial	Homo sapiens|Mus musculus	"A vaccinia virus based vaccine expressing human tumor associated epithelial mucin (DF3 antigen; MUC1). MUC1 antigen, a membrane bound glycoprotein expressed by most glandular and ductal epithelial cells, is overexpressed in various tumors such as breast, prostate, and ovarian cancers. This vaccine could be used in development of immunotherapeutics against cancers expressing MUC1."	9101412	PubMed:9101412		5281	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5281	https://github.com/vaccineontology/VO/issues/338	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2510	NCT: https://clinicaltrials.gov/ct2/show/NCT00071942	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
19	100	VO:0007018	Recombinant Vaccinia-MUC-1 Vaccine	Recombinant vector vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: MUC1	4582	Clinical trial	Homo sapiens|Mus musculus	"A vaccine containing a recombinant vaccinia virus that encodes the gene for human mucin-1, a tumor-associated antigen. Upon administration, recombinant vaccinia-MUC-1 vaccine may elicit a MUC-1-specific cytotoxic T cell response against tumor cells bearing MUC-1."	12898638	PubMed:12898638		5321	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5321	https://github.com/vaccineontology/VO/issues/347	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C2732	NCT: https://clinicaltrials.gov/ct2/show/NCT00071942	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
20	118	VO:0007019	Sialyl Tn-KLH Vaccine	other	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: sialyl-Tn		Clinical trial	Homo sapiens|Mus musculus	"A vaccine containing a pancarcinoma carbohydrate antigen conjugated with keyhole limpet hemocyanin (KLH), with potential antineoplastic activity. Sialylated Tn antigen (sTn) is a monosaccharide glycan usually O-linked to serine or threonine residues of mucins found on most epithelial cancers. Conjugation with KLH, a hapten carrier and an immunostimulant, improves host immune responses. Vaccination with sTn-KLH vaccine may produce antibodies and elicit a cytotoxic T lymphocyte (CTL) response against those tumor cells expressing sTn, resulting in decreased tumor growth."	23983823	PubMed:23983823		5425	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5425	https://github.com/vaccineontology/VO/issues/361	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C1690	NCT: https://clinicaltrials.gov/ct2/show/NCT00003638	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
21	120	VO:0007020	STn-KLH plus Detox Vaccine	Subunit vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: sialyl-Tn		Clinical trial	Homo sapiens|Mus musculus	"A vaccine comprised of a synthetic Sialyl-Tn antigen linked to the protein carrier, keyhole limpet hemocyanin (KLH), administered with immunostimulant, Detox. Vaccination with STn-KLH plus Detox may elicit an IgG-based anti-STn antibody response and ultimately a cytotoxic T-cell response against STn-expressing cancer cells."	7690215	PubMed:7690215		5061	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5061	https://github.com/vaccineontology/VO/issues/363	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2501	NCT: https://clinicaltrials.gov/ct2/show/NCT00003638	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
22	128	VO:0007021	Synthetic Breast Cancer Peptides-Tetanus Toxoid-Montanide ISA-51 Vaccine	Multipeptide vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484	Gene name: RHD	6007	Clinical trial	Homo sapiens	"A cancer vaccine comprised of multiple synthetic breast cancer peptides and the adjuvant tetanus toxoid helper peptide emulsified in the adjuvant Montanide ISA-51 with immunopotentiation activity. Vaccination with this cancer vaccine may elicit a specific cytotoxic T-lymphocyte response against breast cancer cells. Synthetic breast cancer peptides may stimulate the immune response against cells that produce breast cancer markers such as erbB2 (HER2/neu) while tetanus toxoid helper peptide binds to class II MHC molecules as a nonspecific vaccine helper epitope, resulting in a long-term immunopotentiation by increasing the helper T-cell response. Montanide ISA-51, also known as incomplete Freund's adjuvant or IFA, is a stabilized water-in-oil emulsion adjuvant containing mineral oil with mannide oleate added as a surfactant that non-specifically stimulates cell-mediated immune responses to antigens."				5271	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5271		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C61076	NCT: https://clinicaltrials.gov/ct2/show/NCT00304096	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
23	145	VO:0007022	Tn(c)-KLH Conjugate Vaccine	Conjugate vaccine	Breast Cancer	Breast Cancer Vaccine	VO:0005484			Clinical trial	Homo sapiens	"A vaccine containing a clustered pancarcinoma carbohydrate antigen conjugated with keyhole limpet hemocyanin (KLH) with potential antineoplastic activity. Alpha-N-acetylgalactosamine (Tn) is a monosaccharide usually O-linked to serine or threonine residues of mucins found on most epithelial cancers with the highest expression on prostate cancer. This vaccine contains the Tn epitope cluster (c) that is synthesized by linking 3 copies of the Tn epitope on a threonine backbone to achieve the essential immunogenic structure. KLH is a hapten carrier and serves as an immunostimulant to improve immune recognition. Vaccination with Tn(c)-KLH vaccine may produce antibodies and elicit a cytotoxic T lymphocyte (CTL) response against those tumor cells expressing Tn antigen, resulting in decreased tumor growth."	9579798	PubMed:9579798		5025	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5025		NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2474	NCT: https://clinicaltrials.gov/ct2/show/NCT00030823	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
24	3	VO:0007023	Natural Killer Cells ZRx101 vaccine	other	Leukemia Cancer;Lymphoma Cancer	cancer vaccine	VO:0000177	Gene name: IL12	107653060	Clinical trial	Homo sapiens	"A population of activated, immortalized, interleukin-2 (IL-2)-dependent, cytotoxic natural killer (NK) cells with potential antitumor activity. Natural killer cells ZRx101 are derived from NK-92 cells, having been modified to target tumor-associated antigens (TAAs) upregulated in certain types of cancer. The NK-92 cell line was originally isolated from a patient with large granular lymphocytic (LGL) leukemia/lymphoma. (NCIT_C85466)."	18425107	PubMed:18425107		5026	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5026	https://github.com/vaccineontology/VO/issues/50	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C85466	NCT: https://clinicaltrials.gov/ct2/show/NCT00900809	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
25	5	VO:0007024	NY-ESO-1 peptide vaccine	Peptide	Various	cancer vaccine	VO:0000177	Gene name: CTAG1B	1485	Clinical trial	Homo sapiens|Mus musculus	"A cancer vaccine consisting of an immunogenic peptide derived from the cancer-testis antigen (NY-ESO-1), an antigen found in normal testis and various tumors. Vaccination with NY-ESO-1 peptide vaccine may stimulate the host immune system to mount a humoral and cytotoxic T lymphocyte (CTL) response to cells expressing NY-ESO-1 antigen, resulting in tumor cell lysis."	24397899	PubMed:24397899		5206	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5206	https://github.com/vaccineontology/VO/issues/55	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C2657	NCT: https://clinicaltrials.gov/ct2/show/NCT05479045	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
26	6	VO:0007025	NY-ESO-1 plasmid DNA cancer vaccine	DNA vaccine	Various	cancer vaccine	VO:0000177	Gene name: CTAG1B	1485	Clinical trial	Homo sapiens|Mus musculus	"A plasmid DNA encoding an immunogenic peptide derived from the cancer-testis antigen NY-ESO-1 with potential immunostimulating and antitumor activities. Upon administration, NY-ESO-1 plasmid DNA cancer vaccine may stimulate the host immune system to mount a cytotoxic T lymphocyte (CTL) response against tumor cells expressing the NY-ESO-1 antigen, resulting in tumor cell lysis. NY-ESO-1 is a tumor associated antigen (TAA) found in normal testes and expressed on the surfaces of various tumor cells, including melanoma, breast, bladder, prostate, lung, ovarian, and hepatocellular tumor cells."	15102697;21900253	PubMed:15102697|PubMed:21900253		5283	VIOLIN: https://violinet.org/canvaxkb/vaccine_detail.php?c_vaccine_id=5283	https://github.com/vaccineontology/VO/issues/58|https://github.com/vaccineontology/VO/issues/56	NCI: https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C62452	NCT: https://clinicaltrials.gov/ct2/show/NCT00199849	Virginia He|Jimmy Guo|Jie Zheng|Oliver He	
