[class]	label	factory
<http://purl.obolibrary.org/obo/VO_0000160>	Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000348>	Influenza A (H1N1) 2009 Monovalent Vaccine (CSL Limited)	CSL Limited
<http://purl.obolibrary.org/obo/VO_0000349>	Influenza A (H1N1) 2009 Monovalent Vaccine ( MedImmune LLC)	MedImmune Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0000410>	Pandemrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000418>	Menactra injection 0.5mL vial	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000424>	polyvalent pneumococcal vaccine	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000433>	vaccinia virus vaccine	Acambis, Inc
<http://purl.obolibrary.org/obo/VO_0000847>	Plague vaccine USP	Cutter Biological
<http://purl.obolibrary.org/obo/VO_0000866>	Fluviral S/F	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000867>	Influvac	Solvay Pharmaceuticals
<http://purl.obolibrary.org/obo/VO_0000868>	Vaxigrip	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000882>	single-dose Vaxigrip	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000883>	multi-dose Vaxigrip	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000978>	Flublok	Protein Sciences Corporation
<http://purl.obolibrary.org/obo/VO_0000980>	Flucelvax	Seqirus, Inc.
<http://purl.obolibrary.org/obo/VO_0000982>	FluMist Quadrivalent	MedImmune Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0000983>	Fluarix Quadrivalent	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000984>	Tetanus Toxoid (for Boost use Only) by Sanofi Pasteur Inc	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0001013>	Morupar	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0001126>	Agriflu	Novartis
<http://purl.obolibrary.org/obo/VO_0001244>	Prevnar 13	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0001244>	Prevnar 13	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001246>	Menveo	Novartis
<http://purl.obolibrary.org/obo/VO_0001817>	Afluria Quadrivalent	CSL Limited
<http://purl.obolibrary.org/obo/VO_0002499>	Influenza A (H1N1) 2009 Monovalent Vaccine (IDB)	ID Biomedical Corporation of Quebec
<http://purl.obolibrary.org/obo/VO_0003066>	Bexsero	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0003067>	Flublok Quadrivalent	Protein Sciences Corporation
<http://purl.obolibrary.org/obo/VO_0003070>	Flucelvax Quadrivalent	CSL Limited
<http://purl.obolibrary.org/obo/VO_0003071>	FluLaval Quadrivalent	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003072>	FluLaval Tetra	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003073>	Fluzone Quadrivalent	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003074>	Fluzone Quadrivalent - Southern Hemisphere Formulation	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003075>	Gardasil 9	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003081>	Trumenba	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0003082>	Vaxchora	PaxVax, Inc.
<http://purl.obolibrary.org/obo/VO_0003083>	Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted by GSK	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003084>	Influenza A (H1N1) 2009 Monovalent Vaccine (GlaxoSmithKline)	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003085>	Adacel-Polio	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003088>	Boostrix-Polio	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003090>	Tri-Immunol	Lederle Laboratories Division
<http://purl.obolibrary.org/obo/VO_0003092>	Orimune vaccine	Lederle Laboratories Division
<http://purl.obolibrary.org/obo/VO_0003096>	Ditanrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003097>	Rotashield vaccine	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0003098>	Moraten vaccine	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003100>	Tevax vaccine	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003101>	Cholera Vaccine, USP	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0003102>	Hexavax	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003102>	Hexavax	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0003103>	Rabipur vaccine	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0003105>	Lymerix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003107>	Rabivac	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003110>	Rabie-Vax	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003111>	Mumpsvax II	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003112>	Rudivax	Sanofi Pasteur, SA
<http://purl.obolibrary.org/obo/VO_0003113>	Tetracoq	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003114>	Trihibit	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003115>	Optaflu	Seqirus, Inc.
<http://purl.obolibrary.org/obo/VO_0003116>	TD-Rix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003117>	Virivac	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003119>	Hib-Imune	Lederle Laboratories Division
<http://purl.obolibrary.org/obo/VO_0003121>	OmniHIB	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003136>	YF 17DD-YFV	Bio-Manguinhos
<http://purl.obolibrary.org/obo/VO_0003138>	ACWY Vax	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003139>	Stamaril	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003144>	Imuvac	Mylan Products Limited
<http://purl.obolibrary.org/obo/VO_0003152>	HEPLISAV-B	Dynavax Technologies Corporation
<http://purl.obolibrary.org/obo/VO_0003165>	J-Vax	Connaught Laboratories, Inc.
<http://purl.obolibrary.org/obo/VO_0003170>	Imovax ID	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003171>	MR-VAX II	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003173>	Tritanrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003174>	DTP-ActHIB	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003175>	Adenovirus Type 4	Seqirus, Inc.
<http://purl.obolibrary.org/obo/VO_0003176>	Adenovirus Type 7	Seqirus, Inc.
<http://purl.obolibrary.org/obo/VO_0003177>	Diphtheria-Tetanus-Pertussis-Poliovirus-ACT-Hib vaccine	Connaught Laboratories, Inc.
<http://purl.obolibrary.org/obo/VO_0003178>	Quatro Virelon	Chiron Behring Vaccines Private Ltd
<http://purl.obolibrary.org/obo/VO_0003191>	Pneumococcal vaccine foreign to USA	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003216>	Fluvax	CSL Limited
<http://purl.obolibrary.org/obo/VO_0003228>	1 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003231>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Heplisav-B]	Dynavax Technologies Corporation
<http://purl.obolibrary.org/obo/VO_0003236>	Hepatyrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003237>	Hepatitis B Surface Antigen Vaccine 0.01 MG/ML [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003238>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003239>	1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003240>	BCG Vaccine (by Organon Teknika)	Organon Teknika Corp LLC
<http://purl.obolibrary.org/obo/VO_0003241>	1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003242>	Hepatitis B Surface Antigen Vaccine Injection [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003243>	Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003244>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003245>	Recombivax Injectable Product	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003251>	Flu-Imune	Lederle Laboratories Division
<http://purl.obolibrary.org/obo/VO_0003258>	Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Engerix-B]	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003261>	QIV Dresden	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003263>	Hepatitis B Surface Antigen Vaccine 0.02 MG/ML [Engerix-B]	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003264>	1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B]	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003265>	1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B]	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003266>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B]	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003267>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B]	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003268>	Infanrix Quinta	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003270>	Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B]	Dynavax Technologies Corporation
<http://purl.obolibrary.org/obo/VO_0003271>	Infanrix Penta	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003281>	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection [Zostavax]	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003282>	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML [Zostavax]	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003283>	0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax]	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003316>	Menitorix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003317>	Shingrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003353>	Vivotif	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0003354>	Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule [Vivotif]	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0003356>	Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule [Vivotif]	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0003357>	Vivotif Oral Product	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0003358>	Vivotif Pill	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0003359>	meningococcal group B vaccine Prefilled Syringe [Bexsero]	Novartis Vaccines and Diagnostics
<http://purl.obolibrary.org/obo/VO_0003376>	Stamaril Injectable Product	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003377>	Yellow-Fever Virus Vaccine, 17D-204 strain Injection [Stamaril]	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003378>	0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection [Stamaril]	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0003393>	TIV Dresden	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003394>	QIV Quebec	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003428>	Typhoid Vaccine Live Ty21a 2000000000 UNT [Vivotif]	Berna Biotech, Ltd
<http://purl.obolibrary.org/obo/VO_0003439>	Fluzone Intradermal	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003440>	Fluzone Intradermal Trivalent	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003442>	Acel-Imune	Lederle Laboratories Division
<http://purl.obolibrary.org/obo/VO_0003451>	Twinrix Injectable Product	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0003458>	1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003459>	Hepatitis A Vaccine, Inactivated 50 UNT/ML [Vaqta]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003460>	0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003461>	0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003462>	Vaqta Injectable Product	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003463>	1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003465>	Hepatitis A Vaccine, Inactivated Prefilled Syringe [Vaqta]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003466>	Hepatitis A Vaccine, Inactivated Injection [Vaqta]	Merck Frosst
<http://purl.obolibrary.org/obo/VO_0003559>	Prevnar 13 vaccine 0.5 ML Prefilled Syringe	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003559>	Prevnar 13 vaccine 0.5 ML Prefilled Syringe	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0003563>	Pneumovax 23 Injectable Product	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003563>	Pneumovax 23 Injectable Product	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003564>	Pneumovax 23 Injection	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003564>	Pneumovax 23 Injection	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003565>	PNEUMOVAX 23 0.5 ML Injection	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003565>	PNEUMOVAX 23 0.5 ML Injection	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003566>	PNEUMOVAX 23 vaccine Injectable Solution	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003566>	PNEUMOVAX 23 vaccine Injectable Solution	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003567>	PNEUMOVAX 23 vaccine Prefilled Syringe	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003567>	PNEUMOVAX 23 vaccine Prefilled Syringe	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003568>	PNEUMOVAX 23 vaccine 0.5 ML Prefilled Syringe	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003568>	PNEUMOVAX 23 vaccine 0.5 ML Prefilled Syringe	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003569>	Prevnar 13 Injectable Product	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003569>	Prevnar 13 Injectable Product	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0003570>	Prevnar 13 vaccine Prefilled Syringe	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003570>	Prevnar 13 vaccine Prefilled Syringe	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0003572>	ProQuad Injectable Product	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003573>	ProQuad vaccine Injection	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003574>	ProQuad vaccine 0.5 ML Injection	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003575>	pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 14 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 15B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 17F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 18C vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 2 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 20 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 22F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 23F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 3 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 33F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 4 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 5 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 6B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 7F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 8 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9N vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9V vaccine 0.05 MG/ML [Pneumovax 23]	Merck & Co., Inc.
<http://purl.obolibrary.org/obo/VO_0003575>	pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 14 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 15B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 17F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 18C vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 2 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 20 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 22F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 23F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 3 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 33F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 4 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 5 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 6B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 7F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 8 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9N vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9V vaccine 0.05 MG/ML [Pneumovax 23]	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0003576>	Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML [Prevnar 13]	Sanofi Pasteur Limited
