[class]	label
<http://purl.obolibrary.org/obo/VO_0003144>	Imuvac
<http://purl.obolibrary.org/obo/VO_0003152>	HEPLISAV-B
<http://purl.obolibrary.org/obo/VO_0003165>	J-Vax
<http://purl.obolibrary.org/obo/VO_0003167>	Oral Poliovirus vaccine
<http://purl.obolibrary.org/obo/VO_0003168>	Diphtheria-Tetanus-Acellular Pertussis-Haemophilus b vaccine
<http://purl.obolibrary.org/obo/VO_0003169>	Diphtheria-Tetanus-Whole Cell Pertussis-Haemophilus b vaccine
<http://purl.obolibrary.org/obo/VO_0003170>	Imovax ID
<http://purl.obolibrary.org/obo/VO_0003171>	MR-VAX II
<http://purl.obolibrary.org/obo/VO_0003173>	Tritanrix
<http://purl.obolibrary.org/obo/VO_0003174>	DTP-ActHIB
<http://purl.obolibrary.org/obo/VO_0003175>	Adenovirus Type 4
<http://purl.obolibrary.org/obo/VO_0003176>	Adenovirus Type 7
<http://purl.obolibrary.org/obo/VO_0003177>	Diphtheria-Tetanus-Pertussis-Poliovirus-ACT-Hib vaccine
<http://purl.obolibrary.org/obo/VO_0003178>	Quatro Virelon
<http://purl.obolibrary.org/obo/VO_0003180>	TDAP
<http://purl.obolibrary.org/obo/VO_0003185>	HIB Polysaccharide foreign to USA
<http://purl.obolibrary.org/obo/VO_0003191>	Pneumococcal vaccine foreign to USA
<http://purl.obolibrary.org/obo/VO_0003192>	Meningococcal Conjugate and Haemophilis B Vaccine
<http://purl.obolibrary.org/obo/VO_0003193>	Meningococcal Conjugate and Haemophilis B Vaccine foreign to USA
<http://purl.obolibrary.org/obo/VO_0003194>	Spring Summer Encephalitis Vaccine
<http://purl.obolibrary.org/obo/VO_0003195>	Acetone-Dried Typhoid Vi Polysaccharide vaccine
<http://purl.obolibrary.org/obo/VO_0003197>	Hepatitis A virus-Typhoid vaccine foreign to USA
<http://purl.obolibrary.org/obo/VO_0003211>	H1N1 Influenza Monovalent Vaccine
<http://purl.obolibrary.org/obo/VO_0003213>	Diphtheria Toxoid-Pertussis-Poliovirus vaccine
<http://purl.obolibrary.org/obo/VO_0003214>	Diphtheria-Tetanus-Poliovirus-Haemophilus B-Hepatitis B vaccine
<http://purl.obolibrary.org/obo/VO_0003216>	Fluvax
<http://purl.obolibrary.org/obo/VO_0003228>	1 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003231>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Heplisav-B]
<http://purl.obolibrary.org/obo/VO_0003236>	Hepatyrix
<http://purl.obolibrary.org/obo/VO_0003237>	Hepatitis B Surface Antigen Vaccine 0.01 MG/ML [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003238>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003239>	1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003240>	BCG Vaccine (by Organon Teknika)
<http://purl.obolibrary.org/obo/VO_0003241>	1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003242>	Hepatitis B Surface Antigen Vaccine Injection [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003243>	Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003244>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe [Recombivax]
<http://purl.obolibrary.org/obo/VO_0003245>	Recombivax Injectable Product
<http://purl.obolibrary.org/obo/VO_0003251>	Flu-Imune
<http://purl.obolibrary.org/obo/VO_0003258>	Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Engerix-B]
<http://purl.obolibrary.org/obo/VO_0003261>	QIV Dresden
<http://purl.obolibrary.org/obo/VO_0003263>	Hepatitis B Surface Antigen Vaccine 0.02 MG/ML [Engerix-B]
<http://purl.obolibrary.org/obo/VO_0003264>	1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B]
<http://purl.obolibrary.org/obo/VO_0003265>	1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B]
<http://purl.obolibrary.org/obo/VO_0003266>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B]
<http://purl.obolibrary.org/obo/VO_0003267>	0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B]
<http://purl.obolibrary.org/obo/VO_0003268>	Infanrix Quinta
<http://purl.obolibrary.org/obo/VO_0003270>	Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B]
<http://purl.obolibrary.org/obo/VO_0003271>	Infanrix Penta
<http://purl.obolibrary.org/obo/VO_0003281>	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection [Zostavax]
<http://purl.obolibrary.org/obo/VO_0003282>	Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML [Zostavax]
<http://purl.obolibrary.org/obo/VO_0003283>	0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax]
<http://purl.obolibrary.org/obo/VO_0003316>	Menitorix
<http://purl.obolibrary.org/obo/VO_0003317>	Shingrix
<http://purl.obolibrary.org/obo/VO_0003318>	TDAP/IPV vaccine foreign to USA
<http://purl.obolibrary.org/obo/VO_0003353>	Vivotif
<http://purl.obolibrary.org/obo/VO_0003354>	Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule [Vivotif]
<http://purl.obolibrary.org/obo/VO_0003356>	Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule [Vivotif]
<http://purl.obolibrary.org/obo/VO_0003357>	Vivotif Oral Product
<http://purl.obolibrary.org/obo/VO_0003358>	Vivotif Pill
<http://purl.obolibrary.org/obo/VO_0003359>	meningococcal group B vaccine Prefilled Syringe [Bexsero]
<http://purl.obolibrary.org/obo/VO_0003376>	Stamaril Injectable Product
<http://purl.obolibrary.org/obo/VO_0003377>	Yellow-Fever Virus Vaccine, 17D-204 strain Injection [Stamaril]
<http://purl.obolibrary.org/obo/VO_0003378>	0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection [Stamaril]
<http://purl.obolibrary.org/obo/VO_0003393>	TIV Dresden
<http://purl.obolibrary.org/obo/VO_0003394>	QIV Quebec
<http://purl.obolibrary.org/obo/VO_0003428>	Typhoid Vaccine Live Ty21a 2000000000 UNT [Vivotif]
<http://purl.obolibrary.org/obo/VO_0003439>	Fluzone Intradermal
<http://purl.obolibrary.org/obo/VO_0003440>	Fluzone Intradermal Trivalent
<http://purl.obolibrary.org/obo/VO_0003442>	Acel-Imune
<http://purl.obolibrary.org/obo/VO_0003451>	Twinrix Injectable Product
<http://purl.obolibrary.org/obo/VO_0003458>	1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]
<http://purl.obolibrary.org/obo/VO_0003459>	Hepatitis A Vaccine, Inactivated 50 UNT/ML [Vaqta]
<http://purl.obolibrary.org/obo/VO_0003460>	0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]
<http://purl.obolibrary.org/obo/VO_0003461>	0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]
<http://purl.obolibrary.org/obo/VO_0003462>	Vaqta Injectable Product
<http://purl.obolibrary.org/obo/VO_0003463>	1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]
<http://purl.obolibrary.org/obo/VO_0003465>	Hepatitis A Vaccine, Inactivated Prefilled Syringe [Vaqta]
<http://purl.obolibrary.org/obo/VO_0003466>	Hepatitis A Vaccine, Inactivated Injection [Vaqta]
<http://purl.obolibrary.org/obo/VO_0003559>	Prevnar 13 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003563>	Pneumovax 23 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003564>	Pneumovax 23 Injection
<http://purl.obolibrary.org/obo/VO_0003565>	PNEUMOVAX 23 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003566>	PNEUMOVAX 23 vaccine Injectable Solution
<http://purl.obolibrary.org/obo/VO_0003567>	PNEUMOVAX 23 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003568>	PNEUMOVAX 23 vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003569>	Prevnar 13 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003570>	Prevnar 13 vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003572>	ProQuad Injectable Product
<http://purl.obolibrary.org/obo/VO_0003573>	ProQuad vaccine Injection
<http://purl.obolibrary.org/obo/VO_0003574>	ProQuad vaccine 0.5 ML Injection
<http://purl.obolibrary.org/obo/VO_0003575>	pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 14 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 15B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 17F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 18C vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 19F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 2 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 20 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 22F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 23F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 3 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 33F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 4 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 5 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 6B vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 7F vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 8 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9N vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 9V vaccine 0.05 MG/ML [Pneumovax 23]
<http://purl.obolibrary.org/obo/VO_0003576>	Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML [Prevnar 13]
<http://purl.obolibrary.org/obo/VO_0003577>	Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 20000 UNT/ML [ProQuad]
<http://purl.obolibrary.org/obo/VO_0003578>	influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003579>	Fluzone Quadrivalent 2013-2014 Formula
<http://purl.obolibrary.org/obo/VO_0003580>	influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.12 MG/ML [Fluzone 2015-2016]
<http://purl.obolibrary.org/obo/VO_0003581>	Fluzone 2015-2016 High-Dose vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003582>	Fluzone 2015-2016 High-Dose vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003583>	Fluzone 2015-2016 vaccine Injectable Suspension
<http://purl.obolibrary.org/obo/VO_0003584>	Fluzone 2016-2017
<http://purl.obolibrary.org/obo/VO_0003585>	influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.12 MG/ML [Fluzone 2016-2017]
<http://purl.obolibrary.org/obo/VO_0003586>	Fluzone 2016-2017 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003587>	Fluzone 2016-2017 High-Dose vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003588>	Fluzone 2016-2017 High-Dose vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003589>	Fluzone 2017-2018
<http://purl.obolibrary.org/obo/VO_0003590>	Fluzone 2017-2018 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003591>	influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.12 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.12 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.12 MG/ML [Fluzone 2017-2018]
<http://purl.obolibrary.org/obo/VO_0003592>	Fluzone 2017-2018 high-dose vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003593>	Fluzone 2017-2018 high-dose vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003594>	Fluzone 2018-2019
<http://purl.obolibrary.org/obo/VO_0003595>	Fluzone 2018-2019 Injectable Product
<http://purl.obolibrary.org/obo/VO_0003596>	influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.12 MG/ML [Fluzone 2018-2019]
<http://purl.obolibrary.org/obo/VO_0003597>	Fluzone 2018-2019 high-dose vaccine Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003598>	Fluzone 2018-2019 high-dose vaccine 0.5 ML Prefilled Syringe
<http://purl.obolibrary.org/obo/VO_0003607>	Fluzone Quadrivalent 2013-2014 Formula Injectable Product
