[class]	label	factory
<http://purl.obolibrary.org/obo/VO_0000346>	pWRG7077 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000348>	Influenza A (H1N1) 2009 Monovalent Vaccine (CSL Limited)	CSL Limited
<http://purl.obolibrary.org/obo/VO_0000349>	Influenza A (H1N1) 2009 Monovalent Vaccine ( MedImmune LLC)	MedImmune Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0000350>	Arepanrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000352>	Megan Egg	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0000353>	pWRM DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000355>	pzz DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000356>	pME18100 DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000360>	pcDNA1.1/Amp DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0000410>	Pandemrix	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000414>	Panvax	CSL Limited
<http://purl.obolibrary.org/obo/VO_0000418>	Menactra injection 0.5mL vial	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0000424>	polyvalent pneumococcal vaccine	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000433>	vaccinia virus vaccine	Acambis, Inc
<http://purl.obolibrary.org/obo/VO_0000835>	Epm vaccine	Fort Dodge
<http://purl.obolibrary.org/obo/VO_0000838>	Ovilis Enzovax	Intervet
<http://purl.obolibrary.org/obo/VO_0000844>	Art Vax	Schering-Plough Animal Health
<http://purl.obolibrary.org/obo/VO_0000847>	Plague vaccine USP	Cutter Biological
<http://purl.obolibrary.org/obo/VO_0000849>	Improvac	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0000852>	Periovac	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0000863>	Pirodog	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0000866>	Fluviral S/F	GlaxoSmithKline plc
<http://purl.obolibrary.org/obo/VO_0000868>	Vaxigrip	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000870>	Babesia bigemina vaccine by local veterinary institutes	Local veterinary institutes
<http://purl.obolibrary.org/obo/VO_0000871>	Purevax Feline Rabies	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0000881>	Equity	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0000883>	multi-dose Vaxigrip	Sanofi Pasteur Limited
<http://purl.obolibrary.org/obo/VO_0000889>	PleuroStar APP	Novartis Animal Health
<http://purl.obolibrary.org/obo/VO_0000898>	Theileria annulata vaccine by local veterinary institutes	Local veterinary institutes
<http://purl.obolibrary.org/obo/VO_0000928>	Raboral	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0000941>	Apex-IHN	Novartis
<http://purl.obolibrary.org/obo/VO_0000951>	Bayovac CSF E2	Bayer Leverkusen
<http://purl.obolibrary.org/obo/VO_0000969>	nkCMVint DNA vaccine plasmid	Vical, Inc.
<http://purl.obolibrary.org/obo/VO_0000978>	Flublok	Protein Sciences Corporation
<http://purl.obolibrary.org/obo/VO_0000980>	Flucelvax	Seqirus, Inc.
<http://purl.obolibrary.org/obo/VO_0000982>	FluMist Quadrivalent	MedImmune Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0000984>	Tetanus Toxoid (for Boost use Only) by Sanofi Pasteur Inc	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0001004>	pcDNA3.1/V5-His DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0001005>	pSecTag2 C DNA vaccine plasmid	Invitrogen
<http://purl.obolibrary.org/obo/VO_0001007>	pBC12/CMV/IL-2 DNA vaccine plasmid	Vical, Inc.
<http://purl.obolibrary.org/obo/VO_0001008>	Giardiavax	Fort Dodge
<http://purl.obolibrary.org/obo/VO_0001013>	Morupar	Sanofi Pasteur, Inc
<http://purl.obolibrary.org/obo/VO_0001016>	Vectormune FP-ND	Biomune
<http://purl.obolibrary.org/obo/VO_0001026>	AquaVac Furuvac	Schering-Plough Animal Health
<http://purl.obolibrary.org/obo/VO_0001049>	Vaxsafe MS	Bioproperties
<http://purl.obolibrary.org/obo/VO_0001053>	Nobivac Piro	Intervet
<http://purl.obolibrary.org/obo/VO_0001071>	AquaVac Vibrio	Schering-Plough Animal Health
<http://purl.obolibrary.org/obo/VO_0001096>	Ovastim	Virbac
<http://purl.obolibrary.org/obo/VO_0001097>	RECOMBITEK rDistemper	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001113>	CoxAbic	Novartis Animal Health
<http://purl.obolibrary.org/obo/VO_0001120>	Bovilis Neoguard	Intervet
<http://purl.obolibrary.org/obo/VO_0001123>	RECOMBITEK Canine Parvo	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001138>	Ovilis Toxovax	Intervet
<http://purl.obolibrary.org/obo/VO_0001140>	West Nile-Innovator DNA	Fort Dodge
<http://purl.obolibrary.org/obo/VO_0001153>	Androvax	Intervet
<http://purl.obolibrary.org/obo/VO_0001159>	PUREVAX Ferret Distemper	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001181>	Vaxsafe MG	Bioproperties
<http://purl.obolibrary.org/obo/VO_0001185>	Inovocox	Embrex
<http://purl.obolibrary.org/obo/VO_0001201>	Enterisol Ileitis	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001215>	Vaxstrate	Websters Animal Health
<http://purl.obolibrary.org/obo/VO_0001246>	Menveo	Novartis
<http://purl.obolibrary.org/obo/VO_0001530>	Canary Pox Modified Live Virus Vaccine (USDA: 1623.10)	Biomune
<http://purl.obolibrary.org/obo/VO_0001533>	Pigeon Pox Live Virus Vaccine (USDA: 1881.14)	Intervet
<http://purl.obolibrary.org/obo/VO_0001534>	Quail Pox Live Virus Vaccine (USDA: 18E1.10)	Biomune
<http://purl.obolibrary.org/obo/VO_0001535>	Fox Encephalitis Killed Virus Vaccine (USDA: 1635.20)	United Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0001538>	Mink Distemper Modified Live Virus Vaccine (USDA: 1451.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001539>	Mink Enteritis Vaccine	United Vaccines, Inc
<http://purl.obolibrary.org/obo/VO_0001540>	Feline calicivirus Killed Virus Vaccine (USDA: 15C5.21)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001542>	Feline immunodeficiency virus Killed Virus Vaccine (USDA: 15A5.21)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001543>	Feline immunodeficiency virus Killed Virus Vaccine (USDA: 15A5.23)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001544>	Feline Infectious Peritonitis Modified Live Virus Vaccine (USDA: 15A1.20)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001545>	Feline Leukemia Killed Virus Vaccine (USDA: 1555.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001550>	Feline Panleukopenia Killed Virus Vaccine (USDA: 1565.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001554>	Feline Panleukopenia Modified Live Virus Vaccine (USDA: 1561.23)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001557>	Anthrax Spore live culture Vaccine (USDA: 1011.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001559>	Bovine Respiratory Syncytial Virus Killed Virus Vaccine (USDA: 1095.21)	Boehringer-Ingelheim Vetmedica, Inc
<http://purl.obolibrary.org/obo/VO_0001565>	Bovine Rhinotracheitis Modified Live Virus Vaccine (USDA: 1101.22)	Intervet
<http://purl.obolibrary.org/obo/VO_0001567>	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.00)	Heska Corporation
<http://purl.obolibrary.org/obo/VO_0001570>	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.22)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001571>	Bovine Virus Diarrhea Killed Virus Vaccine (USDA: 1205.25)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001574>	Bovine Virus Diarrhea Modified Live Virus Vaccine (USDA: 1201.22)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001575>	Brucella Abortus Strain 19, Live Culture Vaccine (USDA: 1251.01)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001577>	Brucella Abortus Strain RB-51, Live Culture Vaccine (USDA: 1261.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001578>	Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1841.00)	Colorado Serum Company CZ Veterinaria
<http://purl.obolibrary.org/obo/VO_0001582>	Salmonella Dublin Live Culture Vaccine (USDA: 19D1.R0)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001583>	Trichomonas Foetus Killed Protozoa Vaccine (USDA: 1859.00)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001585>	Avian Encephalomyelitis Killed Virus Vaccine (USDA: 1015.I0)	SolidTech Animal Health, Inc
<http://purl.obolibrary.org/obo/VO_0001588>	Avian Encephalomyelitis Live Virus Vaccine (USDA: 1051.12)	Intervet
<http://purl.obolibrary.org/obo/VO_0001589>	Avian Influenza  H10N9 Subtype, Killed Virus Vaccine (USDA: 1057.H0)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001592>	Avian Influenza  H4N6 Subtype, Killed Virus Vaccine (USDA: 1057.H4)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001595>	Avian Influenza  H6N8 Subtype, Killed Virus Vaccine (USDA: 1057.H6)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001597>	Avian Influenza  H7N3 Subtype, Killed Virus Vaccine (USDA: 1057.H7)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001598>	Avian Influenza  H7N3 Subtype, Killed Virus Vaccine (USDA: 10F5.13)	Biomune
<http://purl.obolibrary.org/obo/VO_0001599>	Avian Influenza H1N1 Subtype, Killed Virus Vaccine (USDA: 1057.H1)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001600>	Avian Influenza H5N2 Subtype, Killed Virus Vaccine (USDA: 10F5.10)	Biomune
<http://purl.obolibrary.org/obo/VO_0001609>	Avian Reovirus Killed Virus Vaccine (USDA: 1045.30)	Biomune
<http://purl.obolibrary.org/obo/VO_0001611>	Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.1M)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001614>	Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.22)	Intervet
<http://purl.obolibrary.org/obo/VO_0001622>	Bronchitis Mass & Conn Types, Live Virus Vaccine (USDA: 1231.1G)	Intervet
<http://purl.obolibrary.org/obo/VO_0001623>	Bronchitis Mass & Conn Types, Live Virus Vaccine (USDA:1231.1N)	Intervet
<http://purl.obolibrary.org/obo/VO_0001626>	Bronchitis Mass Type, Live Virus Vaccine (USDA: 1231.1A)	Intervet
<http://purl.obolibrary.org/obo/VO_0001627>	Bronchitis Mass Type, Live Virus Vaccine (USDA: 1231.1F)	Intervet
<http://purl.obolibrary.org/obo/VO_0001629>	Bronchitis Mass Type, Live Virus Vaccine (USDA: 1232.15)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001630>	Bronchitis Mass Type, Live Virus Vaccine (USDA: 1233.10)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001632>	Bursal Disease Killed Virus Vaccine (USDA: 1275.00)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001633>	Bursal Disease Killed Virus Vaccine (USDA: 1275.02)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001634>	Bursal Disease Killed Virus Vaccine (USDA: 1275.20)	Intervet
<http://purl.obolibrary.org/obo/VO_0001636>	Bursal Disease Live Virus Vaccine (USDA: 1271.01)	Biomune
<http://purl.obolibrary.org/obo/VO_0001638>	Bursal Disease Live Virus Vaccine (USDA: 1271.04)	Biomune
<http://purl.obolibrary.org/obo/VO_0001639>	Bursal Disease Live Virus Vaccine (USDA: 1271.0A)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001643>	Bursal Disease Live Virus Vaccine (USDA: 1271.13)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001647>	Bursal Disease Live Virus Vaccine (USDA: 1271.19)	Intervet
<http://purl.obolibrary.org/obo/VO_0001652>	Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.01)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001655>	Bursal Disease Standard & Variant, Killed Virus Vaccine (USDA: 12B5.4A)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001657>	Bursal Disease Standard & Variant, Live Virus Vaccine (USDA: 12B1.01)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001658>	Bursal Disease Variant, Killed Virus Vaccine (USDA: 12A5.00)	Intervet
<http://purl.obolibrary.org/obo/VO_0001659>	Bursal Disease Variant, Live Virus Vaccine (USDA: 12L1.00)	Intervet
<http://purl.obolibrary.org/obo/VO_0001660>	Chicken Anemia Virus Live Virus Vaccine (USDA: 10A1.00)	Biomune
<http://purl.obolibrary.org/obo/VO_0001661>	Chicken Anemia Virus Live Virus Vaccine (USDA: 10A1.01)	Biomune
<http://purl.obolibrary.org/obo/VO_0001662>	Chicken Anemia Virus Modified Live Virus Vaccine (USDA: 10A1.10)	Intervet
<http://purl.obolibrary.org/obo/VO_0001663>	Coccidiosis Live Oocysts Vaccine (USDA: 1431.50)	Vetech Labs
<http://purl.obolibrary.org/obo/VO_0001666>	Coccidiosis Live Oocysts Vaccine (USDA: 1431.57)	Pfizer Animal Health
<http://purl.obolibrary.org/obo/VO_0001671>	Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.01)	Intervet
<http://purl.obolibrary.org/obo/VO_0001672>	Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.02)	Intervet
<http://purl.obolibrary.org/obo/VO_0001674>	Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.13)	Intervet
<http://purl.obolibrary.org/obo/VO_0001676>	Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.15)	Intervet
<http://purl.obolibrary.org/obo/VO_0001679>	Fowl Pox Live Virus Vaccine (USDA: 1621.11)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001680>	Fowl Pox Live Virus Vaccine (USDA: 1621.13)	Intervet
<http://purl.obolibrary.org/obo/VO_0001681>	Fowl Pox Live Virus Vaccine (USDA: 1621.14)	Intervet
<http://purl.obolibrary.org/obo/VO_0001682>	Fowl Pox Live Virus Vaccine (USDA: 1622.00)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001685>	Marek's Disease Serotype 1, Live Virus Vaccine (USDA: 16L1.09)	Intervet
<http://purl.obolibrary.org/obo/VO_0001689>	Marek's Disease Serotype 3, Live Virus Vaccine (USDA: 1641.06)	Intervet
<http://purl.obolibrary.org/obo/VO_0001690>	Marek's Disease Serotype 3, Live Virus Vaccine (USDA: 16L1.06)	Biomune
<http://purl.obolibrary.org/obo/VO_0001692>	Marek's Disease Serotypes 1 & 3, Live Herpesvirus Chimera Vaccine (USDA: 1631.R0)	Intervet
<http://purl.obolibrary.org/obo/VO_0001695>	Marek's Disease Serotypes 1 & 3, Live Virus Vaccine (USDA: 16L1.08)	Intervet
<http://purl.obolibrary.org/obo/VO_0001698>	Marek's Disease Serotypes 2 & 3, Live Virus Vaccine (USDA: 1651.02)	Intervet
<http://purl.obolibrary.org/obo/VO_0001700>	Marek's Disease Serotypes 2 & 3, Live Virus Vaccine (USDA: 16G1.00)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001703>	Mycoplasma Gallisepticum Live Culture Vaccine (USDA: 1751.01)	Intervet
<http://purl.obolibrary.org/obo/VO_0001706>	Newcastle Disease B1 Type, B1 Strain, Live Virus Vaccine (USDA: 1711.14)	Intervet
<http://purl.obolibrary.org/obo/VO_0001707>	Newcastle Disease B1 Type, B1 Strain, Live Virus Vaccine (USDA: 1711.18)	Wyeth Pharmaceuticals Inc
<http://purl.obolibrary.org/obo/VO_0001708>	Newcastle Disease B1 Type, B1 Strain, Live Virus Vaccine (USDA: 17A2.10)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001710>	Newcastle Disease B1 Type, LaSota Strain, Live Virus Vaccine (USDA: 1721.0A)	Lohman Animal Health International
<http://purl.obolibrary.org/obo/VO_0001712>	Newcastle Disease B1 Type, LaSota Strain, Live Virus Vaccine (USDA: 1721.11)	Merial, Inc
<http://purl.obolibrary.org/obo/VO_0001713>	Newcastle Disease B1 Type, LaSota Strain, Live Virus Vaccine (USDA: 1721.15)	Intervet
<http://purl.obolibrary.org/obo/VO_0001714>	Newcastle Disease B1 Type, LaSota Strain, Live Virus Vaccine (USDA: 1721.16)	Intervet
<http://purl.obolibrary.org/obo/VO_0001715>	Newcastle Disease B1 Type, LaSota Strain, Live Virus Vaccine (USDA: 1721.17)	Intervet
