ID,LABEL,inSubset,subCategory,Parent,Parent (name),Equivalent Class,alternative ID,alternative label,definition,definition source,term editor,editor note,example of usage,term tracker item,comment,seeAlso,hasDbXref,VIOLIN vaccine ID,RxNORM ID,RxNORM Preferred Name,vaccine STN,FDA vaccine indications,status of vaccine development,NCBI GeneID,Unnamed: 25,trade name,vaccine package insert PDF URL,vaccine proper name,has vaccine ingredient,has vaccine active ingredient,immunizes host,immunizes against disease,immunizes against pathogen,is_distributed_by,is_distributed_by (name),is_manufactured_by,is_manufactured_by (name),has quality,has role,has part,has component,has prime vaccine,has vaccine component,has vaccine vector,has vaccine antigen,has subunit vaccine antigen,has subunit vaccine protective antigen,has vaccine protective antigen,has gene mutation,vaccine organism has mutation,has vaccine allergen,has function,expresses,is_specified_input_of,vaccinated in route,blocks transmission of pathogen via vaccine,vaccine immunity response transferrable to organism,associated axioms
VO:0000029,Daptacel,vaccine,,VO:0000738,Diphtheria-Tetanus-Pertussis vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/352572|https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM241874.pdf,Kallan Roan|Oliver He,Vaccine components see http://www.vaccinesafety.edu/components-DTaP.htm,,,,,,,352572,,103666,"Indicated for active immunization against diphtheria, tetanus and pertussis as a five dose series in infants and children 6 weeks through 6 years of age (prior to 7th birthday).",,,,DAPTACEL,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM103037.pdf,Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed,,,Homo sapiens,,,,,VO:0000699,Sanofi Pasteur Limited,,USA licensed vaccine role,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis fimbriae 2/3 vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|diphtheria toxoid vaccine, inactivated|tetanus toxoid vaccine, inactivated",,,,,,,,,,,,,,intramuscular vaccination,,,,
VO:0000030,Decavac,vaccine,,VO:0000732,Diphtheria-Tetanus vaccine,,,,,,Oliver He,,,,Product Name: Tetanus & Diphtheria Toxoids Adsorbed for Adult Use|Trade Name: DECAVAC,,,,,,,,,,,,,,,,Homo sapiens,,,,,VO:0000700,"Sanofi Pasteur, Inc",,USA licensed vaccine role,,,,,,,,,,,,,,,,,,,
VO:0000031,Menhibrix,vaccine,,VO:0000662,Haemophilus influenzae serotype b vaccine,,,,Vaccine for active immunization to prevent invasive disease caused by neisseria meningitidis serogroups c and y and haemophilus influenzae type b. menhibrix is approved for use in children 6 weeks of age through 18 months of age.,http://purl.bioontology.org/ontology/RXNORM/1437912|https://www.fda.gov/biologicsbloodvaccines/vaccines/approvedproducts/ucm308566.htm,Kallan Roan|Oliver He,,,,,,,,1437912,,BL 125363/0,Indicated for active immunization to prevent invasive disease caused by Neisseria meningitidis serogroups C and Y and Haemophilus influenzae type b for children 6 weeks of age through 18 months of age.,,,,MenHibrix,,Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine,,,,,Neisseria meningitidis|Haemophilus influenzae serotype b,,,VO:0000690,GlaxoSmithKline plc,,,"Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine|MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y|meningococcal group C polysaccharide",,,,,,,,,,,,,,,,,,
VO:0000032,Dna vaccine,vaccine,,VO:0005505,vaccine by platform type,('vaccine by platform type') and ('has role' some 'DNA vaccine role'),,genetic vaccine|naked DNA vaccine|nucleic acid vaccine,Vaccine that is composed of a plasmid vaccine vector (a circular double stranded dna molecule) containing the whole of parts of genes encoding one or more vaccine antigen proteins.,,Oliver He,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA vaccine role|DNA vaccine role,,,,,,,,,,,,,,,,,,,
VO:0000033,Diphtheria and tetanus toxoids adsorbed usp by sanofi pasteur inc,vaccine,,VO:0000732,Diphtheria-Tetanus vaccine,,,,,,Oliver He,,,,Product Name: Diphtheria & Tetanus Toxoids Adsorbed,,,,,,,,,,,,,,,,Homo sapiens,,,,,VO:0000700,"Sanofi Pasteur, Inc",,USA licensed vaccine role,,,,,,,,,,,,,,,intramuscular vaccination,,,,
VO:0000035,Dryvax,vaccine,,VO:0000433,vaccinia virus vaccine,,,,"Vaccinia virus vaccine that is a freeze-dried calf lymph smallpox vaccine, specifically, dryvax is a live-virus preparation of vaccinia prepared from calf lymph.",http://en.wikipedia.org/wiki/Dryvax,Oliver He,"Dryvax is a freeze-dried calf lymph smallpox vaccine. It is the world's oldest smallpox vaccine, created in the late 19th century by American Home Products, a predecessor of Wyeth. By the 1940s, Wyeth was the leading US manufacturer of the vaccine and the only manufacturer by the 1960s. After world health authorities declared smallpox had been eradicated from nature in 1980, Wyeth stopped making the vaccine.",,,"Product Name: Smallpox Vaccine, Dried, Calf Lymph Type|Trade Name: Dryvax",,,,,,,,,,,,,,,,Homo sapiens,,,,,VO:0000701,Wyeth Pharmaceuticals Inc,,USA licensed vaccine role,,,,,,,,,,,,,,,,,,,
VO:0000036,Etec vaccine acam2010,vaccine,,VO:0000619,E. coli live attenuated vaccine,,,,Acam2007 is a vaccine candidate expressing cfa/ii.,WEB: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2095642/,Oliver He,,,,,PMID:17566016,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,
VO:0000037,Adenovirus vaccine,vaccine,,VO:0000609,viral vaccine,,,,Viral vaccine that protects against infection of an adenovirus.,,Oliver He|Samantha G. Sayers,,,,,,,,,,,,,,,,,,,,,,Adenoviridae,,,,,,,,,,,,,,,,,,,,,,,,,
VO:0000041,Escherichia coli vaccine,vaccine,,VO:0000165,bacterial vaccine,('bacterial vaccine') and ('immunizes against pathogen' some 'Escherichia coli'),,E. coli vaccine,Bacterial vaccine that prevents against escherichia coli infection.,,Oliver He,,,,,MeSH: D022361,,,,,,,,,,,,,,,,,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,
VO:0000043,Flulaval,vaccine,,VO:0000642,Influenza virus vaccine,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112845.htm,Kallan Roan|Oliver He,,,,"Product Name: Influenza Virus Vaccine, Trivalent, Types A and B",,,,,,BL 125163,Active immunization for the prevention of disease caused by influenza A subtype viruses and type B virus contained in the vaccine. FLULAVAL is approved for use in persons 6 months of age and older.,,,,FluLaval,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM112904.pdf,Influenza Virus Vaccine,,,Homo sapiens,,,,,VO:0002498,ID Biomedical Corporation of Quebec,vaccine organism inactivated,USA licensed vaccine role,,,,,,,,,,,,chicken egg protein allergen,,,intramuscular vaccination,,,,
VO:0000044,Flumist,vaccine,,VO:0000642,Influenza virus vaccine,,,,,WEB: http://www.cdc.gov/vaccines/pubs/pinkbook/downloads/appendices/B/excipient-table-2.pdf|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094047.htm,Kallan Roan|Oliver He,,,,,,,,,,BL 125020,For the active immunization of individuals 2-49 years of age against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,,,,FluMist,,"Influenza Vaccine Live, Intranasal",,,Homo sapiens,,Alphainfluenzavirus|Betainfluenzavirus,,,VO:0000694,"MedImmune Vaccines, Inc",viral vaccine organism live attenuated,Canada licensed vaccine role|USA licensed vaccine role,,,,,,,,,,,,chicken egg protein allergen|neomycin,,,,intranasal route by spray,,,
VO:0000045,Fluarix,vaccine,,VO:0000642,Influenza virus vaccine,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112850.htm,Kallan Roan|Oliver He,,,,,,,,,,BL 125127,For active immunization of persons 3 years of age and older for the prevention of disease caused by influenza virus subtypes A and type B contained in the vaccine.,,,,Fluarix,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM335392.pdf,Influenza Virus Vaccine,,,Homo sapiens,,,,,VO:0000690,GlaxoSmithKline plc,vaccine organism inactivated,USA licensed vaccine role,,,,,,,,,,,,,,,intramuscular vaccination,,,,
VO:0000046,Fluvirin,vaccine,,VO:0000642,Influenza virus vaccine,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112852.htm,Kallan Roan|Oliver He,,,,"Product Name: Influenza Virus Vaccine, Trivalent, Types A and B",,,,,,BL 103837,For active immunization of persons 4 years of age and older against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,,,,Fluvirin,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM123694.pdf,Influenza Virus Vaccine,,,Homo sapiens,,,,,VO:0000696|VO:0005571,Novartis Vaccines and Diagnostics|Seqirus Vaccines Limited,vaccine organism inactivated,USA licensed vaccine role,,,,,,,,,,,,chicken egg protein allergen,,,intramuscular vaccination,,,,
VO:0000047,Fluzone,vaccine,,VO:0000642,Influenza virus vaccine,,,,,https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm112854.htm,Kallan Roan|Oliver He,,,,"Product Name: Influenza Virus Vaccine, Trivalent, Types A and B",,,,,,BL 103914,Fluzone is indicated for active immunization of persons 6 months of age and older against influenza disease caused by influenza virus subtypes A and type B contained in the vaccine.,,,,Fluzone,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM619664.pdf,Influenza Virus Vaccine,,,Homo sapiens,,,,,VO:0000699,Sanofi Pasteur Limited,vaccine organism inactivated,USA licensed vaccine role,,,,,,,,,,,,chicken egg protein allergen,,,intramuscular vaccination,,,,
VO:0000049,Gardasil,vaccine,,VO:0000667,human papillomavirus vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/659877|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm094042.htm,Kallan Roan|Oliver He,"Gardasil is a quadrivalent vaccine meaning it protects against 4 strains of virus (types 6, 11, 16, and 18). The vaccine was made using genetic engineering techniques. The genes that encode a specific protein from each of these strains are expressed in yeast in large-scale fermentation cultures. Protein purification methods are then used to isolate the proteins and make the vaccine.
Cited from: 
http://biotech.about.com/b/2008/09/03/gardasil-safety-of-genetically-engineered-hpv-vaccine-still-in-question.htm",,,,,,,659877,,125126,"- Prevention of vulvar and vaginal cancer
- Vaccination in females 9 through 26 years of age for prevention of the following diseases caused by Human Papillomavirus (HPV) Types 6, 11, 16, and 18:
     - Cervical Cancer
     - Genital warts (condyloma acuminata) and the following precancerous or dysplastic lesions:
          - Cervical adenocarcinoma in situ (AIS)cancer
          - Cervical intraepithelial neoplasia (CIN) grade 2 and grade 3
          - Vulvar intraepithelial neoplasia (VIN) grade 2 and grade 3
          - Vaginal intraepithelial neoplasia (VaIN) grade 2 and grade 3
          - Cervical intraepithelial neoplasia (CIN) grade 1
- Vaccination in boys and men 9 through 26 years of age for the prevention of genital warts caused by HPV types 6 and 11
- Vaccination in people ages 9 through 26 years for the prevention of anal cancer and associated precancerous lesions due to human papillomavirus (HPV) types 6, 11, 16, and 18",,,,Gardasil,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM111263.pdf,"Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant",,,Homo sapiens,,,,,VO:0000695,"Merck & Co., Inc.",,Canada licensed vaccine role|USA licensed vaccine role,"L1 protein, Human papillomavirus type 11 Vaccine|L1 protein, Human papillomavirus type 16 Vaccine|L1 protein, Human papillomavirus type 18 Vaccine|L1 protein, Human papillomavirus type 6 Vaccine|protein of pathogen organism as vaccine component",,,,,,,,,,,,,,intramuscular vaccination,,,,
VO:0000052,Havrix,vaccine,,VO:0000646,Hepatitis A virus vaccine,,,,,http://purl.bioontology.org/ontology/RXNORM/203439|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm110016.htm,Kallan Roan|Oliver He,,,,,,,,203439,,,For active immunization against disease caused by hepatitis A virus (HAV) for persons 12 months of age and older.,,,,HAVRIX,BL 103475|https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM224555.pdf,"Hepatitis A Vaccine, Inactivated",,,Homo sapiens,,,,,VO:0000690,GlaxoSmithKline plc,vaccine organism inactivated,Canada licensed vaccine role|USA licensed vaccine role,Hepatitis A Vaccine (Inactivated) Strain HM175,,,,,,,,,,,,,,intramuscular vaccination,,,,
VO:0000053,Neisseria meningitidis vaccine,vaccine,,VO:0000165,bacterial vaccine,'bacterial vaccine' and ('immunizes against pathogen' some 'Neisseria meningitidis'),,Meningococcal vaccine,Bacterial vaccine that prevents neisseria meningitidis infection.,,Oliver He,,,,,MeSH: D022401,,,,,,,,,,,,,,,,,Neisseria meningitidis,,,,,,,,,,,,,,,,,,,,,,,,,
VO:0000054,Ipol,vaccine,,VO:0000664,Poliovirus vaccine,,,,"Ipol, poliovirus vaccine inactivated is a sterile suspension of three types of poliovirus: type 1 (mahoney), type 2 (mef-1), and type 3 (saukett). ipol vaccine is a highly purified, inactivated poliovirus vaccine with enhanced potency.",http://purl.bioontology.org/ontology/RXNORM/287617|https://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm180053.htm,Kallan Roan|Oliver He,,,,,,,,287617,,103930,"IPOL vaccine is indicated for active immunization of infants (as young as 6 weeks of age), children and adults for the prevention of poliomyelitis caused by poliovirus Types 1, 2, and 3.",,,,IPOL,https://www.fda.gov/downloads/BiologicsBloodVaccines/Vaccines/ApprovedProducts/UCM133479.pdf,Poliovirus Vaccine Inactivated (Monkey Kidney Cell),,,Homo sapiens,,,,,VO:0000703,"Sanofi Pasteur, SA",,USA licensed vaccine role,"poliovirus vaccine inactivated, type 1 (Mahoney)|poliovirus vaccine inactivated, type 2 (MEF-1)|poliovirus vaccine inactivated, type 3 (Saukett)",,,,,,,,,,,,,,intramuscular vaccination|subcutaneous vaccination,,,,
