ID,LABEL in VO,RxNorm OMOP extension ID,RxNorm Preferred Name
VO:0020737,"BCG, Live, Connaught Strain Injectable Suspension",OMOP1004994,"BCG, Live, Connaught Strain Injectable Suspension"
VO:0016045,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension Box of 1,OMOP1005055,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension Box of 1
VO:0018529,"0.5 ML Japanese encephalitis virus vaccine, inactivated 0.012 MG/ML Injectable Suspension [Ixiaro]",OMOP1005136,"0.5 ML Japanese encephalitis virus vaccine, inactivated 0.012 MG/ML Injectable Suspension [Ixiaro]"
VO:0020740,"BCG, Live, Connaught Strain Injection",OMOP1005550,"BCG, Live, Connaught Strain Injection"
VO:0017927,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.02 MG/ML Prefilled Syringe,OMOP1005669,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.02 MG/ML Prefilled Syringe
VO:0015192,1 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix],OMOP1005714,1 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix]
VO:0015670,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension,OMOP1006413,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension
VO:0017736,"acellular pertussis vaccine, inactivated / Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Haemophilus B Conjugate Vaccine / Hepatitis B Surface Antigen Vaccine Injection",OMOP1006452,"acellular pertussis vaccine, inactivated / Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Haemophilus B Conjugate Vaccine / Hepatitis B Surface Antigen Vaccine Injection"
VO:0015764,Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension [HBvaxPRO] Box of 1,OMOP1006454,Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension [HBvaxPRO] Box of 1
VO:0018275,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated Prefilled Syringe",OMOP1006576,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated Prefilled Syringe"
VO:0015598,Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension,OMOP1006583,Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension
VO:0015672,1 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension,OMOP1006864,1 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension
VO:0017390,"diphtheria toxoid vaccine, inactivated 12.5 LFU/ML / tetanus toxoid vaccine, inactivated 12.5 LFU/ML Injectable Suspension",OMOP1007021,"diphtheria toxoid vaccine, inactivated 12.5 LFU/ML / tetanus toxoid vaccine, inactivated 12.5 LFU/ML Injectable Suspension"
VO:0021041,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution [Varilrix],OMOP1007424,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution [Varilrix]
VO:0015326,"Hepatitis A Vaccine, Inactivated / Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain Intramuscular Solution [Vivaxim]",OMOP1019855,"Hepatitis A Vaccine, Inactivated / Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain Intramuscular Solution [Vivaxim]"
VO:0017453,"meningococcal group C polysaccharide 0.02 MG/ML / tetanus toxoid vaccine, inactivated 0.04 MG/ML Injectable Suspension",OMOP1020129,"meningococcal group C polysaccharide 0.02 MG/ML / tetanus toxoid vaccine, inactivated 0.04 MG/ML Injectable Suspension"
VO:0018338,rabies virus vaccine flury-lep strain 2.5 UNT Injection [RabAvert] by Glaxosmithkline,OMOP1020170,rabies virus vaccine flury-lep strain 2.5 UNT Injection [RabAvert] by Glaxosmithkline
VO:0017863,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 2.5 MG,OMOP1020204,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 2.5 MG
VO:0021006,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT Injection [Varivax] by Merck,OMOP1020678,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT Injection [Varivax] by Merck
VO:0021032,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 4000 UNT/ML,OMOP1020961,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 4000 UNT/ML
VO:0017870,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG,OMOP1021380,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.25 MG
VO:0017851,meningococcal group A polysaccharide 0.008 MG/ML,OMOP1021438,meningococcal group A polysaccharide 0.008 MG/ML
VO:0017853,meningococcal group A polysaccharide 2.5 MG,OMOP1021439,meningococcal group A polysaccharide 2.5 MG
VO:0020948,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML,OMOP1021601,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML
VO:0018608,Human-Bovine Reassortant Rotavirus Strain P1A[8] Vaccine 2290000 UNT,OMOP1021629,Human-Bovine Reassortant Rotavirus Strain P1A[8] Vaccine 2290000 UNT
VO:0018605,Human-Bovine Reassortant Rotavirus Strain G4 Vaccine 2040000 UNT,OMOP1021630,Human-Bovine Reassortant Rotavirus Strain G4 Vaccine 2040000 UNT
VO:0021002,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT [Varivax],OMOP1022298,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 1350 UNT [Varivax]
VO:0017826,meningococcal group A polysaccharide 0.008 MG/ML / meningococcal group C polysaccharide 0.008 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.008 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.008 MG/ML [Menactra],OMOP1022922,meningococcal group A polysaccharide 0.008 MG/ML / meningococcal group C polysaccharide 0.008 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.008 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.008 MG/ML [Menactra]
VO:0020945,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML / influenza B virus antigen 160000000 /ML [FluMist Quadrivalent],OMOP1023058,influenza A-California-7-2009-(H1N1)v-like virus vaccine 160000000 /ML / influenza B virus antigen 160000000 /ML [FluMist Quadrivalent]
VO:0018197,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution",OMOP1024390,"MEASLES VIRUS VACCINE,LIVE ATTENUATED / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Solution"
VO:0020941,influenza A-California-7-2009-(H1N1)v-like virus vaccine / influenza B virus antigen Nasal Spray,OMOP1024425,influenza A-California-7-2009-(H1N1)v-like virus vaccine / influenza B virus antigen Nasal Spray
VO:0017299,"Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Solution",OMOP1024525,"Bordetella pertussis / diphtheria toxoid vaccine, inactivated / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Solution"
VO:0017839,meningococcal group A polysaccharide / meningococcal group C polysaccharide / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y Intramuscular Solution [Menactra],OMOP1025559,meningococcal group A polysaccharide / meningococcal group C polysaccharide / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y Intramuscular Solution [Menactra]
VO:0020754,"BCG, Live, Montreal Strain Injectable Solution [Pacis]",OMOP1026407,"BCG, Live, Montreal Strain Injectable Solution [Pacis]"
VO:0017800,Pertussis Vaccine Injectable Suspension [Acel-P],OMOP1026658,Pertussis Vaccine Injectable Suspension [Acel-P]
VO:0020382,Typhoid Vaccine Live Ty21a 10000000000 UNT Oral Powder,OMOP1026732,Typhoid Vaccine Live Ty21a 10000000000 UNT Oral Powder
VO:0017955,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.5 MG Injectable Solution,OMOP1027121,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.5 MG Injectable Solution
VO:0020953,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML Nasal Spray Box of 5,OMOP1027226,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML Nasal Spray Box of 5
VO:0017437,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.02 MG/ML Injectable Solution",OMOP1027275,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.02 MG/ML Injectable Solution"
VO:0017427,"diphtheria toxoid vaccine, inactivated 50 LFU/ML / tetanus toxin 10 LFU/ML Injectable Solution",OMOP1027428,"diphtheria toxoid vaccine, inactivated 50 LFU/ML / tetanus toxin 10 LFU/ML Injectable Solution"
VO:0017403,"diphtheria toxoid vaccine, inactivated 4 LFU/ML / tetanus toxin 10 LFU/ML Injectable Suspension",OMOP1027429,"diphtheria toxoid vaccine, inactivated 4 LFU/ML / tetanus toxin 10 LFU/ML Injectable Suspension"
VO:0017401,"diphtheria toxoid vaccine, inactivated 25 LFU/ML / Pertussis Vaccine 8 UNT/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Solution",OMOP1027430,"diphtheria toxoid vaccine, inactivated 25 LFU/ML / Pertussis Vaccine 8 UNT/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Solution"
VO:0016761,"diphtheria toxoid vaccine, inactivated 4 LFU/ML Injectable Solution",OMOP1027434,"diphtheria toxoid vaccine, inactivated 4 LFU/ML Injectable Solution"
VO:0018300,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT Injection [Imovax]",OMOP1028565,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT Injection [Imovax]"
VO:0017796,Pertussis Vaccine 600 UNT/ML Injectable Suspension [Acel-P],OMOP1030295,Pertussis Vaccine 600 UNT/ML Injectable Suspension [Acel-P]
VO:0020439,Typhoid Vaccine Live Ty21a 10000000000 UNT Delayed Release Oral Capsule [Vivotif] by Paxvax Berna,OMOP1030514,Typhoid Vaccine Live Ty21a 10000000000 UNT Delayed Release Oral Capsule [Vivotif] by Paxvax Berna
VO:0020404,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 1000000000 UNT/ML Injectable Suspension by Aventis",OMOP1030515,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain 1000000000 UNT/ML Injectable Suspension by Aventis"
VO:0017986,meningococcal group A polysaccharide 2.5 MG / meningococcal group C polysaccharide 2.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 2.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 2.5 MG Injectable Solution by Aventis,OMOP1031604,meningococcal group A polysaccharide 2.5 MG / meningococcal group C polysaccharide 2.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 2.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 2.5 MG Injectable Solution by Aventis
VO:0015605,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Intramuscular Solution [Recombivax] by Merck,OMOP1031946,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Intramuscular Solution [Recombivax] by Merck
VO:0016890,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML Injectable Solution Box of 5 by Aventis",OMOP1032388,"diphtheria toxoid vaccine, inactivated 0.2 LFU/ML Injectable Solution Box of 5 by Aventis"
VO:0016891,"diphtheria toxoid vaccine, inactivated 4 LFU/ML Injectable Solution Box of 5 by Aventis",OMOP1032389,"diphtheria toxoid vaccine, inactivated 4 LFU/ML Injectable Solution Box of 5 by Aventis"
VO:0020803,"BCG, Live, Tice Strain 800000000 UNT Injectable Solution [OncoTICE] by Merck",OMOP1033315,"BCG, Live, Tice Strain 800000000 UNT Injectable Solution [OncoTICE] by Merck"
VO:0018600,Human-Bovine Reassortant Rotavirus Strain G2 Vaccine 2840000 UNT,OMOP1034606,Human-Bovine Reassortant Rotavirus Strain G2 Vaccine 2840000 UNT
VO:0018597,Human-Bovine Reassortant Rotavirus Strain G1 Vaccine 2210000 UNT,OMOP1034607,Human-Bovine Reassortant Rotavirus Strain G1 Vaccine 2210000 UNT
VO:0016699,"diphtheria toxoid vaccine, inactivated 30 LFU/ML",OMOP1034770,"diphtheria toxoid vaccine, inactivated 30 LFU/ML"
VO:0020358,Typhoid Vaccine Live Ty21a 10000000000 UNT [Vivotif],OMOP1035280,Typhoid Vaccine Live Ty21a 10000000000 UNT [Vivotif]
VO:0018258,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT [Imovax]",OMOP1035562,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT [Imovax]"
VO:0017459,"poliovirus vaccine inactivated, type 1 (Mahoney) 160 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [T Polio Adsorbed]",OMOP1035664,"poliovirus vaccine inactivated, type 1 (Mahoney) 160 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [T Polio Adsorbed]"
VO:0018381,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML [Pnu-Imune],OMOP1035667,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML [Pnu-Imune]
VO:0018627,"Japanese encephalitis virus vaccine, inactivated 1 UNT [Je-Vax]",OMOP1036016,"Japanese encephalitis virus vaccine, inactivated 1 UNT [Je-Vax]"
VO:0020949,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML [Flumist],OMOP1036045,influenza A-California-7-2009-(H1N1)v-like virus vaccine 50000000 /ML / influenza B virus antigen 50000000 /ML [Flumist]
VO:0017308,"Bordetella pertussis 0.01 MG/ML / diphtheria toxoid vaccine, inactivated 4 LFU/ML / Pertussis Vaccine 0.021 MG/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML [Adacel]",OMOP1036356,"Bordetella pertussis 0.01 MG/ML / diphtheria toxoid vaccine, inactivated 4 LFU/ML / Pertussis Vaccine 0.021 MG/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML [Adacel]"
VO:0020826,"diphtheria toxoid vaccine, inactivated 0.05 MG/ML / influenza B virus antigen 0.02 MG/ML [HibTITER]",OMOP1036478,"diphtheria toxoid vaccine, inactivated 0.05 MG/ML / influenza B virus antigen 0.02 MG/ML [HibTITER]"
VO:0020800,"BCG, Live, Tice Strain 800000000 UNT [OncoTICE]",OMOP1036945,"BCG, Live, Tice Strain 800000000 UNT [OncoTICE]"
VO:0021044,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Suspension,OMOP1037282,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Suspension
VO:0018273,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated Injectable Solution",OMOP1037362,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated Injectable Solution"
VO:0017445,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injectable Solution",OMOP1037511,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injectable Solution"
VO:0017349,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Solution",OMOP1037575,"diphtheria toxoid vaccine, inactivated / Pertussis Vaccine / tetanus toxoid vaccine, inactivated Injectable Solution"
VO:0017933,"diphtheria toxoid vaccine, inactivated / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine Injectable Suspension",OMOP1037617,"diphtheria toxoid vaccine, inactivated / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine Injectable Suspension"
VO:0015521,Hepatitis B Surface Antigen Vaccine Intramuscular Solution [Recombivax],OMOP1038756,Hepatitis B Surface Antigen Vaccine Intramuscular Solution [Recombivax]
VO:0020819,"diphtheria toxoid vaccine, inactivated / influenza B virus antigen Injectable Solution [HibTITER]",OMOP1039069,"diphtheria toxoid vaccine, inactivated / influenza B virus antigen Injectable Solution [HibTITER]"
VO:0017956,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG Injectable Solution,OMOP1040117,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG Injectable Solution
VO:0018237,"MEASLES VIRUS VACCINE,LIVE ATTENUATED 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 10000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injectable Solution",OMOP1040121,"MEASLES VIRUS VACCINE,LIVE ATTENUATED 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 10000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injectable Solution"
VO:0016840,"diphtheria toxoid vaccine, inactivated 4 LFU/ML Injectable Solution Box of 5",OMOP1040410,"diphtheria toxoid vaccine, inactivated 4 LFU/ML Injectable Solution Box of 5"
VO:0017953,"diphtheria toxoid vaccine, inactivated 0.03 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML Injectable Suspension",OMOP1040493,"diphtheria toxoid vaccine, inactivated 0.03 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML Injectable Suspension"
VO:0021027,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 PFU/ML Injectable Suspension [Zostavax],OMOP1041259,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 PFU/ML Injectable Suspension [Zostavax]
VO:0017307,"Bordetella pertussis 0.01 MG/ML / diphtheria toxoid vaccine, inactivated 30 LFU/ML / Pertussis Vaccine 0.0468 MG/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension [Tripacel]",OMOP1042448,"Bordetella pertussis 0.01 MG/ML / diphtheria toxoid vaccine, inactivated 30 LFU/ML / Pertussis Vaccine 0.0468 MG/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension [Tripacel]"
VO:0020828,"diphtheria toxoid vaccine, inactivated 0.05 MG/ML / influenza B virus antigen 0.02 MG/ML Injectable Solution [HibTITER]",OMOP1042621,"diphtheria toxoid vaccine, inactivated 0.05 MG/ML / influenza B virus antigen 0.02 MG/ML Injectable Solution [HibTITER]"
VO:0017984,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.5 MG Injectable Solution by Sanofi,OMOP1044726,meningococcal group A polysaccharide 0.5 MG / meningococcal group C polysaccharide 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.5 MG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.5 MG Injectable Solution by Sanofi
VO:0017462,"tetanus toxoid vaccine, inactivated 0.04 MG/ML",OMOP1047077,"tetanus toxoid vaccine, inactivated 0.04 MG/ML"
