ID,LABEL in VO,OMOP concept ID
VO:0003263,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML [Engerix-B],19063453
VO:0003264,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],528328
VO:0003265,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B],46275244
VO:0003266,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injection [Engerix-B],46275231
VO:0003267,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],19130426
VO:0003270,Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B],793518
VO:0003272,0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection,42800034
VO:0003273,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain,42800027
VO:0003274,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection,46275138
VO:0003275,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML,42800029
VO:0003276,0.5 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML Injection,42800030
VO:0003279,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML,42800033
VO:0003281,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection [Zostavax],46275142
VO:0003282,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML [Zostavax],42800036
VO:0003283,0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax],42800035
VO:0003286,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174009
VO:0003287,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174014
VO:0003288,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174017
VO:0003289,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174007
VO:0003290,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML,40174022
VO:0003291,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174025
VO:0003292,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174013
VO:0003293,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174016
VO:0003294,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174019
VO:0003295,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174021
VO:0003296,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174012
VO:0003297,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174010
VO:0003298,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,40174024
VO:0003300,"L1 protein, Human papillomavirus type 6 Vaccine",529116
VO:0003301,"L1 protein, Human papillomavirus type 11 Vaccine",529076
VO:0003302,"L1 protein, Human papillomavirus type 18 Vaccine",529114
VO:0003303,"L1 protein, Human papillomavirus type 16 Vaccine",529112
VO:0003304,"L1 protein, Human papillomavirus type 31 Vaccine",45892474
VO:0003305,"L1 protein, Human papillomavirus type 33 Vaccine",45892475
VO:0003306,"L1 protein, Human papillomavirus type 45 Vaccine",45892476
VO:0003307,"L1 protein, Human papillomavirus type 52 Vaccine",45892477
VO:0003308,"L1 protein, Human papillomavirus type 58 Vaccine",45892478
VO:0003323,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML,40163664
VO:0003333,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine,40174023
VO:0003334,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine,40174004
VO:0003335,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine,528986
VO:0003337,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine,528988
VO:0003338,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine,40174011
VO:0003339,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine,528990
VO:0003340,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine,529042
VO:0003341,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine,40174015
VO:0003342,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine,529044
VO:0003343,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine,40174018
VO:0003344,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine,40174020
VO:0003345,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine,529046
VO:0003346,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine,529072
VO:0003347,meningococcal group B vaccine,45775636
VO:0003349,meningococcal group B vaccine 0.1 MG/ML,45892091
VO:0003350,meningococcal group B vaccine Prefilled Syringe,45775639
VO:0003354,Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule [Vivotif],40148796
VO:0003356,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule [Vivotif],19129379
VO:0003359,meningococcal group B vaccine Prefilled Syringe [Bexsero],45892098
VO:0003361,Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML,45892092
VO:0003363,Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML,45892093
VO:0003364,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle,44012722
VO:0003364,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle,44012722
VO:0003365,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML,45892094
VO:0003367,Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 MG/ML,45775637
VO:0003369,Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 MG/ML,45775638
VO:0003371,"Yellow-Fever Virus Vaccine, 17D-204 strain",532274
VO:0003372,"Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML",1593652
VO:0003373,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection",1593653
VO:0003377,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection [Stamaril]",1593656
VO:0003378,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection [Stamaril]",1593658
VO:0003379,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection",46275267
VO:0003380,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injection",46275268
VO:0003381,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML",19131659
VO:0003382,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injectable Suspension",42800061
VO:0003383,"diphtheria toxoid vaccine, inactivated 5 UNT/ML",19132128
VO:0003384,"tetanus toxoid vaccine, inactivated",529411
VO:0003385,"tetanus toxoid vaccine, inactivated 10 UNT/ML",19130407
VO:0003387,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML",42800471
VO:0003391,"acellular pertussis vaccine, inactivated 0.116 MG/ML",529275
VO:0003395,"diphtheria toxoid vaccine, inactivated 30 UNT/ML",19131876
VO:0003397,"tetanus toxoid vaccine, inactivated Injectable Solution",40086961
VO:0003398,"tetanus toxoid vaccine, inactivated Injectable Suspension",40086962
VO:0003400,"tetanus toxoid vaccine, inactivated Prefilled Syringe",40149494
VO:0003401,"tetanus toxoid vaccine, inactivated 20 UNT/ML",19131358
VO:0003402,"0.5 ML tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",529656
VO:0003403,"tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",19027665
VO:0003404,"tetanus toxoid vaccine, inactivated 20 UNT/ML Injectable Suspension",19028830
VO:0003405,"tetanus toxoid vaccine, inactivated 8 UNT/ML Injectable Solution",529484
VO:0003406,"tetanus toxoid vaccine, inactivated 8 UNT/ML",529482
VO:0003407,"tetanus toxoid vaccine, inactivated 4 UNT/ML",529485
VO:0003408,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine,530007
VO:0003409,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injection,46276399
VO:0003411,0.5 ML Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML Injection,530009
VO:0003413,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML,530008
VO:0003414,0.5 ML Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML Injection [PedvaxHIB],530010
VO:0003416,Hepatitis B Surface Antigen Vaccine Injectable Suspension,40150691
VO:0003417,Hepatitis B Surface Antigen Vaccine 0.005 MG/ML Injectable Suspension,19133374
VO:0003418,Mumps-Rubella Vaccine,40213224
VO:0003419,Hepatitis B Surface Antigen Vaccine Prefilled Syringe,40150694
VO:0003420,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe,528327
VO:0003421,Hepatitis B Surface Antigen Vaccine Injection,46276308
VO:0003422,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe,19133377
VO:0003423,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML,528353
VO:0003424,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe,19133379
VO:0003425,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe,528329
VO:0003426,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection,46275236
VO:0003427,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection,46275241
VO:0003428,Typhoid Vaccine Live Ty21a 2000000000 UNT [Vivotif],36249294
VO:0003429,"diphtheria toxoid vaccine, inactivated 4 UNT/ML",19132297
VO:0003431,Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML,529661
VO:0003432,Hepatitis A Vaccine (Inactivated) Strain HM175 Prefilled Syringe,40150663
VO:0003433,Hepatitis A Vaccine (Inactivated) Strain HM175,529660
VO:0003434,Hepatitis A Vaccine (Inactivated) Strain HM175 720 UNT/ML,19131617
VO:0003435,Hepatitis A Vaccine (Inactivated) Strain HM175 Injection,46275168
VO:0003436,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injection,46275174
VO:0003437,1 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injection,46275169
VO:0003438,Typhoid Vaccine Live Ty21a 2000000000 UNT,36249293
VO:0003445,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule,523204
VO:0003446,Typhoid Vaccine Live Ty21a,523202
VO:0003447,Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule,40148795
VO:0003450,influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML,46276011
VO:0003452,influenza A virus A/California/7/2009 (H1N1) antigen 0.015 MG/ML,35606413
VO:0003454,"diphtheria toxoid vaccine, inactivated 13.4 UNT/ML",19130406
VO:0003455,"diphtheria toxoid vaccine, inactivated",529303
VO:0003456,"diphtheria toxoid vaccine, inactivated 50 UNT/ML",19131356
VO:0003457,"diphtheria toxoid vaccine, inactivated 25 UNT/ML",19132352
VO:0003458,"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]",46275198
VO:0003460,"0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]",596900
VO:0003461,"0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]",46275202
VO:0003463,"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]",596898
VO:0003469,influenza A virus A/Christchurch/16/2010 (H1N1) antigen 0.03 MG/ML,46276097
VO:0003471,influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.12 MG/ML,46275392
VO:0003472,influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML,46276099
VO:0003473,influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.015 MG/ML,35606409
VO:0003474,influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 50000000 MG/ML,46287742
VO:0003476,influenza A virus A/South Australia/55/2014 (H3N2) antigen 0.03 MG/ML,46275997
VO:0003478,influenza A virus A/Brisbane/10/2010 (H1N1) antigen 0.03 MG/ML,46275994
VO:0003480,influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML,46276101
VO:0003481,influenza B virus B/Brisbane/60/2008 antigen 50000000 MG/ML,46287743
VO:0003482,influenza B virus B/Brisbane/60/2008 antigen 0.09 MG/ML,46276042
VO:0003483,influenza B virus B/Brisbane/60/2008 antigen 0.12 MG/ML,36249504
VO:0003485,influenza B virus B/Brisbane/60/2008 antigen 158000000 UNT/ML,792418
VO:0003487,influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML,46276000
VO:0003489,influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML,46276103
VO:0003490,influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML,46276013
VO:0003491,influenza B virus B/Phuket/3073/2013 antigen 0.12 MG/ML,46275393
VO:0003492,influenza B virus B/Phuket/3073/2013 antigen 158000000 UNT/ML,792419
VO:0003493,influenza B virus B/Phuket/3073/2013 antigen 50000000 MG/ML,46287744
VO:0003502,"influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus",45776076
VO:0003503,"influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus 0.03 MG/ML",45776077
VO:0003504,"influenza virus vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain",40225028
VO:0003505,"influenza virus vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.03 MG/ML",40225029
VO:0003506,"influenza virus vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.09 MG/ML",40240138
VO:0003507,"influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus",42873956
VO:0003508,"influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.12 MG/ML",42873959
VO:0003509,"influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML",42873958
VO:0003510,"influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML",42873957
VO:0003516,"influenza virus vaccine, Inactivated A-California-07-2009 X-179A (H1N1) strain 0.09 MG/ML",40240135
VO:0003521,"influenza B virus vaccine, B-Wisconsin-1-2010-like virus",42873961
VO:0003522,"influenza B virus vaccine, B-Wisconsin-1-2010-like virus 0.09 MG/ML",42873963
VO:0003523,"influenza virus vaccine, Inactivated B-Brisbane-60-2008",40164828
VO:0003524,"influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.03 MG/ML",40164829
VO:0003525,"influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.09 MG/ML",40240139
VO:0003526,"influenza B virus vaccine, B-Massachusetts-2-2012-like virus",43531944
VO:0003527,"influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML",43531945
VO:0003528,"influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.09 MG/ML",43532652
VO:0003529,"influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.12 MG/ML",43532656
VO:0003530,"influenza B virus vaccine, B-Massachusetts-2-2012-like virus 50000000 MG/ML",43137645
VO:0003530,"influenza B virus vaccine, B-Massachusetts-2-2012-like virus 50000000 MG/ML",45776787
VO:0003559,Prevnar 13 vaccine 0.5 ML Prefilled Syringe,40173508
VO:0003561,pneumococcal capsular polysaccharide type 9V vaccine,40163710
VO:0003570,Prevnar 13 vaccine Prefilled Syringe,40174006
VO:0003573,ProQuad vaccine Injection,46275135
VO:0003574,ProQuad vaccine 0.5 ML Injection,42799832
VO:0003576,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML / Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML [Prevnar 13],40174008
VO:0003577,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML / Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 20000 UNT/ML [ProQuad]",42799825
VO:0003578,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone 2015-2016],46275383
VO:0003580,influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.12 MG/ML [Fluzone 2015-2016],46275395
VO:0003581,Fluzone 2015-2016 High-Dose vaccine Prefilled Syringe,46275396
VO:0003582,Fluzone 2015-2016 High-Dose vaccine 0.5 ML Prefilled Syringe,46275397
VO:0003583,Fluzone 2015-2016 vaccine Injectable Suspension,46275385
VO:0003585,influenza A virus A/California/7/2009 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.12 MG/ML [Fluzone 2016-2017],36249507
VO:0003587,Fluzone 2016-2017 High-Dose vaccine Prefilled Syringe,36249508
VO:0003588,Fluzone 2016-2017 High-Dose vaccine 0.5 ML Prefilled Syringe,36249510
VO:0003591,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.12 MG/ML / influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.12 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.12 MG/ML [Fluzone 2017-2018],1593354
VO:0003592,Fluzone 2017-2018 high-dose vaccine Prefilled Syringe,1593355
VO:0003593,Fluzone 2017-2018 high-dose vaccine 0.5 ML Prefilled Syringe,1593357
VO:0003596,influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.12 MG/ML [Fluzone 2018-2019],35200033
VO:0003597,Fluzone 2018-2019 high-dose vaccine Prefilled Syringe,35200034
VO:0003598,Fluzone 2018-2019 high-dose vaccine 0.5 ML Prefilled Syringe,35201913
VO:0003603,influenza B virus B/Maryland/15/2016 antigen 0.12 MG/ML,35200031
VO:0003604,influenza A virus A/Michigan/45/2015 (H1N1) antigen 0.12 MG/ML,1593351
VO:0003605,influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.12 MG/ML,35200030
VO:0003606,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.12 MG/ML,36249503
VO:0003608,"influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML / influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.03 MG/ML / influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML [Fluzone Quadrivalent 2013-2014 Formula]",43531928
VO:0003609,Fluzone Quadrivalent 2013-2014 Formula Influenza Virus Vaccine Prefilled Syringe,43531927
VO:0003610,Fluzone Quadrivalent 2013-2014 Formula Influenza Virus Vaccine 0.25 ML Prefilled Syringe,43531875
VO:0003613,"influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.09 MG/ML / influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML / influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.09 MG/ML / influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.09 MG/ML [Fluzone Quadrivalent 2014-2015 Formula]",45892707
VO:0003614,Fluzone Quadrivalent 2014-2015 Formula Prefilled Syringe,44818126
VO:0003615,Fluzone Quadrivalent 2014-2015 Formula 0.1 ML Prefilled Syringe,45892708
VO:0003618,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Fluzone Quadrivalent 2015-2016],46275640
