ID,LABEL in VO,RxNorm ID,RxNorm Preferred Name
VO:0003276,0.5 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML Injection,1292457,0.5 ML varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/ML Injection
VO:0003279,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML,1292430,varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML
VO:0003281,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injection [Zostavax],1658013,varicella-zoster virus vaccine live (Oka-Merck) strain Injection [Zostavax]
VO:0003282,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML [Zostavax],1292433,varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML [Zostavax]
VO:0003283,0.65 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax],1292435,0.65 ML varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax]
VO:0003286,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901622,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003287,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901627,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003288,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901630,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003289,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901621,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003290,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML,901635,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0088 MG/ML
VO:0003291,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901638,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003292,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901626,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003293,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901629,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003294,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901632,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003295,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901634,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003296,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901625,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003297,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901623,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003298,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML,901637,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML
VO:0003300,"L1 protein, Human papillomavirus type 6 Vaccine",798268,"L1 protein, human papillomavirus type 6 vaccine"
VO:0003301,"L1 protein, Human papillomavirus type 11 Vaccine",798262,"L1 protein, human papillomavirus type 11 vaccine"
VO:0003302,"L1 protein, Human papillomavirus type 18 Vaccine",798266,"L1 protein, human papillomavirus type 18 vaccine"
VO:0003303,"L1 protein, Human papillomavirus type 16 Vaccine",798264,"L1 protein, human papillomavirus type 16 vaccine"
VO:0003304,"L1 protein, Human papillomavirus type 31 Vaccine",1596930,"L1 protein, human papillomavirus type 31 vaccine"
VO:0003305,"L1 protein, Human papillomavirus type 33 Vaccine",1596931,"L1 protein, human papillomavirus type 33 vaccine"
VO:0003306,"L1 protein, Human papillomavirus type 45 Vaccine",1596932,"L1 protein, human papillomavirus type 45 vaccine"
VO:0003307,"L1 protein, Human papillomavirus type 52 Vaccine",1596933,"L1 protein, human papillomavirus type 52 vaccine"
VO:0003308,"L1 protein, Human papillomavirus type 58 Vaccine",1596934,"L1 protein, human papillomavirus type 58 vaccine"
VO:0003323,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML,854931,Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML
VO:0003333,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine,901636,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003334,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine,901620,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003335,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine,798220,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003337,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine,798222,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003338,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine,901624,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003339,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine,798224,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003340,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine,798226,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003341,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine,901628,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003342,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine,798228,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003343,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine,901631,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003344,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine,901633,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003345,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine,798230,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003346,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine,798232,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine
VO:0003347,meningococcal group B vaccine,1593128,meningococcal group B vaccine
VO:0003349,meningococcal group B vaccine 0.1 MG/ML,1601397,meningococcal group B vaccine 0.1 MG/ML
VO:0003350,meningococcal group B vaccine Prefilled Syringe,1593133,meningococcal group B vaccine Prefilled Syringe
VO:0003354,Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule [Vivotif],762601,Salmonella typhi Ty21a live antigen Delayed Release Oral Capsule [Vivotif]
VO:0003356,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule [Vivotif],762602,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule [Vivotif]
VO:0003359,meningococcal group B vaccine Prefilled Syringe [Bexsero],1601405,meningococcal group B vaccine Prefilled Syringe [Bexsero]
VO:0003361,Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML,1601398,Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen 0.1 MG/ML
VO:0003363,Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML,1601399,Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen 0.1 MG/ML
VO:0003364,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle,1601236,Outer Membrane Vesicles (Neisseria Meningitidis Group B Nz98/254 Strain)
VO:0003365,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML,1601400,Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle 0.05 MG/ML
VO:0003367,Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 MG/ML,1593129,Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen 0.12 MG/ML
VO:0003369,Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 MG/ML,1593131,Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 MG/ML
VO:0003371,"Yellow-Fever Virus Vaccine, 17D-204 strain",804187,yellow fever virus strain 17D-204 live antigen
VO:0003372,"Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML",1876704,yellow fever virus strain 17D-204 live antigen 2000 UNT/ML
VO:0003373,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection",1876705,0.5 ML yellow fever virus strain 17D-204 live antigen 2000 UNT/ML Injection
VO:0003377,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection [Stamaril]",1876708,yellow fever virus strain 17D-204 live antigen Injection [Stamaril]
VO:0003378,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection [Stamaril]",1876710,0.5 ML yellow fever virus strain 17D-204 live antigen 2000 UNT/ML Injection [Stamaril]
VO:0003379,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection",1658238,yellow fever virus strain 17D-204 live antigen Injection
VO:0003380,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injection",1658239,0.5 ML yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injection
VO:0003381,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML",804188,yellow fever virus strain 17D-204 live antigen 4000 UNT/ML
VO:0003382,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injectable Suspension",1292826,yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injectable Suspension
VO:0003383,"diphtheria toxoid vaccine, inactivated 5 UNT/ML",806586,"diphtheria toxoid vaccine, inactivated 5 UNT/ML"
VO:0003384,"tetanus toxoid vaccine, inactivated",798306,"tetanus toxoid vaccine, inactivated"
VO:0003385,"tetanus toxoid vaccine, inactivated 10 UNT/ML",798307,"tetanus toxoid vaccine, inactivated 10 UNT/ML"
VO:0003387,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML",1300364,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML"
VO:0003391,"acellular pertussis vaccine, inactivated 0.116 MG/ML",829893,"acellular pertussis vaccine, inactivated 0.116 MG/ML"
VO:0003395,"diphtheria toxoid vaccine, inactivated 30 UNT/ML",805373,"diphtheria toxoid vaccine, inactivated 30 UNT/ML"
VO:0003397,"tetanus toxoid vaccine, inactivated Injectable Solution",374054,"tetanus toxoid vaccine, inactivated Injectable Solution"
VO:0003398,"tetanus toxoid vaccine, inactivated Injectable Suspension",374444,"tetanus toxoid vaccine, inactivated Injectable Suspension"
VO:0003400,"tetanus toxoid vaccine, inactivated Prefilled Syringe",792155,"tetanus toxoid vaccine, inactivated Prefilled Syringe"
VO:0003401,"tetanus toxoid vaccine, inactivated 20 UNT/ML",801712,"tetanus toxoid vaccine, inactivated 20 UNT/ML"
VO:0003402,"0.5 ML tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",792156,"0.5 ML tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe"
VO:0003403,"tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",204527,"tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension"
VO:0003404,"tetanus toxoid vaccine, inactivated 20 UNT/ML Injectable Suspension",205262,"tetanus toxoid vaccine, inactivated 20 UNT/ML Injectable Suspension"
VO:0003405,"tetanus toxoid vaccine, inactivated 8 UNT/ML Injectable Solution",318242,"tetanus toxoid vaccine, inactivated 8 UNT/ML Injectable Solution"
VO:0003406,"tetanus toxoid vaccine, inactivated 8 UNT/ML",316782,"tetanus toxoid vaccine, inactivated 8 UNT/ML"
VO:0003407,"tetanus toxoid vaccine, inactivated 4 UNT/ML",331444,"tetanus toxoid vaccine, inactivated 4 UNT/ML"
VO:0003408,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine,798444,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine
VO:0003409,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injection,1657731,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine Injection
VO:0003411,0.5 ML Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML Injection,798447,0.5 ML Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.265 MG/ML Injection
VO:0003413,Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML,798445,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.265 MG/ML
VO:0003414,0.5 ML Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine 0.265 MG/ML Injection [PedvaxHIB],798451,0.5 ML Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.265 MG/ML Injection [PedvaxHIB]
VO:0003416,Hepatitis B Surface Antigen Vaccine Injectable Suspension,798420,hepatitis B surface antigen vaccine Injectable Suspension
VO:0003417,Hepatitis B Surface Antigen Vaccine 0.005 MG/ML Injectable Suspension,830237,hepatitis B surface antigen vaccine 0.005 MG/ML Injectable Suspension
VO:0003419,Hepatitis B Surface Antigen Vaccine Prefilled Syringe,798425,hepatitis B surface antigen vaccine Prefilled Syringe
VO:0003420,1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe,798426,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe
VO:0003421,Hepatitis B Surface Antigen Vaccine Injection,1657681,hepatitis B surface antigen vaccine Injection
VO:0003422,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe,830243,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Prefilled Syringe
VO:0003423,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML,798438,hepatitis B surface antigen vaccine 0.01 MG/ML
VO:0003424,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Prefilled Syringe,830252,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Prefilled Syringe
VO:0003425,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Prefilled Syringe,798429,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe
VO:0003426,1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection,1658149,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection
VO:0003427,0.5 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injection,1658154,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection
VO:0003428,Typhoid Vaccine Live Ty21a 2000000000 UNT [Vivotif],1799447,Salmonella typhi Ty21a live antigen 2000000000 UNT [Vivotif]
VO:0003429,"diphtheria toxoid vaccine, inactivated 4 UNT/ML",807271,"diphtheria toxoid vaccine, inactivated 4 UNT/ML"
VO:0003431,Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML,798362,hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML
VO:0003432,Hepatitis A Vaccine (Inactivated) Strain HM175 Prefilled Syringe,798476,hepatitis A vaccine (inactivated) strain HM175 Prefilled Syringe
VO:0003433,Hepatitis A Vaccine (Inactivated) Strain HM175,798361,hepatitis A vaccine (inactivated) strain HM175
VO:0003434,Hepatitis A Vaccine (Inactivated) Strain HM175 720 UNT/ML,803362,hepatitis A vaccine (inactivated) strain HM175 720 UNT/ML
VO:0003435,Hepatitis A Vaccine (Inactivated) Strain HM175 Injection,1658057,hepatitis A vaccine (inactivated) strain HM175 Injection
VO:0003436,0.5 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injection,1658065,0.5 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection
VO:0003437,1 ML Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injection,1658058,1 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection
VO:0003438,Typhoid Vaccine Live Ty21a 2000000000 UNT,1799445,Salmonella typhi Ty21a live antigen 2000000000 UNT
VO:0003445,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule,762598,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule
VO:0003446,Typhoid Vaccine Live Ty21a,762595,Salmonella typhi Ty21a live antigen
VO:0003447,Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule,762597,Salmonella typhi Ty21a live antigen Delayed Release Oral Capsule
VO:0003450,influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML,1660921,influenza A virus A/California/7/2009 (H1N1) antigen 0.09 MG/ML
VO:0003452,influenza A virus A/California/7/2009 (H1N1) antigen 0.015 MG/ML,1724009,influenza A virus A/California/7/2009 (H1N1) antigen 0.015 MG/ML
VO:0003454,"diphtheria toxoid vaccine, inactivated 13.4 UNT/ML",798305,"diphtheria toxoid vaccine, inactivated 13.4 UNT/ML"
VO:0003455,"diphtheria toxoid vaccine, inactivated",798304,"diphtheria toxoid vaccine, inactivated"
VO:0003456,"diphtheria toxoid vaccine, inactivated 50 UNT/ML",801709,"diphtheria toxoid vaccine, inactivated 50 UNT/ML"
VO:0003457,"diphtheria toxoid vaccine, inactivated 25 UNT/ML",807414,"diphtheria toxoid vaccine, inactivated 25 UNT/ML"
VO:0003458,"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]",1658102,"1 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection [Vaqta]"
VO:0003460,"0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Prefilled Syringe [Vaqta]",836636,"0.5 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Prefilled Syringe [Vaqta]"
VO:0003461,"0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]",1658106,"0.5 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection [Vaqta]"
