#mapping_set_id: http://purl.obolibrary.org/obo/vo/mappings/vo-cvx.sssom.tsv
#mapping_set_title: Vaccine Ontology to CVX Mappings
#license: https://creativecommons.org/licenses/by/4.0/
#curie_map:
#  VO: 'http://purl.obolibrary.org/obo/VO_'
#  cvx: 'https://biopragmatics.github.io/providers/cvx/'
#  oboInOwl: 'http://www.geneontology.org/formats/oboInOwl#'
subject_id	subject_label	object_id	object_label	predicate_id	mapping_justification
VO:0010155	hepatitis B vaccine, dialysis patient dosage	cvx:44	hepatitis B vaccine, dialysis patient dosage	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006015	hepatitis B vaccine unspecified formulation	cvx:45	hepatitis B vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006007	Haemophilus influenzae type b vaccine PRP-D conjugate	cvx:46	Haemophilus influenzae type b vaccine, PRP-D conjugate	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010166	Haemophilus influenzae type b vaccine, HbOC conjugate	cvx:47	Haemophilus influenzae type b vaccine, HbOC conjugate	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010167	Haemophilus influenzae type b vaccine, PRP-T conjugate	cvx:48	Haemophilus influenzae type b vaccine, PRP-T conjugate	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010168	Haemophilus influenzae type b vaccine, PRP-OMP conjugate	cvx:49	Haemophilus influenzae type b vaccine, PRP-OMP conjugate	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003168	Diphtheria-Tetanus-Acellular Pertussis-Haemophilus b vaccine	cvx:50	DTaP-Haemophilus influenzae type b conjugate vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010165	Haemophilus influenzae type b conjugate and Hepatitis B vaccine	cvx:51	Haemophilus influenzae type b conjugate and Hepatitis B vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006009	hepatitis A vaccine adult dosage	cvx:52	hepatitis A vaccine, adult dosage	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006083	typhoid vaccine parenteral acetone-killed dried (U.S. military)	cvx:53	typhoid vaccine, parenteral, acetone-killed, dried (U.S. military)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0004872	Adenovirus Type 4 Vaccine Live Oral Product	cvx:54	adenovirus vaccine, type 4, live, oral	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0004877	Adenovirus Type 7 Vaccine Live Oral Product	cvx:55	adenovirus vaccine, type 7, live, oral	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006090	dengue fever vaccine	cvx:56	dengue fever vaccine, tetravalent	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0012167	Hantavirus vaccine	cvx:57	hantavirus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006016	hepatitis C vaccine	cvx:58	hepatitis C vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006017	hepatitis E vaccine	cvx:59	hepatitis E vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006018	herpes simplex virus type 2 vaccine	cvx:60	herpes simplex virus, type 2 vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000295	human immunodeficiency virus vaccine	cvx:61	human immunodeficiency virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010173	human papilloma virus vaccine, quadrivalent	cvx:62	human papilloma virus vaccine, quadrivalent	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006027	Junin virus vaccine	cvx:63	Junin virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000762	Leishmania vaccine	cvx:64	leishmaniasis vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006028	leprosy vaccine	cvx:65	leprosy vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000764	Lyme disease vaccine	cvx:66	Lyme disease vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000761	malaria vaccine	cvx:67	malaria vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000422	melanoma vaccine	cvx:68	melanoma vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000451	Parainfluenza 3 virus vaccine	cvx:69	parainfluenza-3 virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000463	Coxiella burnetii vaccine	cvx:70	Q fever vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005448	respiratory syncytial virus immune globulin passive vaccine, intravenous	cvx:71	respiratory syncytial virus immune globulin, intravenous	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006049	rheumatic fever vaccine	cvx:72	rheumatic fever vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0012166	Rift Valley Fever virus vaccine	cvx:73	Rift Valley fever vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006051	rotavirus live tetravalent vaccine	cvx:74	rotavirus, live, tetravalent vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000433	vaccinia virus vaccine	cvx:75	vaccinia (smallpox) vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010125	Staphylococcus bacteriophage lysate	cvx:76	Staphylococcus bacteriophage lysate	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006078	Tick-borne encephalitis vaccine (non-US)	cvx:77	Tick-borne encephalitis vaccine (non-US)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000152	Francisella tularensis vaccine	cvx:78	tularemia vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005453	vaccinia immune globulin passive vaccine	cvx:79	vaccinia immune globulin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0004112	Live attenuated VEE vaccines	cvx:80	Venezuelan equine encephalitis, live, attenuated	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006089	Venezuelan equine encephalitis inactivated	cvx:81	Venezuelan equine encephalitis, inactivated	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006000	adenovirus vaccine unspecified formulation	cvx:82	adenovirus vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010169	hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule	cvx:83	hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006011	hepatitis A vaccine pediatric/adolescent dosage 3 dose schedule	cvx:84	hepatitis A vaccine, pediatric/adolescent dosage, 3 dose schedule	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006012	hepatitis A vaccine unspecified formulation	cvx:85	hepatitis A vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005444	immune globulin, intramuscular	cvx:86	immune globulin, intramuscular	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005445	immune globulin, intravenous	cvx:87	immune globulin, intravenous	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006024	influenza virus vaccine unspecified formulation	cvx:88	influenza virus vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010208	poliovirus vaccine, unspecified formulation	cvx:89	poliovirus vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006046	rabies vaccine unspecified formulation	cvx:90	rabies vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006085	typhoid vaccine unspecified formulation	cvx:91	typhoid vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006088	Venezuelan equine encephalitis vaccine unspecified formulation	cvx:92	Venezuelan equine encephalitis vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006048	respiratory syncytial virus monoclonal antibody (palivizumab) intramuscular	cvx:93	respiratory syncytial virus monoclonal antibody (palivizumab), intramuscular	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000737	Measles-Mumps-Rubella-Varicella vaccine	cvx:94	measles, mumps, rubella, and varicella virus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010230	tuberculin skin test; old tuberculin, multipuncture device	cvx:95	tuberculin skin test; old tuberculin, multipuncture device	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010231	tuberculin skin test; purified protein derivative solution, intradermal	cvx:96	tuberculin skin test; purified protein derivative solution, intradermal	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010232	tuberculin skin test; purified protein derivative, multipuncture device	cvx:97	tuberculin skin test; purified protein derivative, multipuncture device	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010233	tuberculin skin test; unspecified formulation	cvx:98	tuberculin skin test; unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010229	reserved cvx code for not using	cvx:99	RESERVED - do not use	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010210	pneumococcal conjugate vaccine, 7 valent	cvx:100	pneumococcal conjugate vaccine, 7 valent	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010222	typhoid Vi capsular polysaccharide vaccine	cvx:101	typhoid Vi capsular polysaccharide vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0021166	DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine (non-US)	cvx:102	DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine (non-US)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006033	meningococcal C conjugate vaccine	cvx:103	meningococcal C conjugate vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000745	Hepatitis A&B vaccine	cvx:104	hepatitis A and hepatitis B vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006086	vaccinia (smallpox) vaccine diluted	cvx:105	vaccinia (smallpox) vaccine, diluted	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010160	diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens	cvx:106	diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005459	Diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation	cvx:107	diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006031	meningococcal ACWY vaccine unspecified formulation	cvx:108	meningococcal ACWY vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010219	pneumococcal vaccine, unspecified formulation	cvx:109	pneumococcal vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000743	Diphtheria-Tetanus-Pertussis-Poliovirus-Hepatitis B vaccine	cvx:110	DTaP-hepatitis B and poliovirus vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010176	influenza, live, trivalent, intranasal	cvx:111	Influenza, live, trivalent, intranasal	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006077	tetanus toxoid unspecified formulation	cvx:112	tetanus toxoid, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010159	tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)	cvx:113	tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010202	meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)	cvx:114	meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0003180	TDAP	cvx:115	tetanus toxoid, reduced diphtheria toxoid, and acellular pertussis vaccine, adsorbed	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010217	rotavirus, live, pentavalent vaccine	cvx:116	rotavirus, live, pentavalent vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005455	varicella zoster immune globulin (Investigational New Drug)	cvx:117	varicella zoster immune globulin (Investigational New Drug)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010174	human papilloma virus vaccine, bivalent	cvx:118	human papilloma virus vaccine, bivalent	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010218	rotavirus, live, monovalent vaccine	cvx:119	rotavirus, live, monovalent vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010163	diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)	cvx:120	diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0021164	zoster vaccine, live	cvx:121	zoster vaccine, live	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006050	rotavirus vaccine unspecified formulation	cvx:122	rotavirus vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010177	influenza virus vaccine, H5N1, A/Vietnam/1203/2004 (national stockpile)	cvx:123	influenza virus vaccine, H5N1, A/Vietnam/1203/2004 (national stockpile)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006039	Novel Influenza-H1N1-09 live virus for nasal administration	cvx:125	Novel Influenza-H1N1-09, live virus for nasal administration	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006040	Novel influenza-H1N1-09 preservative-free injectable	cvx:126	Novel influenza-H1N1-09, preservative-free, injectable	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006038	Novel influenza-H1N1-09 injectable	cvx:127	Novel influenza-H1N1-09, injectable	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006037	Novel influenza-H1N1-09 all formulations	cvx:128	Novel influenza-H1N1-09, all formulations	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006026	Japanese Encephalitis vaccine unspecified formulation	cvx:129	Japanese Encephalitis vaccine, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010161	diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated	cvx:130	Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006019	Historical record of a typhus vaccination	cvx:131	Historical record of a typhus vaccination	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010162	historical diphtheria and tetanus toxoids and acellular pertussis, poliovirus, Haemophilus b conjugate and hepatitis B (recombinant) vaccine.	cvx:132	Historical diphtheria and tetanus toxoids and acellular pertussis, poliovirus, Haemophilus b conjugate and hepatitis B (recombinant) vaccine.	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010211	pneumococcal conjugate vaccine, 13 valent	cvx:133	pneumococcal conjugate vaccine, 13 valent	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010200	Japanese Encephalitis vaccine for intramuscular administration	cvx:134	Japanese Encephalitis vaccine for intramuscular administration	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010178	influenza, high-dose, split virus, trivalent, injectable, preservative free	cvx:135	Influenza, high-dose, split virus, trivalent, injectable, preservative free	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010203	meningococcal oligosaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4O)	cvx:136	meningococcal oligosaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4O)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010446	licensed human papillomavirus vaccine	cvx:137	HPV, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005468	tetanus and diphtheria toxoids, not adsorbed, for adult use	cvx:138	tetanus and diphtheria toxoids, not adsorbed, for adult use	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010221	Td(adult) unspecified formulation	cvx:139	Td(adult) unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010179	influenza, split virus, trivalent, injectable, preservative free	cvx:140	Influenza, split virus, trivalent, injectable, preservative free	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010180	influenza, split virus, trivalent, injectable, contains preservative	cvx:141	Influenza, split virus, trivalent, injectable, contains preservative	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006076	tetanus toxoid not adsorbed	cvx:142	tetanus toxoid, not adsorbed	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0000096	Adenovirus Type 4 and Type 7 Vaccine, Live, Oral	cvx:143	Adenovirus, type 4 and type 7, live, oral	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010181	seasonal influenza, intradermal, preservative free	cvx:144	seasonal influenza, intradermal, preservative free	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006047	respiratory syncytial virus monoclonal antibody (motavizumab) intramuscular	cvx:145	respiratory syncytial virus monoclonal antibody (motavizumab), intramuscular	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005470	Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine.	cvx:146	Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine.	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006036	Meningococcal MCV4 unspecified conjugate formulation(groups A C Y and W-135)	cvx:147	Meningococcal, MCV4, unspecified conjugate formulation(groups A, C, Y and W-135)	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010204	meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine	cvx:148	Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010182	influenza, live, quadrivalent, intranasal	cvx:149	Influenza, live, quadrivalent, intranasal	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010183	influenza, split virus, quadrivalent, injectable, preservative free	cvx:150	Influenza, split virus, quadrivalent, injectable, preservative free	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006022	influenza nasal unspecified formulation	cvx:151	influenza nasal, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0006044	Pneumococcal Conjugate unspecified formulation	cvx:152	Pneumococcal Conjugate, unspecified formulation	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010184	influenza, Madin Darby Canine Kidney, subunit, trivalent, injectable, preservative free	cvx:153	Influenza, Madin Darby Canine Kidney, subunit, trivalent, injectable, preservative free	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005442	Hepatitis A immune globulin passive vaccine	cvx:154	Hepatitis A immune globulin	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010185	influenza, recombinant, trivalent, injectable, preservative free	cvx:155	Influenza, recombinant, trivalent, injectable, preservative free	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005450	Rho(D) Immune globulin- IV or IM passive vaccine	cvx:156	Rho(D) Immune globulin- IV or IM	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0005449	Rho(D) Immune globulin - IM	cvx:157	Rho(D) Immune globulin - IM	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
VO:0010186	influenza, split virus, quadrivalent, injectable, contains preservative	cvx:158	Influenza, split virus, quadrivalent, injectable, contains preservative	oboInOwl:hasDbXref	semapv:UnspecifiedMatching
